section,female,male,period
0-9,"{'amount': 1, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.8}",חודש אחרון
0-9,"{'amount': 17, 'percentage': 0.3}","{'amount': 31, 'percentage': 0.5}",מתחילת קורונה
0-9,"{'amount': 10, 'percentage': 0.7}","{'amount': 16, 'percentage': 1.1}",6 חודשים
0-9,"{'amount': 10, 'percentage': 0.4}","{'amount': 23, 'percentage': 0.9}",שנה
0-9,"{'amount': 1, 'percentage': 0.3}","{'amount': 2, 'percentage': 0.5}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 15, 'percentage': 0.6}","{'amount': 15, 'percentage': 0.6}",שנה
10-19,"{'amount': 8, 'percentage': 0.5}","{'amount': 10, 'percentage': 0.7}",6 חודשים
10-19,"{'amount': 2, 'percentage': 0.5}","{'amount': 0, 'percentage': 0}",3 חודשים
10-19,"{'amount': 23, 'percentage': 0.4}","{'amount': 24, 'percentage': 0.4}",מתחילת קורונה
20-29,"{'amount': 4, 'percentage': 1.7}","{'amount': 3, 'percentage': 1.3}",חודש אחרון
20-29,"{'amount': 60, 'percentage': 1}","{'amount': 57, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 23, 'percentage': 0.9}","{'amount': 24, 'percentage': 0.9}",שנה
20-29,"{'amount': 13, 'percentage': 0.9}","{'amount': 13, 'percentage': 0.9}",6 חודשים
20-29,"{'amount': 4, 'percentage': 1}","{'amount': 3, 'percentage': 0.8}",3 חודשים
30-39,"{'amount': 3, 'percentage': 1.3}","{'amount': 3, 'percentage': 1.3}",חודש אחרון
30-39,"{'amount': 108, 'percentage': 1.7}","{'amount': 106, 'percentage': 1.7}",מתחילת קורונה
30-39,"{'amount': 17, 'percentage': 1.1}","{'amount': 28, 'percentage': 1.9}",6 חודשים
30-39,"{'amount': 38, 'percentage': 1.5}","{'amount': 50, 'percentage': 1.9}",שנה
30-39,"{'amount': 7, 'percentage': 1.8}","{'amount': 7, 'percentage': 1.8}",3 חודשים
40-49,"{'amount': 3, 'percentage': 1.3}","{'amount': 7, 'percentage': 2.9}",חודש אחרון
40-49,"{'amount': 18, 'percentage': 1.2}","{'amount': 44, 'percentage': 2.9}",6 חודשים
40-49,"{'amount': 52, 'percentage': 2}","{'amount': 105, 'percentage': 4.1}",שנה
40-49,"{'amount': 7, 'percentage': 1.8}","{'amount': 11, 'percentage': 2.8}",3 חודשים
40-49,"{'amount': 141, 'percentage': 2.2}","{'amount': 267, 'percentage': 4.2}",מתחילת קורונה
50-59,"{'amount': 5, 'percentage': 2.1}","{'amount': 9, 'percentage': 3.8}",חודש אחרון
50-59,"{'amount': 53, 'percentage': 3.5}","{'amount': 100, 'percentage': 6.7}",6 חודשים
50-59,"{'amount': 111, 'percentage': 4.3}","{'amount': 193, 'percentage': 7.5}",שנה
50-59,"{'amount': 9, 'percentage': 2.3}","{'amount': 23, 'percentage': 5.8}",3 חודשים
50-59,"{'amount': 259, 'percentage': 4.1}","{'amount': 554, 'percentage': 8.8}",מתחילת קורונה
60-69,"{'amount': 17, 'percentage': 7.1}","{'amount': 33, 'percentage': 13.8}",חודש אחרון
60-69,"{'amount': 102, 'percentage': 6.8}","{'amount': 179, 'percentage': 11.9}",6 חודשים
60-69,"{'amount': 222, 'percentage': 8.6}","{'amount': 324, 'percentage': 12.6}",שנה
60-69,"{'amount': 29, 'percentage': 7.3}","{'amount': 53, 'percentage': 13.4}",3 חודשים
60-69,"{'amount': 520, 'percentage': 8.3}","{'amount': 960, 'percentage': 15.3}",מתחילת קורונה
70-79,"{'amount': 27, 'percentage': 11.3}","{'amount': 42, 'percentage': 17.5}",חודש אחרון
70-79,"{'amount': 268, 'percentage': 10.4}","{'amount': 411, 'percentage': 15.9}",שנה
70-79,"{'amount': 156, 'percentage': 10.4}","{'amount': 260, 'percentage': 17.4}",6 חודשים
70-79,"{'amount': 41, 'percentage': 10.4}","{'amount': 77, 'percentage': 19.4}",3 חודשים
70-79,"{'amount': 606, 'percentage': 9.6}","{'amount': 1069, 'percentage': 17}",מתחילת קורונה
80-89,"{'amount': 21, 'percentage': 8.8}","{'amount': 34, 'percentage': 14.2}",חודש אחרון
80-89,"{'amount': 242, 'percentage': 9.4}","{'amount': 296, 'percentage': 11.5}",שנה
80-89,"{'amount': 154, 'percentage': 10.3}","{'amount': 199, 'percentage': 13.3}",6 חודשים
80-89,"{'amount': 30, 'percentage': 7.6}","{'amount': 53, 'percentage': 13.4}",3 חודשים
80-89,"{'amount': 499, 'percentage': 7.9}","{'amount': 674, 'percentage': 10.7}",מתחילת קורונה
90+,"{'amount': 151, 'percentage': 2.4}","{'amount': 157, 'percentage': 2.5}",מתחילת קורונה
90+,"{'amount': 13, 'percentage': 5.4}","{'amount': 13, 'percentage': 5.4}",חודש אחרון
90+,"{'amount': 78, 'percentage': 3}","{'amount': 78, 'percentage': 3}",שנה
90+,"{'amount': 57, 'percentage': 3.8}","{'amount': 61, 'percentage': 4.1}",6 חודשים
90+,"{'amount': 18, 'percentage': 4.5}","{'amount': 19, 'percentage': 4.8}",3 חודשים
