date,amountNoSurvey,amountSurvey
2020-02-20T00:00:00.000Z,29,0
2020-02-21T00:00:00.000Z,28,0
2020-02-22T00:00:00.000Z,13,0
2020-02-23T00:00:00.000Z,53,3
2020-02-24T00:00:00.000Z,74,0
2020-02-25T00:00:00.000Z,108,0
2020-02-26T00:00:00.000Z,105,3
2020-02-27T00:00:00.000Z,170,1
2020-02-28T00:00:00.000Z,117,1
2020-02-29T00:00:00.000Z,158,0
2020-03-01T00:00:00.000Z,170,8
2020-03-02T00:00:00.000Z,166,4
2020-03-03T00:00:00.000Z,222,5
2020-03-04T00:00:00.000Z,122,6
2020-03-05T00:00:00.000Z,159,6
2020-03-06T00:00:00.000Z,271,3
2020-03-07T00:00:00.000Z,317,7
2020-03-08T00:00:00.000Z,412,5
2020-03-09T00:00:00.000Z,503,12
2020-03-10T00:00:00.000Z,482,13
2020-03-11T00:00:00.000Z,367,9
2020-03-12T00:00:00.000Z,573,21
2020-03-13T00:00:00.000Z,657,32
2020-03-14T00:00:00.000Z,584,27
2020-03-15T00:00:00.000Z,1079,46
2020-03-16T00:00:00.000Z,1268,53
2020-03-17T00:00:00.000Z,1513,53
2020-03-18T00:00:00.000Z,1930,60
2020-03-19T00:00:00.000Z,1896,87
2020-03-20T00:00:00.000Z,2156,75
2020-03-21T00:00:00.000Z,1991,75
2020-03-22T00:00:00.000Z,3078,141
2020-03-23T00:00:00.000Z,3356,144
2020-03-24T00:00:00.000Z,4442,198
2020-03-25T00:00:00.000Z,5556,231
2020-03-26T00:00:00.000Z,6049,234
2020-03-27T00:00:00.000Z,5280,304
2020-03-28T00:00:00.000Z,5197,338
2020-03-29T00:00:00.000Z,6978,259
2020-03-30T00:00:00.000Z,6569,253
2020-03-31T00:00:00.000Z,7186,345
2020-04-01T00:00:00.000Z,8085,493
2020-04-02T00:00:00.000Z,8732,737
2020-04-03T00:00:00.000Z,9243,536
2020-04-04T00:00:00.000Z,5552,436
2020-04-05T00:00:00.000Z,8023,754
2020-04-06T00:00:00.000Z,6362,407
2020-04-07T00:00:00.000Z,5700,476
2020-04-08T00:00:00.000Z,4503,445
2020-04-09T00:00:00.000Z,4617,385
2020-04-10T00:00:00.000Z,5493,834
2020-04-11T00:00:00.000Z,4588,1175
2020-04-12T00:00:00.000Z,7005,1519
2020-04-13T00:00:00.000Z,7957,1230
2020-04-14T00:00:00.000Z,8573,2392
2020-04-15T00:00:00.000Z,6291,1508
2020-04-16T00:00:00.000Z,8690,2519
2020-04-17T00:00:00.000Z,7757,2215
2020-04-18T00:00:00.000Z,6615,2345
2020-04-19T00:00:00.000Z,7568,2429
2020-04-20T00:00:00.000Z,10636,2659
2020-04-21T00:00:00.000Z,9251,2383
2020-04-22T00:00:00.000Z,9110,2662
2020-04-23T00:00:00.000Z,9642,2617
2020-04-24T00:00:00.000Z,7679,2798
2020-04-25T00:00:00.000Z,5542,1815
2020-04-26T00:00:00.000Z,4725,2617
2020-04-27T00:00:00.000Z,7746,1653
2020-04-28T00:00:00.000Z,7257,1558
2020-04-29T00:00:00.000Z,5324,2069
2020-04-30T00:00:00.000Z,6460,2133
2020-05-01T00:00:00.000Z,6652,2569
2020-05-02T00:00:00.000Z,3715,1046
2020-05-03T00:00:00.000Z,4821,2579
2020-05-04T00:00:00.000Z,5732,2222
2020-05-05T00:00:00.000Z,5906,1781
2020-05-06T00:00:00.000Z,6207,2339
2020-05-07T00:00:00.000Z,6312,2818
2020-05-08T00:00:00.000Z,5580,1607
2020-05-09T00:00:00.000Z,2335,1173
2020-05-10T00:00:00.000Z,3302,1108
2020-05-11T00:00:00.000Z,5640,2187
2020-05-12T00:00:00.000Z,5066,1615
2020-05-13T00:00:00.000Z,4877,2648
2020-05-14T00:00:00.000Z,4883,2796
2020-05-15T00:00:00.000Z,3133,1940
2020-05-16T00:00:00.000Z,988,355
2020-05-17T00:00:00.000Z,2824,1395
2020-05-18T00:00:00.000Z,4471,2325
2020-05-19T00:00:00.000Z,4664,1838
2020-05-20T00:00:00.000Z,4548,1072
2020-05-21T00:00:00.000Z,4230,1371
2020-05-22T00:00:00.000Z,2956,1659
2020-05-23T00:00:00.000Z,589,81
2020-05-24T00:00:00.000Z,2701,738
2020-05-25T00:00:00.000Z,3698,1152
2020-05-26T00:00:00.000Z,4359,2155
2020-05-27T00:00:00.000Z,4204,2238
2020-05-28T00:00:00.000Z,3161,1869
2020-05-29T00:00:00.000Z,1540,263
2020-05-30T00:00:00.000Z,928,113
2020-05-31T00:00:00.000Z,4544,955
2020-06-01T00:00:00.000Z,5609,2298
2020-06-02T00:00:00.000Z,8599,2978
2020-06-03T00:00:00.000Z,9460,3582
2020-06-04T00:00:00.000Z,11575,3153
2020-06-05T00:00:00.000Z,12813,3538
2020-06-06T00:00:00.000Z,10282,1160
2020-06-07T00:00:00.000Z,12660,2231
2020-06-08T00:00:00.000Z,12240,2248
2020-06-09T00:00:00.000Z,11949,2918
2020-06-10T00:00:00.000Z,14084,4082
2020-06-11T00:00:00.000Z,12645,2920
2020-06-12T00:00:00.000Z,10811,2068
2020-06-13T00:00:00.000Z,5793,1054
2020-06-14T00:00:00.000Z,7049,1585
2020-06-15T00:00:00.000Z,11249,2860
2020-06-16T00:00:00.000Z,12860,3064
2020-06-17T00:00:00.000Z,12736,2901
2020-06-18T00:00:00.000Z,13187,3753
2020-06-19T00:00:00.000Z,10601,1847
2020-06-20T00:00:00.000Z,5085,693
2020-06-21T00:00:00.000Z,7317,1592
2020-06-22T00:00:00.000Z,11283,2177
2020-06-23T00:00:00.000Z,15038,4124
2020-06-24T00:00:00.000Z,15730,2139
2020-06-25T00:00:00.000Z,14894,3085
2020-06-26T00:00:00.000Z,13305,2815
2020-06-27T00:00:00.000Z,8757,1294
2020-06-28T00:00:00.000Z,8735,1155
2020-06-29T00:00:00.000Z,16836,3422
2020-06-30T00:00:00.000Z,16705,3443
2020-07-01T00:00:00.000Z,17660,3169
2020-07-02T00:00:00.000Z,20937,3327
2020-07-03T00:00:00.000Z,18058,2406
2020-07-04T00:00:00.000Z,14841,1860
2020-07-05T00:00:00.000Z,17620,2656
2020-07-06T00:00:00.000Z,21000,3748
2020-07-07T00:00:00.000Z,23876,3823
2020-07-08T00:00:00.000Z,24553,4041
2020-07-09T00:00:00.000Z,25205,3698
2020-07-10T00:00:00.000Z,21419,3346
2020-07-11T00:00:00.000Z,17034,2212
2020-07-12T00:00:00.000Z,17221,3072
2020-07-13T00:00:00.000Z,23099,4378
2020-07-14T00:00:00.000Z,23415,6563
2020-07-15T00:00:00.000Z,23396,4521
2020-07-16T00:00:00.000Z,23142,5311
2020-07-17T00:00:00.000Z,19148,4433
2020-07-18T00:00:00.000Z,14978,3234
2020-07-19T00:00:00.000Z,13278,4537
2020-07-20T00:00:00.000Z,20219,4273
2020-07-21T00:00:00.000Z,21120,5646
2020-07-22T00:00:00.000Z,21133,4582
2020-07-23T00:00:00.000Z,23098,6186
2020-07-24T00:00:00.000Z,18446,4251
2020-07-25T00:00:00.000Z,11030,3606
2020-07-26T00:00:00.000Z,10506,921
2020-07-27T00:00:00.000Z,21495,5749
2020-07-28T00:00:00.000Z,19683,6086
2020-07-29T00:00:00.000Z,20263,5192
2020-07-30T00:00:00.000Z,17617,3605
2020-07-31T00:00:00.000Z,16065,6076
2020-08-01T00:00:00.000Z,5632,1824
2020-08-02T00:00:00.000Z,8613,1005
2020-08-03T00:00:00.000Z,17466,5086
2020-08-04T00:00:00.000Z,18831,6258
2020-08-05T00:00:00.000Z,18848,6045
2020-08-06T00:00:00.000Z,20002,7838
2020-08-07T00:00:00.000Z,18130,6402
2020-08-08T00:00:00.000Z,6345,1791
2020-08-09T00:00:00.000Z,9753,1790
2020-08-10T00:00:00.000Z,18356,5019
2020-08-11T00:00:00.000Z,20288,6285
2020-08-12T00:00:00.000Z,19713,5580
2020-08-13T00:00:00.000Z,19587,8226
2020-08-14T00:00:00.000Z,15474,4609
2020-08-15T00:00:00.000Z,7541,1323
2020-08-16T00:00:00.000Z,10444,1177
2020-08-17T00:00:00.000Z,18274,6620
2020-08-18T00:00:00.000Z,21058,5723
2020-08-19T00:00:00.000Z,21132,6108
2020-08-20T00:00:00.000Z,21189,6660
2020-08-21T00:00:00.000Z,20339,6024
2020-08-22T00:00:00.000Z,7785,2734
2020-08-23T00:00:00.000Z,11567,1040
2020-08-24T00:00:00.000Z,21672,7129
2020-08-25T00:00:00.000Z,23694,9124
2020-08-26T00:00:00.000Z,24488,8584
2020-08-27T00:00:00.000Z,26275,8920
2020-08-28T00:00:00.000Z,18244,4112
2020-08-29T00:00:00.000Z,8915,1256
2020-08-30T00:00:00.000Z,10399,2512
2020-08-31T00:00:00.000Z,24729,5924
2020-09-01T00:00:00.000Z,20930,6596
2020-09-02T00:00:00.000Z,25875,8702
2020-09-03T00:00:00.000Z,26659,7320
2020-09-04T00:00:00.000Z,24295,6443
2020-09-05T00:00:00.000Z,12238,3054
2020-09-06T00:00:00.000Z,16819,1906
2020-09-07T00:00:00.000Z,32678,7337
2020-09-08T00:00:00.000Z,35938,8461
2020-09-09T00:00:00.000Z,37164,7945
2020-09-10T00:00:00.000Z,40826,6555
2020-09-11T00:00:00.000Z,36458,6330
2020-09-12T00:00:00.000Z,24661,5123
2020-09-13T00:00:00.000Z,28574,5302
2020-09-14T00:00:00.000Z,39083,7199
2020-09-15T00:00:00.000Z,48333,7974
2020-09-16T00:00:00.000Z,44492,8466
2020-09-17T00:00:00.000Z,50944,6517
2020-09-18T00:00:00.000Z,45503,7731
2020-09-19T00:00:00.000Z,33488,8284
2020-09-20T00:00:00.000Z,20435,3076
2020-09-21T00:00:00.000Z,29142,4288
2020-09-22T00:00:00.000Z,48856,12220
2020-09-23T00:00:00.000Z,48912,8823
2020-09-24T00:00:00.000Z,55840,10316
2020-09-25T00:00:00.000Z,51678,9538
2020-09-26T00:00:00.000Z,37001,8054
2020-09-27T00:00:00.000Z,21745,2448
2020-09-28T00:00:00.000Z,7175,516
2020-09-29T00:00:00.000Z,30397,2773
2020-09-30T00:00:00.000Z,57610,10056
2020-10-01T00:00:00.000Z,54317,9341
2020-10-02T00:00:00.000Z,50970,8862
2020-10-03T00:00:00.000Z,17929,5578
2020-10-04T00:00:00.000Z,22550,2293
2020-10-05T00:00:00.000Z,41170,8537
2020-10-06T00:00:00.000Z,37092,7650
2020-10-07T00:00:00.000Z,38258,8247
2020-10-08T00:00:00.000Z,38992,8195
2020-10-09T00:00:00.000Z,29336,5871
2020-10-10T00:00:00.000Z,10475,1820
2020-10-11T00:00:00.000Z,19285,2004
2020-10-12T00:00:00.000Z,37154,7172
2020-10-13T00:00:00.000Z,33124,9303
2020-10-14T00:00:00.000Z,31024,7641
2020-10-15T00:00:00.000Z,28826,6696
2020-10-16T00:00:00.000Z,27644,5299
2020-10-17T00:00:00.000Z,11486,2732
2020-10-18T00:00:00.000Z,22657,3376
2020-10-19T00:00:00.000Z,33403,6405
2020-10-20T00:00:00.000Z,31469,9073
2020-10-21T00:00:00.000Z,34127,7315
2020-10-22T00:00:00.000Z,29113,4608
2020-10-23T00:00:00.000Z,25482,3791
2020-10-24T00:00:00.000Z,4961,1350
2020-10-25T00:00:00.000Z,18223,2494
2020-10-26T00:00:00.000Z,29506,9800
2020-10-27T00:00:00.000Z,29950,10198
2020-10-28T00:00:00.000Z,26508,7369
2020-10-29T00:00:00.000Z,28500,7849
2020-10-30T00:00:00.000Z,24474,7241
2020-10-31T00:00:00.000Z,5997,1717
2020-11-01T00:00:00.000Z,17950,3899
2020-11-02T00:00:00.000Z,26073,8425
2020-11-03T00:00:00.000Z,29042,11152
2020-11-04T00:00:00.000Z,30393,8297
2020-11-05T00:00:00.000Z,27476,6991
2020-11-06T00:00:00.000Z,24992,5738
2020-11-07T00:00:00.000Z,7083,994
2020-11-08T00:00:00.000Z,18256,3230
2020-11-09T00:00:00.000Z,27641,6748
2020-11-10T00:00:00.000Z,30701,9842
2020-11-11T00:00:00.000Z,32024,7494
2020-11-12T00:00:00.000Z,32859,6467
2020-11-13T00:00:00.000Z,28277,6755
2020-11-14T00:00:00.000Z,11183,1472
2020-11-15T00:00:00.000Z,21378,1924
2020-11-16T00:00:00.000Z,38355,9506
2020-11-17T00:00:00.000Z,40656,14798
2020-11-18T00:00:00.000Z,37503,8139
2020-11-19T00:00:00.000Z,42200,12963
2020-11-20T00:00:00.000Z,36717,6506
2020-11-21T00:00:00.000Z,13899,1706
2020-11-22T00:00:00.000Z,29393,4921
2020-11-23T00:00:00.000Z,42664,9836
2020-11-24T00:00:00.000Z,45805,12922
2020-11-25T00:00:00.000Z,47957,11684
2020-11-26T00:00:00.000Z,41493,11883
2020-11-27T00:00:00.000Z,40018,7953
2020-11-28T00:00:00.000Z,13958,3224
2020-11-29T00:00:00.000Z,33785,5737
2020-11-30T00:00:00.000Z,47266,10268
2020-12-01T00:00:00.000Z,49737,14243
2020-12-02T00:00:00.000Z,57400,13886
2020-12-03T00:00:00.000Z,51434,12749
2020-12-04T00:00:00.000Z,52584,7819
2020-12-05T00:00:00.000Z,22315,3054
2020-12-06T00:00:00.000Z,36919,5147
2020-12-07T00:00:00.000Z,55133,10959
2020-12-08T00:00:00.000Z,57612,11547
2020-12-09T00:00:00.000Z,59852,14018
2020-12-10T00:00:00.000Z,62870,13468
2020-12-11T00:00:00.000Z,63028,12660
2020-12-12T00:00:00.000Z,38290,5704
2020-12-13T00:00:00.000Z,46019,4496
2020-12-14T00:00:00.000Z,63026,9186
2020-12-15T00:00:00.000Z,71225,11092
2020-12-16T00:00:00.000Z,72604,9875
2020-12-17T00:00:00.000Z,68820,10305
