Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc,vaccinated_third_dose,vaccinated_third_dose_cum,vaccinated_third_dose_population_perc,vaccinated_fourth_dose,vaccinated_fourth_dose_cum,vaccinated_fourth_dose_population_perc,vaccinated_validity_perc,vaccinated_expired_perc,not_vaccinated_perc
2020-12-19T00:00:00.000Z,46,66,0,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-20T00:00:00.000Z,7389,7455,0.08,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-21T00:00:00.000Z,24916,32371,0.35,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-22T00:00:00.000Z,44649,77020,0.83,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-23T00:00:00.000Z,62897,139917,1.5,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-24T00:00:00.000Z,73410,213327,2.29,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-25T00:00:00.000Z,38505,251832,2.71,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-26T00:00:00.000Z,32608,284440,3.06,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-27T00:00:00.000Z,104537,388977,4.18,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-28T00:00:00.000Z,134982,523959,5.63,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-29T00:00:00.000Z,156248,680207,7.31,2,6,0,0,0,0,0,0,0,0,0,100
2020-12-30T00:00:00.000Z,153099,833306,8.96,0,6,0,0,0,0,0,0,0,0,0,100
2020-12-31T00:00:00.000Z,158504,991810,10.67,0,6,0,0,0,0,0,0,0,0,0,100
2021-01-01T00:00:00.000Z,71399,1063209,11.43,0,6,0,0,0,0,0,0,0,0,0,100
2021-01-02T00:00:00.000Z,71705,1134914,12.2,0,6,0,0,0,0,0,0,0,0,0,100
2021-01-03T00:00:00.000Z,149690,1284604,13.81,0,6,0,0,0,0,0,0,0,0,0,100
2021-01-04T00:00:00.000Z,152132,1436736,15.45,1,7,0,0,0,0,0,0,0,0,0,100
2021-01-05T00:00:00.000Z,125129,1561865,16.8,3,10,0,0,0,0,0,0,0,0,0,100
