Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc
2020-12-19T00:00:00.000Z,43,61,0,0,0,0
2020-12-20T00:00:00.000Z,7370,7431,0.08,0,0,0
2020-12-21T00:00:00.000Z,24894,32325,0.35,0,0,0
2020-12-22T00:00:00.000Z,44661,76986,0.83,0,0,0
2020-12-23T00:00:00.000Z,62994,139980,1.51,0,0,0
2020-12-24T00:00:00.000Z,73611,213591,2.3,0,0,0
2020-12-25T00:00:00.000Z,38764,252355,2.71,0,0,0
2020-12-26T00:00:00.000Z,32876,285231,3.07,0,0,0
2020-12-27T00:00:00.000Z,105118,390349,4.2,0,0,0
2020-12-28T00:00:00.000Z,135961,526310,5.66,0,0,0
2020-12-29T00:00:00.000Z,157424,683734,7.35,0,0,0
2020-12-30T00:00:00.000Z,154340,838074,9.01,0,0,0
2020-12-31T00:00:00.000Z,159686,997760,10.73,0,0,0
2021-01-01T00:00:00.000Z,72161,1069921,11.51,0,0,0
2021-01-02T00:00:00.000Z,72438,1142359,12.28,0,0,0
2021-01-03T00:00:00.000Z,151056,1293415,13.91,0,0,0
2021-01-04T00:00:00.000Z,153184,1446599,15.56,2,2,0
2021-01-05T00:00:00.000Z,126796,1573395,16.92,0,2,0
2021-01-06T00:00:00.000Z,104855,1678250,18.05,0,2,0
2021-01-07T00:00:00.000Z,117477,1795727,19.31,3,5,0
2021-01-08T00:00:00.000Z,67152,1862879,20.03,3,8,0
2021-01-09T00:00:00.000Z,45000,1907879,20.52,22,30,0
2021-01-10T00:00:00.000Z,38135,1946014,20.93,5983,6013,0.06
2021-01-11T00:00:00.000Z,21439,1967453,21.16,19239,25252,0.27
2021-01-12T00:00:00.000Z,24275,1991728,21.42,35659,60911,0.66
2021-01-13T00:00:00.000Z,52472,2044200,21.98,56936,117847,1.27
2021-01-14T00:00:00.000Z,56818,2101018,22.59,68925,186772,2.01
2021-01-15T00:00:00.000Z,31005,2132023,22.93,36138,222910,2.4
2021-01-16T00:00:00.000Z,29704,2161727,23.25,26206,249116,2.68
2021-01-17T00:00:00.000Z,68393,2230120,23.98,84612,333728,3.59
2021-01-18T00:00:00.000Z,69470,2299590,24.73,120086,453814,4.88
