age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.28,81.33,18.4
12-15,65.7,54.7,15,0,0.72,47.48,51.79
16-19,89.3,78.3,46,0.2,0.61,24.42,74.98
20-29,85.7,77.2,54.8,0.9,0.85,12.59,86.56
30-39,89,82.1,59.8,2.1,1.42,10.29,88.29
40-49,90.6,84.8,67.1,3.6,2.16,8.39,89.46
50-59,91.3,86.6,73.4,7.4,4.25,5.51,90.24
60-69,93.2,90.4,80.9,34.2,11.55,7.47,80.98
70-79,92.1,90.7,87.4,54.8,25.22,0.75,74.03
80+,95.3,93.3,87.6,58.2,27.5,3,69.5
