age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,1.5,79.5,18.9
12-15,65.7,54.7,14.9,0,3.9,44.3,51.9
16-19,89.3,78.3,46,0.2,4.2,22.9,72.9
20-29,85.6,77.1,54.8,0.9,4.9,13.2,81.9
30-39,89,82,59.7,2.1,5.9,10.5,83.6
40-49,90.6,84.7,67.1,3.5,6.3,9,84.8
50-59,91.2,86.6,73.3,7.3,7.3,6.6,86.2
60-69,93.2,90.3,80.9,34.1,6.9,7.6,85.5
70-79,92.1,90.7,87.4,54.6,7,3.5,89.4
80+,95.3,93.3,87.5,58.1,6.5,5.9,87.6
