cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
Afula,קטן מ-15,אין מידע,85,14.95,6.99,כתום,56844
Akko,קטן מ-15,אין מידע,52,10.50,5.32,צהוב,49517
Arad,קטן מ-15,אין מידע,19,6.99,6.98,כתום,27170
Ari'el,קטן מ-15,אין מידע,16,7.81,6.44,כתום,20488
Ashdod,35,17.33,202,8.93,6.39,כתום,226329
Ashqelon,26,14.77,176,12.02,6.55,כתום,146442
Baqa Al-Gharbiyye,קטן מ-15,אין מידע,26,8.54,3.8,ירוק,30448
Bat Yam,קטן מ-15,אין מידע,113,8.84,5.92,צהוב,127772
Be'er Sheva,31,11.97,259,12.30,5.31,צהוב,210624
Be'er Ya'aqov,קטן מ-15,אין מידע,21,7.29,7.19,כתום,28818
Bene Beraq,קטן מ-15,אין מידע,45,2.16,5.07,צהוב,208031
Bet She'an,קטן מ-15,אין מידע,16,8.43,6.34,כתום,18980
Bet Shemesh,קטן מ-15,אין מידע,25,1.89,3.44,ירוק,132210
Dimona,קטן מ-15,אין מידע,24,6.87,5.5,צהוב,34954
Elat,קטן מ-15,אין מידע,27,5.14,6.09,כתום,52507
Even Yehuda,קטן מ-15,אין מידע,23,16.39,6.74,כתום,14036
Ganne Tiqwa,קטן מ-15,אין מידע,37,17.20,6.9,כתום,21508
Gedera,קטן מ-15,אין מידע,34,11.80,6.77,כתום,28805
Giv'at Shemu'el,קטן מ-15,אין מידע,22,8.08,6.08,כתום,27236
Giv'atayim,קטן מ-15,אין מידע,65,10.68,6.21,כתום,60872
Hadera,18,14.63,123,12.43,5.48,צהוב,98928
Haifa,37,8.87,417,14.63,6.98,כתום,284981
Herzliyya,קטן מ-15,אין מידע,130,13.10,6.63,כתום,99208
Hod Hasharon,קטן מ-15,אין מידע,97,14.98,6.56,כתום,64755
Holon,30,13.95,215,10.94,6.1,כתום,196510
Jerusalem,29,7.86,369,3.87,4.64,צהוב,952916
Karmi'el,31,27.19,114,24.68,8.09,אדום,46190
Kefar Sava,24,13.26,181,17.80,6.41,כתום,101664
Kefar Yona,קטן מ-15,אין מידע,27,10.33,5.73,צהוב,26140
Lehavim,0,0,17,25.60,8.34,אדום,6641
Lod,קטן מ-15,אין מידע,35,4.33,4.71,צהוב,80786
Ma'ale Adummim,קטן מ-15,אין מידע,31,8.20,4.34,ירוק,37802
Ma'alot-Tarshiha,קטן מ-15,אין מידע,21,9.48,5.71,צהוב,22158
Mazkeret Batya,קטן מ-15,אין מידע,20,13.25,6.31,כתום,15095
Metar,קטן מ-15,אין מידע,17,17.06,7.97,אדום,9963
Mevasseret Ziyyon,0,0,27,11.09,7.13,כתום,24347
Migdal Haemeq,קטן מ-15,אין מידע,34,13.18,7.06,כתום,25790
Modi'in-Makkabbim-Re'ut,32,23.19,138,14.57,7.92,אדום,94744
Nahariyya,קטן מ-15,אין מידע,96,16.22,7.87,אדום,59189
Nazareth,קטן מ-15,אין מידע,26,3.34,3.3,ירוק,77734
Nes Ziyyona,קטן מ-15,אין מידע,66,13.06,8.01,אדום,50532
Nesher,קטן מ-15,אין מידע,30,12.53,6.82,כתום,23947
Netanya,32,12.26,261,11.67,6.49,כתום,223562
Netivot,קטן מ-15,אין מידע,18,4.56,5.44,צהוב,39456
Nof Hagalil,קטן מ-15,אין מידע,67,15.97,7.42,כתום,41950
Or Aqiva,קטן מ-15,אין מידע,23,11.85,5.11,צהוב,19417
Or Yehuda,קטן מ-15,אין מידע,26,7.11,3.72,ירוק,36587
Pardes Hanna-Karkur,קטן מ-15,אין מידע,53,12.14,6.03,כתום,43646
Petah Tiqwa,42,12.24,343,13.70,7.11,כתום,250427
Qadima-Zoran,קטן מ-15,אין מידע,20,8.81,6.45,כתום,22711
Qiryat Atta,קטן מ-15,אין מידע,61,10.29,6.8,כתום,59291
Qiryat Bialik,קטן מ-15,אין מידע,62,14.89,7.13,כתום,41645
Qiryat Gat,קטן מ-15,אין מידע,63,10.76,8.53,אדום,58550
Qiryat Motzkin,קטן מ-15,אין מידע,65,14.30,7.85,אדום,45461
Qiryat Ono,16,24.24,66,16.19,7.45,כתום,40778
Qiryat Shemona,קטן מ-15,אין מידע,18,8.01,8.11,אדום,22470
Qiryat Tiv'on,קטן מ-15,אין מידע,23,12.59,6.43,כתום,18266
Qiryat Yam,קטן מ-15,אין מידע,52,13.20,7.05,כתום,39389
Ra'annana,15,10.00,150,19.49,6.98,כתום,76958
Ramat Gan,קטן מ-15,אין מידע,178,10.67,5.24,צהוב,166746
Ramat Hasharon,קטן מ-15,אין מידע,74,15.58,8.02,אדום,47482
Ramla,קטן מ-15,אין מידע,48,6.24,5.85,צהוב,76903
Rehovot,קטן מ-15,אין מידע,160,10.94,7.24,כתום,146213
Rishon Leziyyon,36,10.94,329,12.86,6.63,כתום,255891
Rosh Haayin,קטן מ-15,אין מידע,71,10.54,6.18,כתום,67337
Sederot,קטן מ-15,אין מידע,23,7.96,6.79,כתום,28899
Tayibe,קטן מ-15,אין מידע,20,4.49,2.45,ירוק,44582
Tel Aviv - Yafo,47,10.15,463,9.24,5.83,צהוב,501015
Tiberias,קטן מ-15,אין מידע,61,13.35,6.06,כתום,45686
Tirat Karmel,קטן מ-15,אין מידע,26,10.71,5.78,צהוב,24285
Umm Al-Fahm,קטן מ-15,אין מידע,20,3.53,2.8,ירוק,56713
Yavne,קטן מ-15,אין מידע,44,8.84,4.73,צהוב,49759
Yehud,קטן מ-15,אין מידע,41,13.67,6.97,כתום,30003
Yoqne'am Illit,קטן מ-15,אין מידע,39,16.21,7.18,כתום,24061
Zikhron Ya'aqov,קטן מ-15,אין מידע,27,11.49,7.07,כתום,23503
