section,female,male,period
0-9,"{'amount': 9, 'percentage': 0.4}","{'amount': 22, 'percentage': 0.9}",שנה
0-9,"{'amount': 15, 'percentage': 0.3}","{'amount': 30, 'percentage': 0.5}",מתחילת קורונה
0-9,"{'amount': 8, 'percentage': 0.5}","{'amount': 18, 'percentage': 1.2}",6 חודשים
0-9,"{'amount': 8, 'percentage': 0.7}","{'amount': 16, 'percentage': 1.3}",3 חודשים
0-9,"{'amount': 2, 'percentage': 0.6}","{'amount': 3, 'percentage': 0.9}",חודש אחרון
10-19,"{'amount': 2, 'percentage': 0.6}","{'amount': 1, 'percentage': 0.3}",חודש אחרון
10-19,"{'amount': 16, 'percentage': 0.7}","{'amount': 14, 'percentage': 0.6}",שנה
10-19,"{'amount': 23, 'percentage': 0.4}","{'amount': 23, 'percentage': 0.4}",מתחילת קורונה
10-19,"{'amount': 11, 'percentage': 0.7}","{'amount': 11, 'percentage': 0.7}",6 חודשים
10-19,"{'amount': 9, 'percentage': 0.8}","{'amount': 9, 'percentage': 0.8}",3 חודשים
20-29,"{'amount': 15, 'percentage': 1}","{'amount': 16, 'percentage': 1}",6 חודשים
20-29,"{'amount': 10, 'percentage': 0.8}","{'amount': 9, 'percentage': 0.8}",3 חודשים
20-29,"{'amount': 58, 'percentage': 1}","{'amount': 52, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 23, 'percentage': 0.9}","{'amount': 24, 'percentage': 1}",שנה
20-29,"{'amount': 1, 'percentage': 0.3}","{'amount': 3, 'percentage': 0.9}",חודש אחרון
30-39,"{'amount': 44, 'percentage': 1.8}","{'amount': 49, 'percentage': 2}",שנה
30-39,"{'amount': 100, 'percentage': 1.7}","{'amount': 102, 'percentage': 1.7}",מתחילת קורונה
30-39,"{'amount': 19, 'percentage': 1.2}","{'amount': 34, 'percentage': 2.2}",6 חודשים
30-39,"{'amount': 11, 'percentage': 0.9}","{'amount': 25, 'percentage': 2.1}",3 חודשים
30-39,"{'amount': 6, 'percentage': 1.8}","{'amount': 13, 'percentage': 3.9}",חודש אחרון
40-49,"{'amount': 137, 'percentage': 2.3}","{'amount': 262, 'percentage': 4.4}",מתחילת קורונה
40-49,"{'amount': 57, 'percentage': 2.3}","{'amount': 120, 'percentage': 4.9}",שנה
40-49,"{'amount': 31, 'percentage': 2}","{'amount': 73, 'percentage': 4.7}",6 חודשים
40-49,"{'amount': 18, 'percentage': 1.5}","{'amount': 42, 'percentage': 3.5}",3 חודשים
40-49,"{'amount': 7, 'percentage': 2.1}","{'amount': 13, 'percentage': 3.9}",חודש אחרון
50-59,"{'amount': 126, 'percentage': 5.1}","{'amount': 218, 'percentage': 8.9}",שנה
50-59,"{'amount': 8, 'percentage': 2.4}","{'amount': 26, 'percentage': 7.8}",חודש אחרון
50-59,"{'amount': 251, 'percentage': 4.2}","{'amount': 536, 'percentage': 9.1}",מתחילת קורונה
50-59,"{'amount': 68, 'percentage': 4.4}","{'amount': 134, 'percentage': 8.7}",6 חודשים
50-59,"{'amount': 49, 'percentage': 4.1}","{'amount': 88, 'percentage': 7.4}",3 חודשים
60-69,"{'amount': 497, 'percentage': 8.4}","{'amount': 913, 'percentage': 15.4}",מתחילת קורונה
60-69,"{'amount': 228, 'percentage': 9.3}","{'amount': 303, 'percentage': 12.3}",שנה
60-69,"{'amount': 126, 'percentage': 8.2}","{'amount': 186, 'percentage': 12.1}",6 חודשים
60-69,"{'amount': 86, 'percentage': 7.2}","{'amount': 137, 'percentage': 11.5}",3 חודשים
60-69,"{'amount': 30, 'percentage': 9}","{'amount': 55, 'percentage': 16.4}",חודש אחרון
70-79,"{'amount': 250, 'percentage': 10.2}","{'amount': 357, 'percentage': 14.5}",שנה
70-79,"{'amount': 34, 'percentage': 10.1}","{'amount': 51, 'percentage': 15.2}",חודש אחרון
70-79,"{'amount': 564, 'percentage': 9.5}","{'amount': 995, 'percentage': 16.8}",מתחילת קורונה
70-79,"{'amount': 166, 'percentage': 10.8}","{'amount': 218, 'percentage': 14.2}",6 חודשים
70-79,"{'amount': 121, 'percentage': 10.1}","{'amount': 193, 'percentage': 16.2}",3 חודשים
80-89,"{'amount': 215, 'percentage': 8.8}","{'amount': 258, 'percentage': 10.5}",שנה
80-89,"{'amount': 464, 'percentage': 7.9}","{'amount': 620, 'percentage': 10.5}",מתחילת קורונה
80-89,"{'amount': 143, 'percentage': 9.3}","{'amount': 173, 'percentage': 11.2}",6 חודשים
80-89,"{'amount': 126, 'percentage': 10.6}","{'amount': 156, 'percentage': 13.1}",3 חודשים
80-89,"{'amount': 26, 'percentage': 7.8}","{'amount': 40, 'percentage': 11.9}",חודש אחרון
90+,"{'amount': 61, 'percentage': 2.5}","{'amount': 61, 'percentage': 2.5}",שנה
90+,"{'amount': 44, 'percentage': 2.9}","{'amount': 44, 'percentage': 2.9}",6 חודשים
90+,"{'amount': 131, 'percentage': 2.2}","{'amount': 137, 'percentage': 2.3}",מתחילת קורונה
90+,"{'amount': 39, 'percentage': 3.3}","{'amount': 42, 'percentage': 3.5}",3 חודשים
90+,"{'amount': 7, 'percentage': 2.1}","{'amount': 7, 'percentage': 2.1}",חודש אחרון
