age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.32,81.25,18.43
12-15,65.7,54.7,15,0,0.78,47.3,51.92
16-19,89.3,78.3,46,0.2,0.63,24.31,75.06
20-29,85.7,77.2,54.8,0.9,0.86,12.6,86.54
30-39,89,82.1,59.8,2.1,1.41,10.26,88.33
40-49,90.6,84.8,67.1,3.6,2.15,8.42,89.43
50-59,91.3,86.6,73.4,7.4,4.2,5.52,90.28
60-69,93.2,90.4,80.9,34.2,11.24,7.29,81.47
70-79,92.1,90.7,87.4,54.8,24.41,0.63,74.96
80+,95.3,93.3,87.6,58.2,26.47,4.54,68.99
