age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,73414,264,29,5.9,0,0,0.03,99.97,0
12-15,378188,304379,1941,59.5,47.9,0.3,58.46,41.53,0.01
16-19,518342,450818,208710,87.7,76.2,35.3,64.15,20.94,14.9
20-29,1111985,993210,657211,84.3,75.3,49.8,66.45,15.79,17.75
30-39,1061334,972589,664677,87.9,80.6,55.1,69.91,12.66,17.43
40-49,996430,925938,700675,89.7,83.3,63.1,76.11,10.55,13.34
50-59,791289,745201,609858,90.5,85.2,69.7,80.47,8.92,10.6
60-69,689693,663446,579029,92.3,88.8,77.5,85.53,7.67,6.8
70-79,476935,466459,438787,90.5,88.5,83.3,88.17,6.63,5.2
80-89,215837,210440,192066,90.4,88.2,80.5,85.19,7.52,7.29
90+,49129,47334,42076,83.7,80.7,71.7,75.54,11.53,12.93
