age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.6,0,0,23.1,76.8,0.1
12-15,65.6,54.5,14.7,0,37.4,42.4,20.2
16-19,89.2,78.2,45.9,0.2,33.9,22.3,43.8
20-29,85.6,77,54.7,0.8,30.3,13.5,56.2
30-39,88.9,81.9,59.6,1.9,34.5,10.7,54.8
40-49,90.5,84.7,67,3.3,35.9,9.2,54.9
50-59,91.2,86.5,73.2,6.8,35.1,7,57.9
60-69,93.1,90.2,80.8,33.5,51.8,7.9,40.4
70-79,92,90.6,87.3,53.9,65.1,4.8,30.1
80+,95.3,93.2,87.5,57.5,65,6.4,28.6
