section,male,female,period,order_period
0-9,"{'amount': 27, 'percentage': 0.5}","{'amount': 13, 'percentage': 0.2}",מתחילת קורונה,1
0-9,"{'amount': 12, 'percentage': 1.2}","{'amount': 6, 'percentage': 0.6}",3 חודשים,4
0-9,"{'amount': 17, 'percentage': 1}","{'amount': 6, 'percentage': 0.3}",6 חודשים,3
0-9,"{'amount': 19, 'percentage': 0.7}","{'amount': 10, 'percentage': 0.4}",שנה,2
0-9,"{'amount': 11, 'percentage': 1.3}","{'amount': 6, 'percentage': 0.7}",חודש אחרון,5
10-19,"{'amount': 23, 'percentage': 0.4}","{'amount': 19, 'percentage': 0.3}",מתחילת קורונה,1
10-19,"{'amount': 8, 'percentage': 0.9}","{'amount': 7, 'percentage': 0.8}",חודש אחרון,5
10-19,"{'amount': 8, 'percentage': 0.8}","{'amount': 7, 'percentage': 0.7}",3 חודשים,4
10-19,"{'amount': 13, 'percentage': 0.7}","{'amount': 12, 'percentage': 0.7}",6 חודשים,3
10-19,"{'amount': 14, 'percentage': 0.5}","{'amount': 15, 'percentage': 0.5}",שנה,2
20-29,"{'amount': 37, 'percentage': 1.3}","{'amount': 28, 'percentage': 1}",שנה,2
20-29,"{'amount': 20, 'percentage': 1.1}","{'amount': 16, 'percentage': 0.9}",6 חודשים,3
20-29,"{'amount': 9, 'percentage': 0.9}","{'amount': 12, 'percentage': 1.2}",3 חודשים,4
20-29,"{'amount': 7, 'percentage': 0.8}","{'amount': 9, 'percentage': 1.1}",חודש אחרון,5
20-29,"{'amount': 49, 'percentage': 0.9}","{'amount': 55, 'percentage': 1}",מתחילת קורונה,1
30-39,"{'amount': 50, 'percentage': 1.8}","{'amount': 59, 'percentage': 2.1}",שנה,2
30-39,"{'amount': 85, 'percentage': 1.5}","{'amount': 89, 'percentage': 1.6}",מתחילת קורונה,1
30-39,"{'amount': 9, 'percentage': 1.1}","{'amount': 7, 'percentage': 0.8}",חודש אחרון,5
30-39,"{'amount': 14, 'percentage': 1.4}","{'amount': 12, 'percentage': 1.2}",3 חודשים,4
30-39,"{'amount': 30, 'percentage': 1.7}","{'amount': 29, 'percentage': 1.6}",6 חודשים,3
40-49,"{'amount': 236, 'percentage': 4.2}","{'amount': 139, 'percentage': 2.5}",מתחילת קורונה,1
40-49,"{'amount': 41, 'percentage': 4.1}","{'amount': 21, 'percentage': 2.1}",3 חודשים,4
40-49,"{'amount': 142, 'percentage': 5.2}","{'amount': 81, 'percentage': 3}",שנה,2
40-49,"{'amount': 82, 'percentage': 4.6}","{'amount': 47, 'percentage': 2.7}",6 חודשים,3
40-49,"{'amount': 28, 'percentage': 3.3}","{'amount': 15, 'percentage': 1.8}",חודש אחרון,5
50-59,"{'amount': 66, 'percentage': 7.8}","{'amount': 44, 'percentage': 5.2}",חודש אחרון,5
50-59,"{'amount': 154, 'percentage': 8.7}","{'amount': 93, 'percentage': 5.3}",6 חודשים,3
50-59,"{'amount': 81, 'percentage': 8.2}","{'amount': 53, 'percentage': 5.3}",3 חודשים,4
50-59,"{'amount': 509, 'percentage': 9.1}","{'amount': 250, 'percentage': 4.4}",מתחילת קורונה,1
50-59,"{'amount': 255, 'percentage': 9.3}","{'amount': 154, 'percentage': 5.6}",שנה,2
60-69,"{'amount': 220, 'percentage': 12.4}","{'amount': 161, 'percentage': 9.1}",6 חודשים,3
60-69,"{'amount': 93, 'percentage': 10.9}","{'amount': 59, 'percentage': 6.9}",חודש אחרון,5
60-69,"{'amount': 116, 'percentage': 11.7}","{'amount': 70, 'percentage': 7.1}",3 חודשים,4
60-69,"{'amount': 868, 'percentage': 15.4}","{'amount': 456, 'percentage': 8.1}",מתחילת קורונה,1
60-69,"{'amount': 360, 'percentage': 13.1}","{'amount': 251, 'percentage': 9.1}",שנה,2
70-79,"{'amount': 137, 'percentage': 16.1}","{'amount': 81, 'percentage': 9.5}",חודש אחרון,5
70-79,"{'amount': 148, 'percentage': 14.9}","{'amount': 94, 'percentage': 9.5}",3 חודשים,4
70-79,"{'amount': 253, 'percentage': 14.3}","{'amount': 178, 'percentage': 10.1}",6 חודשים,3
70-79,"{'amount': 384, 'percentage': 14}","{'amount': 276, 'percentage': 10.1}",שנה,2
70-79,"{'amount': 964, 'percentage': 17.1}","{'amount': 541, 'percentage': 9.6}",מתחילת קורונה,1
80-89,"{'amount': 599, 'percentage': 10.7}","{'amount': 451, 'percentage': 8}",מתחילת קורונה,1
80-89,"{'amount': 111, 'percentage': 13}","{'amount': 97, 'percentage': 11.4}",חודש אחרון,5
80-89,"{'amount': 190, 'percentage': 10.7}","{'amount': 162, 'percentage': 9.2}",6 חודשים,3
80-89,"{'amount': 268, 'percentage': 9.8}","{'amount': 231, 'percentage': 8.4}",שנה,2
80-89,"{'amount': 123, 'percentage': 12.4}","{'amount': 105, 'percentage': 10.6}",3 חודשים,4
90+,"{'amount': 125, 'percentage': 2.2}","{'amount': 123, 'percentage': 2.2}",מתחילת קורונה,1
90+,"{'amount': 53, 'percentage': 1.9}","{'amount': 58, 'percentage': 2.1}",שנה,2
90+,"{'amount': 41, 'percentage': 2.3}","{'amount': 44, 'percentage': 2.5}",6 חודשים,3
90+,"{'amount': 29, 'percentage': 2.9}","{'amount': 31, 'percentage': 3.1}",3 חודשים,4
90+,"{'amount': 28, 'percentage': 3.3}","{'amount': 28, 'percentage': 3.3}",חודש אחרון,5
