age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.4,0,0,24.27,75.73,0
12-15,65.5,54.3,14.2,0,54.2,39.51,6.29
16-19,89.3,78,45.5,0.1,69.8,19.96,10.24
20-29,85.6,76.8,54.3,0.6,74.12,14.02,11.86
30-39,89,81.9,59.3,1.5,77.46,11.3,11.24
40-49,90.5,84.5,66.6,2.5,81.65,9.46,8.89
50-59,91.1,86.2,72.8,5,84.66,7.69,7.65
60-69,92.7,89.7,80.1,30,87.7,7.15,5.15
70-79,90.9,89.4,85.9,48.6,91.22,4.61,4.17
80-89,90.8,89,83.4,50.8,88.76,5.08,6.16
90+,84.4,81.7,76,48.8,82.97,4.93,12.1
