_id,תאריך,מאושפזים,אחוז נשים מאושפזות,גיל ממוצע מאושפזים,סטיית תקן גיל מאושפזים,מונשמים,אחוז נשים מונשמות,גיל ממוצע מונשמים,סטיית תקן גיל מונשמים,אחוז מונשמים לא מחוסנים,חולים קל,אחוז נשים חולות קל,אחוז חולים קל לא מחוסנים,גיל ממוצע חולים קל,סטיית תקן גיל חולים קל,חולים בינוני,אחוז נשים חולות בינוני,אחוז חולים בינוני לא מחוסנים,גיל ממוצע חולים בינוני,סטיית תקן גיל חולים בינוני,חולים קשה,אחוז נשים חולות קשה,אחוז חולים קשה לא מחוסנים,גיל ממוצע חולים קשה,סטיית תקן גיל חולים קשה,חולים קשה מצטבר
1,2020-03-11T00:00:00,79,38,47.8,18.1,<15,20,63.8,15.3,100,72,38.9,100,46.2,17.4,NULL,NULL,NULL,NULL,NULL,<15,33.3,100,67.3,16.2,<15
2,2020-03-12T00:00:00,102,41.2,49.9,18.2,<15,20,63.8,15.3,100,95,42.1,100,48.9,17.9,NULL,NULL,NULL,NULL,NULL,<15,33.3,100,67.3,16.2,<15
3,2020-03-13T00:00:00,120,39.2,49.2,18.4,<15,20,63.8,15.3,100,109,39.4,100,47.3,17.7,<15,40.0,100.0,68.0,16.7,<15,33.3,100,67.3,16.2,<15
4,2020-03-14T00:00:00,158,41.1,47.4,18.5,<15,,70.3,7.4,100,148,41.9,100,45.7,17.6,<15,40.0,100.0,68.0,16.7,<15,20,100,76.8,10.3,<15
5,2020-03-15T00:00:00,197,44.2,46.5,18.7,<15,20,74,7.6,100,183,44.3,100,44.6,17.6,<15,50.0,100.0,61.3,17.5,<15,37.5,100,79,9.1,<15
6,2020-03-16T00:00:00,215,44.7,46.6,18.8,<15,16.7,74.7,7,100,200,45,100,44.8,17.8,<15,60.0,100.0,58.0,17.3,<15,30,100,77.9,8.6,<15
7,2020-03-17T00:00:00,250,46.4,47.8,19.6,<15,16.7,74.7,7,100,233,47.2,100,46.2,18.9,<15,50.0,100.0,54.7,17.5,<15,27.3,100,76.8,8.9,<15
8,2020-03-18T00:00:00,302,44.7,47.6,19.6,<15,16.7,74.7,7,100,276,46.4,100,45.7,18.9,<15,27.3,100.0,58.5,15.3,15.0,26.7,100,74.4,10.1,17.0
9,2020-03-19T00:00:00,290,44.1,48.6,20.1,<15,36.4,70.4,13.1,100,259,45.6,100,46.3,19.5,<15,27.3,100.0,59.7,14.3,20.0,35,100,72.1,12.5,22.0
10,2020-03-20T00:00:00,284,45.1,50.6,19.7,<15,36.4,70.4,13.1,100,248,46.8,100,48.4,19.5,<15,28.6,100.0,58.3,12.9,22.0,36.4,100,70.5,11.9,25.0
