day_date,age_group,verified_amount_vaccinated,verified_amount_expired,verified_amount_not_vaccinated,verified_vaccinated_normalized,verified_expired_normalized,verified_not_vaccinated_normalized
2021-01-17T00:00:00.000Z,כלל האוכלוסיה,1,0,4713,4.5,,65.1
2021-01-17T00:00:00.000Z,מעל גיל 60,0,0,243,,,52.5
2021-01-17T00:00:00.000Z,מתחת לגיל 60,1,0,4437,7.4,,65.2
2021-01-18T00:00:00.000Z,כלל האוכלוסיה,7,0,8710,16.6,,121.5
2021-01-18T00:00:00.000Z,מתחת לגיל 60,3,0,8294,13,,123.1
2021-01-18T00:00:00.000Z,מעל גיל 60,4,0,346,21,,75.8
2021-01-19T00:00:00.000Z,מתחת לגיל 60,6,0,6955,16.7,,104.2
2021-01-19T00:00:00.000Z,כלל האוכלוסיה,8,0,7323,10.2,,103.2
2021-01-19T00:00:00.000Z,מעל גיל 60,2,0,319,4.7,,70.9
2021-01-20T00:00:00.000Z,כלל האוכלוסיה,18,0,7152,13.2,,101.9
2021-01-20T00:00:00.000Z,מעל גיל 60,9,0,323,10.8,,72.8
2021-01-20T00:00:00.000Z,מתחת לגיל 60,9,0,6788,17.2,,102.8
2021-01-21T00:00:00.000Z,מתחת לגיל 60,16,0,5913,22.9,,90.4
2021-01-21T00:00:00.000Z,כלל האוכלוסיה,26,0,6254,12.6,,90
2021-01-21T00:00:00.000Z,מעל גיל 60,10,0,298,7.4,,68.3
2021-01-22T00:00:00.000Z,כלל האוכלוסיה,25,0,6313,10.3,,91.3
2021-01-22T00:00:00.000Z,מתחת לגיל 60,7,0,6030,9,,92.7
2021-01-22T00:00:00.000Z,מעל גיל 60,17,0,254,10.4,,58.7
2021-01-23T00:00:00.000Z,מתחת לגיל 60,5,0,1871,6.1,,28.9
2021-01-23T00:00:00.000Z,מעל גיל 60,7,0,121,3.8,,28.1
2021-01-23T00:00:00.000Z,כלל האוכלוסיה,12,0,2009,4.5,,29.2
2021-01-24T00:00:00.000Z,כלל האוכלוסיה,29,0,4081,8.2,,60
2021-01-24T00:00:00.000Z,מעל גיל 60,21,0,193,8.5,,45.6
2021-01-24T00:00:00.000Z,מתחת לגיל 60,8,0,3855,7.7,,60.2
2021-01-25T00:00:00.000Z,מתחת לגיל 60,23,0,7029,16,,111
2021-01-25T00:00:00.000Z,כלל האוכלוסיה,73,0,7381,15.3,,109.8
2021-01-25T00:00:00.000Z,מעל גיל 60,50,0,320,15.2,,76.8
2021-01-26T00:00:00.000Z,כלל האוכלוסיה,95,0,6610,15.5,,99.5
2021-01-26T00:00:00.000Z,מתחת לגיל 60,29,0,6262,15.2,,100
2021-01-26T00:00:00.000Z,מעל גיל 60,66,0,299,15.8,,72.9
2021-01-27T00:00:00.000Z,מעל גיל 60,78,0,262,15.4,,64.8
2021-01-27T00:00:00.000Z,כלל האוכלוסיה,121,0,6447,16,,98.2
2021-01-27T00:00:00.000Z,מתחת לגיל 60,43,0,6103,17.5,,98.6
2021-01-28T00:00:00.000Z,כלל האוכלוסיה,173,0,5874,18.8,,90.5
2021-01-28T00:00:00.000Z,מתחת לגיל 60,54,0,5556,17.1,,90.8
2021-01-28T00:00:00.000Z,מעל גיל 60,119,0,278,19.9,,69.7
2021-01-29T00:00:00.000Z,מתחת לגיל 60,39,0,5332,11.2,,87.7
2021-01-29T00:00:00.000Z,כלל האוכלוסיה,130,0,5567,13.1,,86.3
2021-01-29T00:00:00.000Z,מעל גיל 60,91,0,205,14.3,,51.7
2021-01-30T00:00:00.000Z,מעל גיל 60,26,0,114,3.9,,28.9
2021-01-30T00:00:00.000Z,כלל האוכלוסיה,37,0,2142,3.5,,33.4
2021-01-30T00:00:00.000Z,מתחת לגיל 60,11,0,2015,2.9,,33.3
2021-01-31T00:00:00.000Z,מעל גיל 60,59,0,157,8,,40.3
2021-01-31T00:00:00.000Z,כלל האוכלוסיה,105,0,4115,8.8,,64.9
2021-01-31T00:00:00.000Z,מתחת לגיל 60,46,0,3938,10.4,,65.8
2021-02-01T00:00:00.000Z,מתחת לגיל 60,86,0,6942,16.7,,117.6
2021-02-01T00:00:00.000Z,כלל האוכלוסיה,218,0,7261,16.4,,116
2021-02-01T00:00:00.000Z,מעל גיל 60,132,0,287,16.5,,74.7
2021-02-02T00:00:00.000Z,מעל גיל 60,133,0,287,15.5,,75.8
2021-02-02T00:00:00.000Z,מתחת לגיל 60,92,0,6197,15.8,,106.1
2021-02-02T00:00:00.000Z,כלל האוכלוסיה,225,0,6527,15.5,,105.4
2021-02-03T00:00:00.000Z,מתחת לגיל 60,87,0,5779,13.4,,99.9
2021-02-03T00:00:00.000Z,מעל גיל 60,91,0,232,10,,62.2
2021-02-03T00:00:00.000Z,כלל האוכלוסיה,178,0,6070,11.3,,99
2021-02-04T00:00:00.000Z,מעל גיל 60,121,0,251,12.5,,68
2021-02-04T00:00:00.000Z,מתחת לגיל 60,77,0,5690,10.7,,99.5
2021-02-04T00:00:00.000Z,כלל האוכלוסיה,198,0,5983,11.6,,98.7
2021-02-05T00:00:00.000Z,מתחת לגיל 60,78,0,5080,10.2,,89.3
2021-02-05T00:00:00.000Z,מעל גיל 60,91,0,240,9.2,,65.4
2021-02-05T00:00:00.000Z,כלל האוכלוסיה,170,0,5351,9.6,,88.8
2021-02-06T00:00:00.000Z,מעל גיל 60,34,0,133,3.4,,36.4
2021-02-06T00:00:00.000Z,מתחת לגיל 60,32,0,2003,4,,35.3
2021-02-06T00:00:00.000Z,כלל האוכלוסיה,66,0,2145,3.6,,35.7
2021-02-07T00:00:00.000Z,מתחת לגיל 60,65,0,3463,7.8,,61.6
2021-02-07T00:00:00.000Z,כלל האוכלוסיה,137,0,3631,7.3,,61
2021-02-07T00:00:00.000Z,מעל גיל 60,72,0,157,7,,43.4
2021-02-08T00:00:00.000Z,כלל האוכלוסיה,177,0,6478,9.2,,109.9
2021-02-08T00:00:00.000Z,מעל גיל 60,108,0,284,10.4,,79.3
2021-02-08T00:00:00.000Z,מתחת לגיל 60,69,0,6166,8,,110.8
2021-02-09T00:00:00.000Z,מתחת לגיל 60,66,0,4810,7.5,,87.4
2021-02-09T00:00:00.000Z,מעל גיל 60,83,0,240,8,,67.9
2021-02-09T00:00:00.000Z,כלל האוכלוסיה,149,0,5077,7.7,,87.1
2021-02-10T00:00:00.000Z,כלל האוכלוסיה,110,0,4716,5.5,,81.9
2021-02-10T00:00:00.000Z,מתחת לגיל 60,53,0,4465,5.7,,82.1
2021-02-10T00:00:00.000Z,מעל גיל 60,57,0,214,5.4,,61.4
2021-02-11T00:00:00.000Z,מעל גיל 60,47,0,209,4.4,,60.8
2021-02-11T00:00:00.000Z,מתחת לגיל 60,51,0,4049,5.2,,75.5
2021-02-11T00:00:00.000Z,כלל האוכלוסיה,98,0,4282,4.8,,75.5
2021-02-12T00:00:00.000Z,מעל גיל 60,40,0,181,3.7,,53.1
2021-02-12T00:00:00.000Z,כלל האוכלוסיה,92,0,3873,4.4,,68.7
2021-02-12T00:00:00.000Z,מתחת לגיל 60,52,0,3668,5.2,,68.9
2021-02-13T00:00:00.000Z,מעל גיל 60,15,0,72,1.4,,21.2
2021-02-13T00:00:00.000Z,כלל האוכלוסיה,29,0,1579,1.4,,28.2
2021-02-13T00:00:00.000Z,מתחת לגיל 60,14,0,1496,1.4,,28.2
2021-02-14T00:00:00.000Z,מעל גיל 60,34,0,127,3.2,,38.1
2021-02-14T00:00:00.000Z,מתחת לגיל 60,34,0,2682,3.1,,51.3
2021-02-14T00:00:00.000Z,כלל האוכלוסיה,69,0,2827,3.2,,51.1
2021-02-15T00:00:00.000Z,כלל האוכלוסיה,100,0,4348,4.5,,79.7
2021-02-15T00:00:00.000Z,מעל גיל 60,33,0,216,3,,66
2021-02-15T00:00:00.000Z,מתחת לגיל 60,67,0,4108,5.9,,79.6
2021-02-16T00:00:00.000Z,כלל האוכלוסיה,87,0,3781,3.8,,70.4
2021-02-16T00:00:00.000Z,מעל גיל 60,44,0,167,4,,52.1
2021-02-16T00:00:00.000Z,מתחת לגיל 60,43,0,3593,3.6,,70.7
2021-02-17T00:00:00.000Z,כלל האוכלוסיה,100,0,3408,4.2,,64.2
2021-02-17T00:00:00.000Z,מתחת לגיל 60,59,0,3220,4.7,,64.1
2021-02-17T00:00:00.000Z,מעל גיל 60,41,0,150,3.7,,47.3
2021-02-18T00:00:00.000Z,מתחת לגיל 60,40,0,2591,3,,52.2
2021-02-18T00:00:00.000Z,כלל האוכלוסיה,76,0,2742,3.1,,52.3
2021-02-18T00:00:00.000Z,מעל גיל 60,36,0,112,3.3,,35.8
2021-02-19T00:00:00.000Z,מתחת לגיל 60,46,0,2917,3.4,,59.3
2021-02-19T00:00:00.000Z,מעל גיל 60,29,0,143,2.6,,46.1
2021-02-19T00:00:00.000Z,כלל האוכלוסיה,75,0,3080,3,,59.2
2021-02-20T00:00:00.000Z,מעל גיל 60,14,0,48,1.3,,15.6
2021-02-20T00:00:00.000Z,מתחת לגיל 60,11,0,960,0.8,,19.6
2021-02-20T00:00:00.000Z,כלל האוכלוסיה,25,0,1014,1,,19.6
2021-02-21T00:00:00.000Z,כלל האוכלוסיה,76,0,2442,2.9,,48
2021-02-21T00:00:00.000Z,מעל גיל 60,23,0,131,2.1,,43.4
2021-02-21T00:00:00.000Z,מתחת לגיל 60,53,0,2298,3.6,,47.7
2021-02-22T00:00:00.000Z,מעל גיל 60,47,0,186,4.2,,63.1
2021-02-22T00:00:00.000Z,מתחת לגיל 60,64,0,3696,4.2,,77.9
2021-02-22T00:00:00.000Z,כלל האוכלוסיה,111,0,3917,4.2,,78.3
2021-02-23T00:00:00.000Z,מעל גיל 60,37,0,167,3.3,,57.9
2021-02-23T00:00:00.000Z,כלל האוכלוסיה,107,0,3519,3.9,,71.4
2021-02-23T00:00:00.000Z,מתחת לגיל 60,70,0,3326,4.4,,71.2
2021-02-24T00:00:00.000Z,כלל האוכלוסיה,110,0,3432,3.9,,70.5
2021-02-24T00:00:00.000Z,מתחת לגיל 60,63,0,3266,3.8,,70.7
2021-02-24T00:00:00.000Z,מעל גיל 60,47,0,136,4.1,,48
2021-02-25T00:00:00.000Z,מתחת לגיל 60,71,0,2785,4.1,,60.9
2021-02-25T00:00:00.000Z,כלל האוכלוסיה,103,0,2942,3.5,,61.1
2021-02-25T00:00:00.000Z,מעל גיל 60,32,0,136,2.8,,48.8
2021-02-26T00:00:00.000Z,מעל גיל 60,28,0,117,2.4,,42.3
2021-02-26T00:00:00.000Z,כלל האוכלוסיה,95,0,2911,3.2,,60.8
2021-02-26T00:00:00.000Z,מתחת לגיל 60,67,0,2773,3.8,,60.9
2021-02-27T00:00:00.000Z,מעל גיל 60,27,0,40,2.4,,14.5
2021-02-27T00:00:00.000Z,מתחת לגיל 60,32,0,1009,1.8,,22.3
2021-02-27T00:00:00.000Z,כלל האוכלוסיה,59,0,1064,2,,22.3
2021-02-28T00:00:00.000Z,מעל גיל 60,30,0,98,2.6,,36.1
2021-02-28T00:00:00.000Z,מתחת לגיל 60,74,0,2100,3.9,,46.7
2021-02-28T00:00:00.000Z,כלל האוכלוסיה,104,0,2210,3.4,,46.7
2021-03-01T00:00:00.000Z,מתחת לגיל 60,92,0,3521,4.7,,78.9
2021-03-01T00:00:00.000Z,מעל גיל 60,51,0,152,4.4,,57
2021-03-01T00:00:00.000Z,כלל האוכלוסיה,143,0,3708,4.6,,79.2
2021-03-02T00:00:00.000Z,מתחת לגיל 60,107,0,3148,5.3,,71.1
2021-03-02T00:00:00.000Z,כלל האוכלוסיה,150,0,3319,4.7,,71.5
2021-03-02T00:00:00.000Z,מעל גיל 60,43,0,133,3.7,,50.8
2021-03-03T00:00:00.000Z,מתחת לגיל 60,98,0,3322,4.7,,75.7
2021-03-03T00:00:00.000Z,מעל גיל 60,53,0,122,4.5,,47.5
2021-03-03T00:00:00.000Z,כלל האוכלוסיה,151,0,3482,4.6,,75.7
2021-03-04T00:00:00.000Z,מתחת לגיל 60,87,0,2646,4.1,,60.7
2021-03-04T00:00:00.000Z,כלל האוכלוסיה,143,0,2748,4.3,,60.2
2021-03-04T00:00:00.000Z,מעל גיל 60,56,0,87,4.8,,34.5
2021-03-05T00:00:00.000Z,מעל גיל 60,44,0,94,3.7,,37.5
2021-03-05T00:00:00.000Z,כלל האוכלוסיה,117,0,2869,3.5,,63.1
2021-03-05T00:00:00.000Z,מתחת לגיל 60,73,0,2766,3.4,,63.7
2021-03-06T00:00:00.000Z,כלל האוכלוסיה,83,0,1372,2.4,,30.3
2021-03-06T00:00:00.000Z,מתחת לגיל 60,57,0,1303,2.6,,30.1
2021-03-06T00:00:00.000Z,מעל גיל 60,26,0,63,2.2,,25.3
2021-03-07T00:00:00.000Z,מעל גיל 60,28,0,75,2.4,,30.5
2021-03-07T00:00:00.000Z,כלל האוכלוסיה,103,0,1769,3,,39.3
2021-03-07T00:00:00.000Z,מתחת לגיל 60,75,0,1675,3.3,,38.9
2021-03-08T00:00:00.000Z,כלל האוכלוסיה,140,0,2935,4,,65.6
2021-03-08T00:00:00.000Z,מתחת לגיל 60,80,0,2790,3.5,,65.1
2021-03-08T00:00:00.000Z,מעל גיל 60,60,0,114,5.1,,47
2021-03-09T00:00:00.000Z,כלל האוכלוסיה,136,0,2431,3.8,,54.6
2021-03-09T00:00:00.000Z,מעל גיל 60,47,0,91,3.9,,38
2021-03-09T00:00:00.000Z,מתחת לגיל 60,89,0,2312,3.8,,54.3
2021-03-10T00:00:00.000Z,מתחת לגיל 60,102,0,2142,4.2,,50.5
2021-03-10T00:00:00.000Z,כלל האוכלוסיה,133,0,2236,3.6,,50.5
2021-03-10T00:00:00.000Z,מעל גיל 60,31,0,76,2.6,,32.1
2021-03-11T00:00:00.000Z,מעל גיל 60,42,0,73,3.5,,31.1
2021-03-11T00:00:00.000Z,כלל האוכלוסיה,123,0,2001,3.3,,45.4
2021-03-11T00:00:00.000Z,מתחת לגיל 60,81,0,1914,3.2,,45.3
2021-03-12T00:00:00.000Z,כלל האוכלוסיה,99,0,1910,2.6,,43.5
2021-03-12T00:00:00.000Z,מתחת לגיל 60,73,0,1804,2.9,,42.8
2021-03-12T00:00:00.000Z,מעל גיל 60,26,0,88,2.2,,37.7
2021-03-13T00:00:00.000Z,מתחת לגיל 60,27,0,584,1,,13.9
2021-03-13T00:00:00.000Z,מעל גיל 60,12,0,28,1,,12
2021-03-13T00:00:00.000Z,כלל האוכלוסיה,39,0,619,1,,14.1
2021-03-14T00:00:00.000Z,מעל גיל 60,36,0,54,3,,23.4
2021-03-14T00:00:00.000Z,מתחת לגיל 60,68,0,1046,2.6,,25
2021-03-14T00:00:00.000Z,כלל האוכלוסיה,104,0,1107,2.7,,25.4
2021-03-15T00:00:00.000Z,מעל גיל 60,29,0,69,2.4,,30.2
2021-03-15T00:00:00.000Z,כלל האוכלוסיה,97,0,1719,2.4,,39.6
2021-03-15T00:00:00.000Z,מתחת לגיל 60,68,0,1632,2.5,,39.1
2021-03-16T00:00:00.000Z,כלל האוכלוסיה,69,0,1272,1.7,,29.4
2021-03-16T00:00:00.000Z,מעל גיל 60,18,0,71,1.5,,31.3
2021-03-16T00:00:00.000Z,מתחת לגיל 60,51,0,1190,1.8,,28.7
2021-03-17T00:00:00.000Z,מעל גיל 60,27,0,60,2.2,,26.7
2021-03-17T00:00:00.000Z,מתחת לגיל 60,74,0,1154,2.6,,27.9
2021-03-17T00:00:00.000Z,כלל האוכלוסיה,101,0,1221,2.4,,28.4
2021-03-18T00:00:00.000Z,כלל האוכלוסיה,72,0,1013,1.7,,23.6
2021-03-18T00:00:00.000Z,מעל גיל 60,23,0,48,1.9,,21.5
2021-03-18T00:00:00.000Z,מתחת לגיל 60,49,0,952,1.7,,23.1
2021-03-19T00:00:00.000Z,מעל גיל 60,18,0,38,1.4,,17.1
2021-03-19T00:00:00.000Z,כלל האוכלוסיה,58,0,888,1.4,,20.7
2021-03-19T00:00:00.000Z,מתחת לגיל 60,40,0,845,1.3,,20.5
2021-03-20T00:00:00.000Z,מתחת לגיל 60,13,0,242,0.4,,5.9
2021-03-20T00:00:00.000Z,כלל האוכלוסיה,23,0,280,0.5,,6.5
2021-03-20T00:00:00.000Z,מעל גיל 60,10,0,33,0.8,,14.9
2021-03-21T00:00:00.000Z,מעל גיל 60,24,0,36,1.9,,16.3
2021-03-21T00:00:00.000Z,מתחת לגיל 60,28,0,488,0.9,,11.9
2021-03-21T00:00:00.000Z,כלל האוכלוסיה,52,0,536,1.2,,12.6
2021-03-22T00:00:00.000Z,מעל גיל 60,27,0,46,2.1,,21
