gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
זכר,0-9,3 חודשים,2605,2.6,0,0,2,0.7,3,0.3,151,3
זכר,0-9,שנה,304435,9.2,5,0.1,21,1.1,65,0.6,1947,5.1
זכר,0-9,מתחילת קורונה,442070,9.5,8,0.1,34,0.5,124,0.4,3302,3.7
זכר,0-9,חודש אחרון,311,1.4,0,0,0,0,0,0,22,1.8
זכר,0-9,6 חודשים,26471,4.5,1,0.1,5,0.8,10,0.3,560,3.7
נקבה,0-9,מתחילת קורונה,363906,7.9,5,0,17,0.3,78,0.2,2676,3
נקבה,0-9,6 חודשים,23255,3.9,0,0,1,0.2,9,0.3,436,2.9
נקבה,0-9,שנה,243002,7.3,2,0.1,10,0.5,44,0.4,1577,4.1
נקבה,0-9,חודש אחרון,340,1.6,0,0,0,0,0,0,12,1
נקבה,0-9,3 חודשים,2903,2.9,0,0,1,0.4,1,0.1,118,2.3
זכר,10-19,3 חודשים,2752,2.8,0,0,1,0.4,1,0.1,34,0.7
זכר,10-19,שנה,292880,8.8,3,0.1,11,0.6,30,0.3,465,1.2
זכר,10-19,מתחילת קורונה,440090,9.5,6,0.1,25,0.4,81,0.3,1084,1.2
זכר,10-19,חודש אחרון,502,2.3,0,0,0,0,0,0,6,0.5
זכר,10-19,6 חודשים,24124,4.1,0,0,1,0.2,5,0.1,131,0.9
נקבה,10-19,3 חודשים,3849,3.9,0,0,0,0,1,0.1,30,0.6
נקבה,10-19,שנה,293886,8.9,3,0.1,10,0.5,21,0.2,508,1.3
נקבה,10-19,מתחילת קורונה,431111,9.3,8,0.1,23,0.4,82,0.3,1225,1.4
נקבה,10-19,חודש אחרון,713,3.3,0,0,0,0,1,0.4,6,0.5
נקבה,10-19,6 חודשים,25868,4.4,1,0.1,2,0.3,6,0.2,145,1
זכר,20-29,מתחילת קורונה,269755,5.8,25,0.2,59,0.9,252,0.8,1680,1.9
זכר,20-29,6 חודשים,25530,4.3,1,0.1,5,0.8,11,0.3,163,1.1
זכר,20-29,שנה,170054,5.1,3,0.1,17,0.9,53,0.5,530,1.4
זכר,20-29,חודש אחרון,672,3.1,0,0,2,2.7,2,0.8,7,0.6
זכר,20-29,3 חודשים,3570,3.6,0,0,3,1.1,4,0.4,50,1
נקבה,20-29,מתחילת קורונה,382907,8.3,22,0.2,62,0.9,284,0.9,5441,6.1
נקבה,20-29,6 חודשים,36242,6.1,0,0,6,1,14,0.4,617,4.1
נקבה,20-29,שנה,261572,7.9,6,0.2,19,1,44,0.4,2290,5.9
נקבה,20-29,3 חודשים,5658,5.7,0,0,2,0.7,6,0.5,150,3
נקבה,20-29,חודש אחרון,1146,5.3,0,0,0,0,0,0,31,2.5
זכר,30-39,מתחילת קורונה,270380,5.8,53,0.5,106,1.6,643,2,2369,2.7
זכר,30-39,6 חודשים,32465,5.5,0,0,5,0.8,16,0.5,217,1.4
זכר,30-39,שנה,189497,5.7,14,0.4,35,1.8,84,0.8,674,1.8
זכר,30-39,חודש אחרון,935,4.4,0,0,0,0,0,0,9,0.7
זכר,30-39,3 חודשים,4678,4.7,0,0,1,0.4,6,0.5,53,1
נקבה,30-39,3 חודשים,6715,6.8,1,0.3,5,1.8,7,0.6,153,3
נקבה,30-39,שנה,287951,8.7,8,0.2,28,1.4,87,0.9,2296,6
נקבה,30-39,מתחילת קורונה,390374,8.4,40,0.3,114,1.7,602,1.9,5514,6.2
נקבה,30-39,חודש אחרון,1277,5.9,0,0,0,0,2,0.8,30,2.4
נקבה,30-39,6 חודשים,45025,7.6,2,0.2,11,1.8,13,0.4,621,4.1
זכר,40-49,מתחילת קורונה,244947,5.3,125,1.1,271,4.1,1438,4.5,3762,4.2
זכר,40-49,6 חודשים,31765,5.4,5,0.5,12,2,37,1.1,302,2
זכר,40-49,שנה,178023,5.4,28,0.8,68,3.4,191,1.9,902,2.3
זכר,40-49,חודש אחרון,932,4.3,0,0,1,1.4,3,1.2,27,2.2
זכר,40-49,3 חודשים,4735,4.8,1,0.3,4,1.5,8,0.7,96,1.9
נקבה,40-49,3 חודשים,7484,7.6,1,0.3,3,1.1,8,0.7,87,1.7
נקבה,40-49,שנה,268384,8.1,19,0.5,33,1.7,118,1.2,1014,2.6
נקבה,40-49,מתחילת קורונה,351845,7.6,80,0.7,144,2.2,984,3.1,3722,4.2
נקבה,40-49,חודש אחרון,1516,7.1,0,0,2,2.7,2,0.8,24,1.9
נקבה,40-49,6 חודשים,47219,8,5,0.5,9,1.5,27,0.8,303,2
זכר,50-59,3 חודשים,4675,4.7,5,1.6,16,5.9,34,3,174,3.4
זכר,50-59,שנה,127010,3.8,90,2.5,142,7.1,398,3.9,1484,3.9
זכר,50-59,מתחילת קורונה,172572,3.7,400,3.4,566,8.6,2305,7.2,5209,5.8
זכר,50-59,חודש אחרון,1032,4.8,0,0,3,4.1,6,2.3,45,3.6
זכר,50-59,6 חודשים,28923,4.9,16,1.6,32,5.3,91,2.6,509,3.4
נקבה,50-59,3 חודשים,8021,8.1,4,1.3,13,4.8,22,2,136,2.7
נקבה,50-59,שנה,193342,5.8,50,1.4,79,4,282,2.8,1185,3.1
נקבה,50-59,מתחילת קורונה,248359,5.4,206,1.8,272,4.2,1630,5.1,4153,4.7
