date,dailyDoublingRate,numberOfDoublingDays
2020-02-12T00:00:00.000Z,0,
2020-02-13T00:00:00.000Z,0,
2020-02-14T00:00:00.000Z,0,
2020-02-15T00:00:00.000Z,0,
2020-02-16T00:00:00.000Z,0,
2020-02-17T00:00:00.000Z,0,
2020-02-18T00:00:00.000Z,0,
2020-02-19T00:00:00.000Z,0,
2020-02-20T00:00:00.000Z,0,
2020-02-21T00:00:00.000Z,0,
2020-02-22T00:00:00.000Z,0,
2020-02-23T00:00:00.000Z,0,
2020-02-24T00:00:00.000Z,100,1
2020-02-25T00:00:00.000Z,0,
2020-02-26T00:00:00.000Z,0,
2020-02-27T00:00:00.000Z,50,1.709511291351455
2020-02-28T00:00:00.000Z,66.66666666666667,1.356915448856724
2020-02-29T00:00:00.000Z,0,
2020-03-01T00:00:00.000Z,20,3.801784016923927
2020-03-02T00:00:00.000Z,66.66666666666667,1.356915448856724
2020-03-03T00:00:00.000Z,30,2.641926795811142
2020-03-04T00:00:00.000Z,0,
2020-03-05T00:00:00.000Z,61.53846153846154,1.445342136763452
2020-03-06T00:00:00.000Z,4.761904761904767,14.89997737748061
2020-03-07T00:00:00.000Z,18.18181818181819,4.149238146182115
2020-03-08T00:00:00.000Z,30.76923076923075,2.583824945564621
2020-03-09T00:00:00.000Z,-2.941176470588225,-23.21870619960053
2020-03-10T00:00:00.000Z,90.90909090909089,1.071942563131082
2020-03-11T00:00:00.000Z,30.15873015873014,2.62969607723912
2020-03-12T00:00:00.000Z,15.85365853658538,4.710235636661527
2020-03-13T00:00:00.000Z,32.631578947368425,2.454443593002729
2020-03-14T00:00:00.000Z,19.84126984126986,3.829586233847474
2020-03-15T00:00:00.000Z,20.52980132450331,3.712091643959378
2020-03-16T00:00:00.000Z,37.91208791208791,2.156339282628722
2020-03-17T00:00:00.000Z,24.30278884462152,3.186147498212452
2020-03-18T00:00:00.000Z,33.97435897435899,2.3699102175436
2020-03-19T00:00:00.000Z,27.27272727272727,2.874196669695206
2020-03-20T00:00:00.000Z,25,3.10628371950539
2020-03-21T00:00:00.000Z,27.368421052631582,2.865266879772039
2020-03-22T00:00:00.000Z,25.26564344746165,3.077010354356599
2020-03-23T00:00:00.000Z,26.29594721960413,2.969047580134213
2020-03-24T00:00:00.000Z,24.55223880597015,3.157054421830929
2020-03-25T00:00:00.000Z,17.974835230677037,4.19323858115312
2020-03-26T00:00:00.000Z,19.50228542407315,3.890472170012569
2020-03-27T00:00:00.000Z,11.30471738206544,6.47187449983402
2020-03-28T00:00:00.000Z,10.27109583810613,7.089449155583382
2020-03-29T00:00:00.000Z,9.626038781163437,7.542017716715665
2020-03-30T00:00:00.000Z,6.2223626026531855,11.48270109288349
2020-03-31T00:00:00.000Z,9.426107641986302,7.694853657888772
2020-04-01T00:00:00.000Z,7.391304347826089,9.720328587700855
2020-04-02T00:00:00.000Z,5.161943319838058,13.77169419671228
2020-04-03T00:00:00.000Z,3.9942252165543923,17.69804440487439
2020-04-04T00:00:00.000Z,-1.180009254974557,-58.39356653002388
2020-04-05T00:00:00.000Z,1.2409271833294209,56.20306136956911
2020-04-06T00:00:00.000Z,-2.266419981498613,-30.23545333211834
2020-04-07T00:00:00.000Z,-8.589682915286312,-7.717771011204009
2020-04-08T00:00:00.000Z,-9.215635516438002,-7.169268370138625
2020-04-09T00:00:00.000Z,-10.89250071285999,-6.010292957881531
2020-04-10T00:00:00.000Z,-7.712000000000008,-8.636695447509723
2020-04-11T00:00:00.000Z,-2.9126213592233,-23.44977225043776
2020-04-12T00:00:00.000Z,-1.178571428571429,-58.46522964580313
2020-04-13T00:00:00.000Z,-0.46982291290205147,-147.1868658214496
2020-04-14T00:00:00.000Z,0.7988380537400142,87.11553832717871
2020-04-15T00:00:00.000Z,-1.080691642651299,-63.79201788928625
2020-04-16T00:00:00.000Z,-1.638747268754559,-41.94985327956163
2020-04-17T00:00:00.000Z,-2.258422806367999,-30.34375505838
2020-04-18T00:00:00.000Z,-2.04545454545455,-33.53942816050639
2020-04-19T00:00:00.000Z,-10.67285382830627,-6.141396182969513
2020-04-20T00:00:00.000Z,-6.01731601731601,-11.16905047503499
2020-04-21T00:00:00.000Z,-5.389221556886226,-12.51195763146571
2020-04-22T00:00:00.000Z,-4.1382667964946505,-16.40068300918414
2020-04-23T00:00:00.000Z,-1.066531234128998,-64.64360697920884
2020-04-24T00:00:00.000Z,-2.515400410677615,-27.20809177972725
2020-04-25T00:00:00.000Z,-6.951026856240128,-9.621132724322454
2020-04-26T00:00:00.000Z,-10.92246745897,-5.992814649605228
2020-04-27T00:00:00.000Z,-10.927573062261759,-5.989846318116411
2020-04-28T00:00:00.000Z,-8.63052781740371,-7.679555278660677
2020-04-29T00:00:00.000Z,-11.241217798594851,-5.812661811864448
2020-04-30T00:00:00.000Z,-11.697449428320141,-5.571869216562531
2020-05-01T00:00:00.000Z,-13.24701195219122,-4.877700313962947
2020-05-02T00:00:00.000Z,-11.71067738231917,-5.565167197962666
2020-05-03T00:00:00.000Z,-7.282184655396618,-9.167455551447812
2020-05-04T00:00:00.000Z,-10.09817671809258,-6.511361160580639
2020-05-05T00:00:00.000Z,-19.96879875195007,-3.111721399777729
2020-05-06T00:00:00.000Z,-3.3138401559454254,-20.56821537042816
2020-05-07T00:00:00.000Z,-16.53225806451613,-3.835689011246649
2020-05-08T00:00:00.000Z,-20.04830917874397,-3.097897744454481
2020-05-09T00:00:00.000Z,-11.17824773413897,-5.847438164074886
2020-05-10T00:00:00.000Z,0.6802721088435382,102.2388175228119
2020-05-11T00:00:00.000Z,-5.405405405405405,-12.47343957479612
2020-05-12T00:00:00.000Z,-3.571428571428581,-19.05944683420139
2020-05-13T00:00:00.000Z,-9.629629629629633,-6.845645638888014
2020-05-14T00:00:00.000Z,-15.983606557377051,-3.97998484633262
2020-05-15T00:00:00.000Z,-10.24390243902439,-6.413621775394788
2020-05-16T00:00:00.000Z,-8.15217391304348,-8.151120484282513
2020-05-17T00:00:00.000Z,-8.284023668639051,-8.015708800844283
2020-05-18T00:00:00.000Z,-7.741935483870977,-8.601923484159142
2020-05-19T00:00:00.000Z,-0.6993006993006978,-98.77306787923165
2020-05-20T00:00:00.000Z,-16.90140845070421,-3.743859086330005
2020-05-21T00:00:00.000Z,-4.237288135593231,-16.00919902749929
2020-05-22T00:00:00.000Z,6.194690265486735,11.53247797524951
2020-05-23T00:00:00.000Z,0,
2020-05-24T00:00:00.000Z,-1.6666666666666612,-41.24128643066459
2020-05-25T00:00:00.000Z,-4.237288135593231,-16.00919902749929
2020-05-26T00:00:00.000Z,24.7787610619469,3.131141048389726
2020-05-27T00:00:00.000Z,17.73049645390072,4.246499459619185
2020-05-28T00:00:00.000Z,36.144578313253,2.246486618701694
2020-05-29T00:00:00.000Z,41.5929203539823,1.993027860502493
2020-05-30T00:00:00.000Z,7.499999999999996,9.584358956627884
2020-05-31T00:00:00.000Z,21.51162790697674,3.557524022091926
2020-06-01T00:00:00.000Z,18.66028708133971,4.051253570725667
2020-06-02T00:00:00.000Z,14.314516129032251,5.181115891141776
2020-06-03T00:00:00.000Z,10.05291005291005,7.236031702464029
