section,female,male,period,order_period
0-9,"{'amount': 9, 'percentage': 0.2}","{'amount': 13, 'percentage': 0.3}",מתחילת קורונה,1
0-9,"{'amount': 1, 'percentage': 0.9}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
0-9,"{'amount': 1, 'percentage': 0.2}","{'amount': 3, 'percentage': 0.5}",3 חודשים,4
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 6, 'percentage': 0.6}",6 חודשים,3
0-9,"{'amount': 7, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.3}",שנה,2
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
10-19,"{'amount': 13, 'percentage': 0.3}","{'amount': 17, 'percentage': 0.4}",מתחילת קורונה,1
10-19,"{'amount': 5, 'percentage': 0.5}","{'amount': 7, 'percentage': 0.7}",6 חודשים,3
10-19,"{'amount': 4, 'percentage': 0.7}","{'amount': 5, 'percentage': 0.9}",3 חודשים,4
10-19,"{'amount': 9, 'percentage': 0.3}","{'amount': 10, 'percentage': 0.3}",שנה,2
20-29,"{'amount': 48, 'percentage': 1}","{'amount': 44, 'percentage': 0.9}",מתחילת קורונה,1
20-29,"{'amount': 4, 'percentage': 3.4}","{'amount': 3, 'percentage': 2.6}",חודש אחרון,5
20-29,"{'amount': 28, 'percentage': 1}","{'amount': 37, 'percentage': 1.3}",שנה,2
20-29,"{'amount': 10, 'percentage': 0.9}","{'amount': 15, 'percentage': 1.4}",6 חודשים,3
20-29,"{'amount': 7, 'percentage': 1.3}","{'amount': 12, 'percentage': 2.2}",3 חודשים,4
30-39,"{'amount': 14, 'percentage': 2.6}","{'amount': 10, 'percentage': 1.8}",3 חודשים,4
30-39,"{'amount': 23, 'percentage': 2.2}","{'amount': 20, 'percentage': 1.9}",6 חודשים,3
30-39,"{'amount': 83, 'percentage': 1.7}","{'amount': 75, 'percentage': 1.6}",מתחילת קורונה,1
30-39,"{'amount': 6, 'percentage': 5.1}","{'amount': 3, 'percentage': 2.6}",חודש אחרון,5
30-39,"{'amount': 65, 'percentage': 2.2}","{'amount': 49, 'percentage': 1.7}",שנה,2
40-49,"{'amount': 121, 'percentage': 2.5}","{'amount': 213, 'percentage': 4.5}",מתחילת קורונה,1
40-49,"{'amount': 87, 'percentage': 3}","{'amount': 151, 'percentage': 5.2}",שנה,2
40-49,"{'amount': 33, 'percentage': 3.1}","{'amount': 63, 'percentage': 5.9}",6 חודשים,3
40-49,"{'amount': 6, 'percentage': 5.1}","{'amount': 15, 'percentage': 12.8}",חודש אחרון,5
40-49,"{'amount': 22, 'percentage': 4}","{'amount': 42, 'percentage': 7.7}",3 חודשים,4
50-59,"{'amount': 138, 'percentage': 4.7}","{'amount': 294, 'percentage': 10}",שנה,2
50-59,"{'amount': 35, 'percentage': 6.4}","{'amount': 69, 'percentage': 12.6}",3 חודשים,4
50-59,"{'amount': 10, 'percentage': 8.5}","{'amount': 18, 'percentage': 15.4}",חודש אחרון,5
50-59,"{'amount': 203, 'percentage': 4.3}","{'amount': 449, 'percentage': 9.4}",מתחילת קורונה,1
50-59,"{'amount': 55, 'percentage': 5.2}","{'amount': 101, 'percentage': 9.5}",6 חודשים,3
60-69,"{'amount': 120, 'percentage': 11.3}","{'amount': 145, 'percentage': 13.6}",6 חודשים,3
60-69,"{'amount': 64, 'percentage': 11.7}","{'amount': 78, 'percentage': 14.2}",3 חודשים,4
60-69,"{'amount': 12, 'percentage': 10.3}","{'amount': 17, 'percentage': 14.5}",חודש אחרון,5
60-69,"{'amount': 402, 'percentage': 8.4}","{'amount': 776, 'percentage': 16.3}",מתחילת קורונה,1
60-69,"{'amount': 278, 'percentage': 9.5}","{'amount': 448, 'percentage': 15.3}",שנה,2
70-79,"{'amount': 107, 'percentage': 10.1}","{'amount': 146, 'percentage': 13.7}",6 חודשים,3
70-79,"{'amount': 59, 'percentage': 10.8}","{'amount': 53, 'percentage': 9.7}",3 חודשים,4
70-79,"{'amount': 7, 'percentage': 6}","{'amount': 7, 'percentage': 6}",חודש אחרון,5
70-79,"{'amount': 451, 'percentage': 9.5}","{'amount': 824, 'percentage': 17.3}",מתחילת קורונה,1
70-79,"{'amount': 291, 'percentage': 9.9}","{'amount': 444, 'percentage': 15.2}",שנה,2
80-89,"{'amount': 2, 'percentage': 1.7}","{'amount': 4, 'percentage': 3.4}",חודש אחרון,5
80-89,"{'amount': 81, 'percentage': 7.6}","{'amount': 90, 'percentage': 8.5}",6 חודשים,3
80-89,"{'amount': 28, 'percentage': 5.1}","{'amount': 28, 'percentage': 5.1}",3 חודשים,4
80-89,"{'amount': 345, 'percentage': 7.3}","{'amount': 482, 'percentage': 10.1}",מתחילת קורונה,1
80-89,"{'amount': 217, 'percentage': 7.4}","{'amount': 266, 'percentage': 9.1}",שנה,2
90+,"{'amount': 93, 'percentage': 2}","{'amount': 97, 'percentage': 2}",מתחילת קורונה,1
90+,"{'amount': 2, 'percentage': 1.7}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
90+,"{'amount': 8, 'percentage': 1.5}","{'amount': 6, 'percentage': 1.1}",3 חודשים,4
90+,"{'amount': 19, 'percentage': 1.8}","{'amount': 17, 'percentage': 1.6}",6 חודשים,3
90+,"{'amount': 52, 'percentage': 1.8}","{'amount': 49, 'percentage': 1.7}",שנה,2
