section,female,male,period,order_period
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.9}",חודש אחרון,5
0-9,"{'amount': 7, 'percentage': 0.2}","{'amount': 6, 'percentage': 0.2}",שנה,2
0-9,"{'amount': 4, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.2}",6 חודשים,3
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.6}",3 חודשים,4
0-9,"{'amount': 9, 'percentage': 0.2}","{'amount': 8, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 9, 'percentage': 0.2}","{'amount': 11, 'percentage': 0.3}",מתחילת קורונה,1
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים,4
10-19,"{'amount': 4, 'percentage': 0.4}","{'amount': 1, 'percentage': 0.1}",6 חודשים,3
10-19,"{'amount': 7, 'percentage': 0.2}","{'amount': 8, 'percentage': 0.2}",שנה,2
20-29,"{'amount': 11, 'percentage': 1}","{'amount': 18, 'percentage': 1.7}",6 חודשים,3
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.6}",3 חודשים,4
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
20-29,"{'amount': 35, 'percentage': 0.9}","{'amount': 32, 'percentage': 0.8}",מתחילת קורונה,1
20-29,"{'amount': 30, 'percentage': 0.9}","{'amount': 28, 'percentage': 0.8}",שנה,2
30-39,"{'amount': 59, 'percentage': 1.8}","{'amount': 46, 'percentage': 1.4}",שנה,2
30-39,"{'amount': 34, 'percentage': 3.2}","{'amount': 23, 'percentage': 2.2}",6 חודשים,3
30-39,"{'amount': 4, 'percentage': 2.4}","{'amount': 4, 'percentage': 2.4}",3 חודשים,4
30-39,"{'amount': 1, 'percentage': 0.9}","{'amount': 2, 'percentage': 1.8}",חודש אחרון,5
30-39,"{'amount': 68, 'percentage': 1.8}","{'amount': 60, 'percentage': 1.6}",מתחילת קורונה,1
40-49,"{'amount': 78, 'percentage': 2.4}","{'amount': 142, 'percentage': 4.3}",שנה,2
40-49,"{'amount': 34, 'percentage': 3.2}","{'amount': 65, 'percentage': 6.2}",6 חודשים,3
40-49,"{'amount': 3, 'percentage': 1.8}","{'amount': 13, 'percentage': 7.8}",3 חודשים,4
40-49,"{'amount': 3, 'percentage': 2.6}","{'amount': 5, 'percentage': 4.4}",חודש אחרון,5
40-49,"{'amount': 87, 'percentage': 2.3}","{'amount': 162, 'percentage': 4.2}",מתחילת קורונה,1
50-59,"{'amount': 64, 'percentage': 6.1}","{'amount': 118, 'percentage': 11.2}",6 חודשים,3
50-59,"{'amount': 11, 'percentage': 6.6}","{'amount': 16, 'percentage': 9.6}",3 חודשים,4
50-59,"{'amount': 135, 'percentage': 4.1}","{'amount': 309, 'percentage': 9.4}",שנה,2
50-59,"{'amount': 149, 'percentage': 3.9}","{'amount': 359, 'percentage': 9.4}",מתחילת קורונה,1
50-59,"{'amount': 4, 'percentage': 3.5}","{'amount': 4, 'percentage': 3.5}",חודש אחרון,5
60-69,"{'amount': 16, 'percentage': 9.6}","{'amount': 20, 'percentage': 12}",3 חודשים,4
60-69,"{'amount': 101, 'percentage': 9.6}","{'amount': 143, 'percentage': 13.6}",6 חודשים,3
60-69,"{'amount': 12, 'percentage': 10.5}","{'amount': 16, 'percentage': 14}",חודש אחרון,5
60-69,"{'amount': 294, 'percentage': 7.7}","{'amount': 644, 'percentage': 16.9}",מתחילת קורונה,1
60-69,"{'amount': 270, 'percentage': 8.2}","{'amount': 560, 'percentage': 17}",שנה,2
70-79,"{'amount': 14, 'percentage': 12.3}","{'amount': 21, 'percentage': 18.4}",חודש אחרון,5
70-79,"{'amount': 19, 'percentage': 11.4}","{'amount': 23, 'percentage': 13.8}",3 חודשים,4
70-79,"{'amount': 104, 'percentage': 9.9}","{'amount': 145, 'percentage': 13.8}",6 חודשים,3
70-79,"{'amount': 318, 'percentage': 9.6}","{'amount': 593, 'percentage': 18}",שנה,2
70-79,"{'amount': 357, 'percentage': 9.3}","{'amount': 696, 'percentage': 18.2}",מתחילת קורונה,1
80-89,"{'amount': 15, 'percentage': 9}","{'amount': 15, 'percentage': 9}",3 חודשים,4
80-89,"{'amount': 238, 'percentage': 7.2}","{'amount': 342, 'percentage': 10.4}",שנה,2
80-89,"{'amount': 73, 'percentage': 7}","{'amount': 80, 'percentage': 7.6}",6 חודשים,3
80-89,"{'amount': 13, 'percentage': 11.4}","{'amount': 13, 'percentage': 11.4}",חודש אחרון,5
80-89,"{'amount': 280, 'percentage': 7.3}","{'amount': 403, 'percentage': 10.5}",מתחילת קורונה,1
90+,"{'amount': 73, 'percentage': 1.9}","{'amount': 84, 'percentage': 2.2}",מתחילת קורונה,1
90+,"{'amount': 1, 'percentage': 0.9}","{'amount': 4, 'percentage': 3.5}",חודש אחרון,5
90+,"{'amount': 1, 'percentage': 0.6}","{'amount': 5, 'percentage': 3}",3 חודשים,4
90+,"{'amount': 11, 'percentage': 1}","{'amount': 15, 'percentage': 1.4}",6 חודשים,3
90+,"{'amount': 57, 'percentage': 1.7}","{'amount': 66, 'percentage': 2}",שנה,2
