section,female,male,period,order_period
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 6, 'percentage': 0.6}",6 חודשים,3
0-9,"{'amount': 9, 'percentage': 0.2}","{'amount': 13, 'percentage': 0.3}",מתחילת קורונה,1
0-9,"{'amount': 1, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.5}",3 חודשים,4
0-9,"{'amount': 1, 'percentage': 1.1}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
0-9,"{'amount': 7, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.3}",שנה,2
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
10-19,"{'amount': 14, 'percentage': 0.3}","{'amount': 16, 'percentage': 0.3}",מתחילת קורונה,1
10-19,"{'amount': 10, 'percentage': 0.4}","{'amount': 9, 'percentage': 0.3}",שנה,2
10-19,"{'amount': 5, 'percentage': 0.5}","{'amount': 7, 'percentage': 0.7}",6 חודשים,3
10-19,"{'amount': 3, 'percentage': 0.7}","{'amount': 4, 'percentage': 1}",3 חודשים,4
20-29,"{'amount': 48, 'percentage': 1}","{'amount': 44, 'percentage': 0.9}",מתחילת קורונה,1
20-29,"{'amount': 28, 'percentage': 1}","{'amount': 37, 'percentage': 1.3}",שנה,2
20-29,"{'amount': 3, 'percentage': 3.2}","{'amount': 3, 'percentage': 3.2}",חודש אחרון,5
20-29,"{'amount': 5, 'percentage': 1.2}","{'amount': 10, 'percentage': 2.4}",3 חודשים,4
20-29,"{'amount': 10, 'percentage': 0.9}","{'amount': 14, 'percentage': 1.3}",6 חודשים,3
30-39,"{'amount': 23, 'percentage': 2.2}","{'amount': 21, 'percentage': 2}",6 חודשים,3
30-39,"{'amount': 11, 'percentage': 2.6}","{'amount': 11, 'percentage': 2.6}",3 חודשים,4
30-39,"{'amount': 84, 'percentage': 1.8}","{'amount': 75, 'percentage': 1.6}",מתחילת קורונה,1
30-39,"{'amount': 3, 'percentage': 3.2}","{'amount': 3, 'percentage': 3.2}",חודש אחרון,5
30-39,"{'amount': 66, 'percentage': 2.3}","{'amount': 49, 'percentage': 1.7}",שנה,2
40-49,"{'amount': 86, 'percentage': 3}","{'amount': 148, 'percentage': 5.2}",שנה,2
40-49,"{'amount': 34, 'percentage': 3.2}","{'amount': 63, 'percentage': 5.9}",6 חודשים,3
40-49,"{'amount': 121, 'percentage': 2.5}","{'amount': 214, 'percentage': 4.5}",מתחילת קורונה,1
40-49,"{'amount': 16, 'percentage': 3.8}","{'amount': 37, 'percentage': 8.8}",3 חודשים,4
40-49,"{'amount': 6, 'percentage': 6.4}","{'amount': 12, 'percentage': 12.8}",חודש אחרון,5
50-59,"{'amount': 27, 'percentage': 6.4}","{'amount': 58, 'percentage': 13.8}",3 חודשים,4
50-59,"{'amount': 7, 'percentage': 7.4}","{'amount': 17, 'percentage': 18.1}",חודש אחרון,5
50-59,"{'amount': 206, 'percentage': 4.3}","{'amount': 447, 'percentage': 9.4}",מתחילת קורונה,1
50-59,"{'amount': 135, 'percentage': 4.8}","{'amount': 282, 'percentage': 10}",שנה,2
50-59,"{'amount': 55, 'percentage': 5.1}","{'amount': 100, 'percentage': 9.4}",6 חודשים,3
60-69,"{'amount': 272, 'percentage': 9.6}","{'amount': 424, 'percentage': 15}",שנה,2
60-69,"{'amount': 8, 'percentage': 8.5}","{'amount': 15, 'percentage': 16}",חודש אחרון,5
60-69,"{'amount': 54, 'percentage': 12.8}","{'amount': 55, 'percentage': 13.1}",3 חודשים,4
60-69,"{'amount': 401, 'percentage': 8.4}","{'amount': 776, 'percentage': 16.3}",מתחילת קורונה,1
60-69,"{'amount': 121, 'percentage': 11.3}","{'amount': 147, 'percentage': 13.8}",6 חודשים,3
70-79,"{'amount': 107, 'percentage': 10}","{'amount': 146, 'percentage': 13.7}",6 חודשים,3
70-79,"{'amount': 454, 'percentage': 9.5}","{'amount': 823, 'percentage': 17.3}",מתחילת קורונה,1
70-79,"{'amount': 5, 'percentage': 5.3}","{'amount': 4, 'percentage': 4.3}",חודש אחרון,5
70-79,"{'amount': 48, 'percentage': 11.4}","{'amount': 31, 'percentage': 7.4}",3 חודשים,4
70-79,"{'amount': 281, 'percentage': 10}","{'amount': 422, 'percentage': 15}",שנה,2
80-89,"{'amount': 19, 'percentage': 4.5}","{'amount': 22, 'percentage': 5.2}",3 חודשים,4
80-89,"{'amount': 83, 'percentage': 7.8}","{'amount': 90, 'percentage': 8.4}",6 חודשים,3
80-89,"{'amount': 347, 'percentage': 7.3}","{'amount': 482, 'percentage': 10.1}",מתחילת קורונה,1
80-89,"{'amount': 207, 'percentage': 7.3}","{'amount': 255, 'percentage': 9}",שנה,2
80-89,"{'amount': 2, 'percentage': 2.1}","{'amount': 4, 'percentage': 4.3}",חודש אחרון,5
90+,"{'amount': 93, 'percentage': 2}","{'amount': 97, 'percentage': 2}",מתחילת קורונה,1
90+,"{'amount': 19, 'percentage': 1.8}","{'amount': 17, 'percentage': 1.6}",6 חודשים,3
90+,"{'amount': 5, 'percentage': 1.2}","{'amount': 2, 'percentage': 0.5}",3 חודשים,4
90+,"{'amount': 1, 'percentage': 1.1}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
90+,"{'amount': 48, 'percentage': 1.7}","{'amount': 47, 'percentage': 1.7}",שנה,2
