section,female,male,period,order_period
0-9,"{'amount': 7, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.3}",שנה,2
0-9,"{'amount': 9, 'percentage': 0.2}","{'amount': 13, 'percentage': 0.3}",מתחילת קורונה,1
0-9,"{'amount': 1, 'percentage': 0.8}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
0-9,"{'amount': 1, 'percentage': 0.2}","{'amount': 3, 'percentage': 0.6}",3 חודשים,4
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 6, 'percentage': 0.6}",6 חודשים,3
10-19,"{'amount': 4, 'percentage': 0.7}","{'amount': 5, 'percentage': 0.9}",3 חודשים,4
10-19,"{'amount': 5, 'percentage': 0.5}","{'amount': 7, 'percentage': 0.7}",6 חודשים,3
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
10-19,"{'amount': 13, 'percentage': 0.3}","{'amount': 17, 'percentage': 0.4}",מתחילת קורונה,1
10-19,"{'amount': 9, 'percentage': 0.3}","{'amount': 10, 'percentage': 0.3}",שנה,2
20-29,"{'amount': 4, 'percentage': 3.4}","{'amount': 3, 'percentage': 2.5}",חודש אחרון,5
20-29,"{'amount': 7, 'percentage': 1.3}","{'amount': 12, 'percentage': 2.2}",3 חודשים,4
20-29,"{'amount': 10, 'percentage': 0.9}","{'amount': 15, 'percentage': 1.4}",6 חודשים,3
20-29,"{'amount': 48, 'percentage': 1}","{'amount': 44, 'percentage': 0.9}",מתחילת קורונה,1
20-29,"{'amount': 28, 'percentage': 1}","{'amount': 37, 'percentage': 1.3}",שנה,2
30-39,"{'amount': 83, 'percentage': 1.7}","{'amount': 75, 'percentage': 1.6}",מתחילת קורונה,1
30-39,"{'amount': 23, 'percentage': 2.2}","{'amount': 20, 'percentage': 1.9}",6 חודשים,3
30-39,"{'amount': 14, 'percentage': 2.6}","{'amount': 10, 'percentage': 1.9}",3 חודשים,4
30-39,"{'amount': 6, 'percentage': 5}","{'amount': 3, 'percentage': 2.5}",חודש אחרון,5
30-39,"{'amount': 65, 'percentage': 2.2}","{'amount': 49, 'percentage': 1.7}",שנה,2
40-49,"{'amount': 121, 'percentage': 2.5}","{'amount': 214, 'percentage': 4.5}",מתחילת קורונה,1
40-49,"{'amount': 23, 'percentage': 4.3}","{'amount': 41, 'percentage': 7.7}",3 חודשים,4
40-49,"{'amount': 34, 'percentage': 3.2}","{'amount': 64, 'percentage': 6}",6 חודשים,3
40-49,"{'amount': 7, 'percentage': 5.9}","{'amount': 16, 'percentage': 13.4}",חודש אחרון,5
40-49,"{'amount': 87, 'percentage': 3}","{'amount': 150, 'percentage': 5.1}",שנה,2
50-59,"{'amount': 137, 'percentage': 4.7}","{'amount': 292, 'percentage': 10}",שנה,2
50-59,"{'amount': 34, 'percentage': 6.4}","{'amount': 68, 'percentage': 12.7}",3 חודשים,4
50-59,"{'amount': 204, 'percentage': 4.3}","{'amount': 447, 'percentage': 9.4}",מתחילת קורונה,1
50-59,"{'amount': 9, 'percentage': 7.6}","{'amount': 18, 'percentage': 15.1}",חודש אחרון,5
50-59,"{'amount': 55, 'percentage': 5.1}","{'amount': 100, 'percentage': 9.4}",6 חודשים,3
60-69,"{'amount': 65, 'percentage': 12.1}","{'amount': 76, 'percentage': 14.2}",3 חודשים,4
60-69,"{'amount': 279, 'percentage': 9.6}","{'amount': 445, 'percentage': 15.3}",שנה,2
60-69,"{'amount': 402, 'percentage': 8.4}","{'amount': 776, 'percentage': 16.3}",מתחילת קורונה,1
60-69,"{'amount': 14, 'percentage': 11.8}","{'amount': 16, 'percentage': 13.4}",חודש אחרון,5
60-69,"{'amount': 121, 'percentage': 11.3}","{'amount': 146, 'percentage': 13.7}",6 חודשים,3
70-79,"{'amount': 57, 'percentage': 10.7}","{'amount': 49, 'percentage': 9.2}",3 חודשים,4
70-79,"{'amount': 6, 'percentage': 5}","{'amount': 7, 'percentage': 5.9}",חודש אחרון,5
70-79,"{'amount': 451, 'percentage': 9.5}","{'amount': 825, 'percentage': 17.3}",מתחילת קורונה,1
70-79,"{'amount': 289, 'percentage': 9.9}","{'amount': 443, 'percentage': 15.2}",שנה,2
70-79,"{'amount': 107, 'percentage': 10}","{'amount': 146, 'percentage': 13.7}",6 חודשים,3
80-89,"{'amount': 82, 'percentage': 7.7}","{'amount': 90, 'percentage': 8.4}",6 חודשים,3
80-89,"{'amount': 346, 'percentage': 7.3}","{'amount': 482, 'percentage': 10.1}",מתחילת קורונה,1
80-89,"{'amount': 26, 'percentage': 4.9}","{'amount': 27, 'percentage': 5}",3 חודשים,4
80-89,"{'amount': 3, 'percentage': 2.5}","{'amount': 4, 'percentage': 3.4}",חודש אחרון,5
80-89,"{'amount': 217, 'percentage': 7.4}","{'amount': 264, 'percentage': 9}",שנה,2
90+,"{'amount': 19, 'percentage': 1.8}","{'amount': 17, 'percentage': 1.6}",6 חודשים,3
90+,"{'amount': 93, 'percentage': 2}","{'amount': 97, 'percentage': 2}",מתחילת קורונה,1
90+,"{'amount': 8, 'percentage': 1.5}","{'amount': 5, 'percentage': 0.9}",3 חודשים,4
90+,"{'amount': 2, 'percentage': 1.7}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
90+,"{'amount': 52, 'percentage': 1.8}","{'amount': 49, 'percentage': 1.7}",שנה,2
