Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc,vaccinated_third_dose,vaccinated_third_dose_cum,vaccinated_third_dose_population_perc,vaccinated_fourth_dose,vaccinated_fourth_dose_cum,vaccinated_fourth_dose_population_perc,vaccinated_validity_perc,vaccinated_expired_perc,not_vaccinated_perc
2020-12-19T00:00:00.000Z,46,90,0,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-20T00:00:00.000Z,7388,7478,0.08,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-21T00:00:00.000Z,24914,32392,0.35,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-22T00:00:00.000Z,44645,77037,0.83,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-23T00:00:00.000Z,62898,139935,1.5,0,4,0,0,0,0,0,0,0,0,0,100
2020-12-24T00:00:00.000Z,73407,213342,2.29,1,5,0,0,0,0,0,0,0,0,0,100
2020-12-25T00:00:00.000Z,38501,251843,2.71,0,5,0,0,0,0,0,0,0,0,0,100
2020-12-26T00:00:00.000Z,32604,284447,3.06,0,5,0,0,0,0,0,0,0,0,0,100
2020-12-27T00:00:00.000Z,104535,388982,4.18,0,5,0,0,0,0,0,0,0,0,0,100
2020-12-28T00:00:00.000Z,134975,523957,5.63,0,5,0,0,0,0,0,0,0,0,0,100
2020-12-29T00:00:00.000Z,156235,680192,7.31,2,7,0,0,0,0,0,0,0,0,0,100
2020-12-30T00:00:00.000Z,153082,833274,8.96,0,7,0,0,0,0,0,0,0,0,0,100
2020-12-31T00:00:00.000Z,158494,991768,10.66,0,7,0,0,0,0,0,0,0,0,0,100
2021-01-01T00:00:00.000Z,71396,1063164,11.43,0,7,0,0,0,0,0,0,0,0,0,100
2021-01-02T00:00:00.000Z,71702,1134866,12.2,0,7,0,0,0,0,0,0,0,0,0,100
2021-01-03T00:00:00.000Z,149677,1284543,13.81,0,7,0,0,0,0,0,0,0,0,0,100
2021-01-04T00:00:00.000Z,152113,1436656,15.45,2,9,0,0,0,0,0,0,0,0,0,100
2021-01-05T00:00:00.000Z,125116,1561772,16.79,3,12,0,0,0,0,0,0,0,0,0,100
2021-01-06T00:00:00.000Z,103273,1665045,17.91,2,14,0,0,0,0,0,0,0,0,0,100
2021-01-07T00:00:00.000Z,115968,1781013,19.15,7,21,0,0,0,0,0,0,0,0,0,100
2021-01-08T00:00:00.000Z,66409,1847422,19.87,4,25,0,0,0,0,0,0,0,0,0,100
2021-01-09T00:00:00.000Z,44511,1891933,20.34,25,50,0,0,0,0,0,0,0,0,0,100
2021-01-10T00:00:00.000Z,37619,1929552,20.75,5996,6046,0.07,0,0,0,0,0,0,0,0,100
2021-01-11T00:00:00.000Z,21127,1950679,20.98,19257,25303,0.27,0,0,0,0,0,0,0,0,100
2021-01-12T00:00:00.000Z,24021,1974700,21.23,35662,60965,0.66,0,0,0,0,0,0,0,0,100
2021-01-13T00:00:00.000Z,52017,2026717,21.79,56860,117825,1.27,0,0,0,0,0,0,0,0,100
2021-01-14T00:00:00.000Z,56411,2083128,22.4,68823,186648,2.01,0,0,0,0,0,0,0,0,100
2021-01-15T00:00:00.000Z,30723,2113851,22.73,35923,222571,2.39,0,0,0,0,0,0,0,0,100
2021-01-16T00:00:00.000Z,29440,2143291,23.05,26002,248573,2.67,0,0,0,0,0,0,0,0,100
2021-01-17T00:00:00.000Z,68395,2211686,23.78,84574,333147,3.58,0,0,0,0,0,0,0.36,0,99.64
2021-01-18T00:00:00.000Z,69739,2281425,24.53,120396,453543,4.88,0,0,0,0,0,0,0.64,0,99.36
2021-01-19T00:00:00.000Z,72840,2354265,25.32,137794,591337,6.36,0,0,0,0,0,0,1.16,0,98.84
2021-01-20T00:00:00.000Z,76830,2431095,26.14,143708,735045,7.9,0,0,0,0,0,0,1.98,0,98.02
2021-01-21T00:00:00.000Z,69928,2501023,26.89,164379,899424,9.67,0,0,0,0,0,0,2.98,0,97.02
