Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc,vaccinated_third_dose,vaccinated_third_dose_cum,vaccinated_third_dose_population_perc,vaccinated_fourth_dose_cum,vaccinated_validity_perc,vaccinated_expired_perc,not_vaccinated_perc
2020-12-19T00:00:00.000Z,46,81,0,0,4,0,0,0,0,0,0,0,100
2020-12-20T00:00:00.000Z,7386,7467,0.08,0,4,0,0,0,0,0,0,0,100
2020-12-21T00:00:00.000Z,24910,32377,0.35,0,4,0,0,0,0,0,0,0,100
2020-12-22T00:00:00.000Z,44642,77019,0.83,0,4,0,0,0,0,0,0,0,100
2020-12-23T00:00:00.000Z,62903,139922,1.5,0,4,0,0,0,0,0,0,0,100
2020-12-24T00:00:00.000Z,73410,213332,2.29,0,4,0,0,0,0,0,0,0,100
2020-12-25T00:00:00.000Z,38503,251835,2.71,0,4,0,0,0,0,0,0,0,100
2020-12-26T00:00:00.000Z,32609,284444,3.06,0,4,0,0,0,0,0,0,0,100
2020-12-27T00:00:00.000Z,104550,388994,4.18,0,4,0,0,0,0,0,0,0,100
2020-12-28T00:00:00.000Z,135002,523996,5.63,0,4,0,0,0,0,0,0,0,100
2020-12-29T00:00:00.000Z,156264,680260,7.32,1,5,0,0,0,0,0,0,0,100
2020-12-30T00:00:00.000Z,153106,833366,8.96,0,5,0,0,0,0,0,0,0,100
2020-12-31T00:00:00.000Z,158531,991897,10.67,0,5,0,0,0,0,0,0,0,100
2021-01-01T00:00:00.000Z,71408,1063305,11.43,0,5,0,0,0,0,0,0,0,100
2021-01-02T00:00:00.000Z,71722,1135027,12.21,0,5,0,0,0,0,0,0,0,100
2021-01-03T00:00:00.000Z,149723,1284750,13.82,0,5,0,0,0,0,0,0,0,100
2021-01-04T00:00:00.000Z,152155,1436905,15.45,2,7,0,0,0,0,0,0,0,100
2021-01-05T00:00:00.000Z,125170,1562075,16.8,2,9,0,0,0,0,0,0,0,100
2021-01-06T00:00:00.000Z,103336,1665411,17.91,2,11,0,0,0,0,0,0,0,100
2021-01-07T00:00:00.000Z,116039,1781450,19.16,5,16,0,0,0,0,0,0,0,100
2021-01-08T00:00:00.000Z,66449,1847899,19.87,4,20,0,0,0,0,0,0,0,100
2021-01-09T00:00:00.000Z,44524,1892423,20.35,25,45,0,0,0,0,0,0,0,100
2021-01-10T00:00:00.000Z,37633,1930056,20.75,5994,6039,0.06,0,0,0,0,0,0,100
2021-01-11T00:00:00.000Z,21139,1951195,20.98,19254,25293,0.27,0,0,0,0,0,0,100
2021-01-12T00:00:00.000Z,24034,1975229,21.24,35660,60953,0.66,0,0,0,0,0,0,100
2021-01-13T00:00:00.000Z,52039,2027268,21.8,56862,117815,1.27,0,0,0,0,0,0,100
2021-01-14T00:00:00.000Z,56447,2083715,22.41,68825,186640,2.01,0,0,0,0,0,0,100
2021-01-15T00:00:00.000Z,30743,2114458,22.74,35926,222566,2.39,0,0,0,0,0,0,100
2021-01-16T00:00:00.000Z,29445,2143903,23.05,26003,248569,2.67,0,0,0,0,0,0,100
2021-01-17T00:00:00.000Z,68396,2212299,23.79,84577,333146,3.58,0,0,0,0,0.36,0,99.64
2021-01-18T00:00:00.000Z,69722,2282021,24.54,120385,453531,4.88,0,0,0,0,0.64,0,99.36
2021-01-19T00:00:00.000Z,72812,2354833,25.32,137788,591319,6.36,0,0,0,0,1.16,0,98.84
2021-01-20T00:00:00.000Z,76798,2431631,26.15,143697,735016,7.9,0,0,0,0,1.98,0,98.02
2021-01-21T00:00:00.000Z,69920,2501551,26.9,164360,899376,9.67,0,0,0,0,2.98,0,97.02
2021-01-22T00:00:00.000Z,37864,2539415,27.31,71087,970463,10.44,0,0,0,0,3.5,0,96.5
2021-01-23T00:00:00.000Z,39929,2579344,27.74,53559,1024022,11.01,0,0,0,0,3.89,0,96.11
2021-01-24T00:00:00.000Z,69061,2648405,28.48,140642,1164664,12.52,0,0,0,0,5.1,0,94.9
2021-01-25T00:00:00.000Z,80864,2729269,29.35,139446,1304110,14.02,0,0,0,0,6.78,0,93.22
2021-01-26T00:00:00.000Z,78648,2807917,30.2,126366,1430476,15.38,0,0,0,0,8.65,0,91.35
2021-01-27T00:00:00.000Z,77894,2885811,31.03,124984,1555460,16.73,0,0,0,0,10.56,0,89.44
2021-01-28T00:00:00.000Z,79495,2965306,31.89,130551,1686011,18.13,0,0,0,0,12.69,0,87.31
2021-01-29T00:00:00.000Z,36640,3001946,32.28,64751,1750762,18.83,0,0,0,0,13.61,0,86.39
2021-01-30T00:00:00.000Z,34366,3036312,32.65,42737,1793499,19.29,0,0,0,0,14.3,0,85.7
2021-01-31T00:00:00.000Z,73295,3109607,33.44,59463,1852962,19.93,0,0,0,0,16.07,0,83.93
2021-02-01T00:00:00.000Z,82449,3192056,34.33,35308,1888270,20.31,0,0,0,0,17.81,0,82.19
2021-02-02T00:00:00.000Z,70020,3262076,35.08,31030,1919300,20.64,0,0,0,0,19.35,0,80.65
2021-02-03T00:00:00.000Z,60239,3322315,35.73,51389,1970689,21.19,0,0,0,0,20.84,0,79.16
2021-02-04T00:00:00.000Z,72566,3394881,36.51,58039,2028728,21.82,0,0,0,0,22.39,0,77.61
2021-02-05T00:00:00.000Z,33887,3428768,36.87,28764,2057492,22.13,0,0,0,0,23.15,0,76.85
2021-02-06T00:00:00.000Z,21588,3450356,37.1,22201,2079693,22.36,0,0,0,0,23.64,0,76.36
2021-02-07T00:00:00.000Z,54048,3504404,37.68,68691,2148384,23.1,0,0,0,0,24.4,0,75.6
2021-02-08T00:00:00.000Z,58594,3562998,38.31,65408,2213792,23.81,0,0,0,0,24.95,0,75.05
2021-02-09T00:00:00.000Z,66293,3629291,39.03,67498,2281290,24.53,0,0,0,0,25.48,0,74.52
2021-02-10T00:00:00.000Z,70507,3699798,39.79,72222,2353512,25.31,0,0,0,0,26.23,0,73.77
2021-02-11T00:00:00.000Z,81095,3780893,40.66,72038,2425550,26.08,0,0,0,0,27.08,0,72.92
2021-02-12T00:00:00.000Z,39053,3819946,41.08,37543,2463093,26.49,0,0,0,0,27.5,0,72.5
2021-02-13T00:00:00.000Z,27430,3847376,41.37,30403,2493496,26.81,0,0,0,0,27.82,0,72.18
2021-02-14T00:00:00.000Z,74865,3922241,42.18,69026,2562522,27.56,0,0,0,0,28.76,0,71.24
2021-02-15T00:00:00.000Z,81486,4003727,43.05,75649,2638171,28.37,0,0,0,0,29.69,0,70.31
2021-02-16T00:00:00.000Z,83373,4087100,43.95,78224,2716395,29.21,0,0,0,0,30.64,0,69.36
2021-02-17T00:00:00.000Z,61920,4149020,44.62,75579,2791974,30.02,0,0,0,0,31.56,0,68.44
2021-02-18T00:00:00.000Z,69103,4218123,45.36,79690,2871664,30.88,0,0,0,0,32.51,0,67.49
2021-02-19T00:00:00.000Z,39612,4257735,45.79,38111,2909775,31.29,0,0,0,0,33.02,0,66.98
2021-02-20T00:00:00.000Z,31621,4289356,46.13,28704,2938479,31.6,0,0,0,0,33.43,0,66.57
2021-02-21T00:00:00.000Z,79394,4368750,46.98,78395,3016874,32.44,0,0,0,0,34.39,0,65.61
2021-02-22T00:00:00.000Z,85007,4453757,47.89,80554,3097428,33.31,0,0,0,0,35.44,0,64.56
