Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc,vaccinated_third_dose,vaccinated_third_dose_cum,vaccinated_third_dose_population_perc
2020-12-19T00:00:00.000Z,44,61,0,0,0,0,0,0,0
2020-12-20T00:00:00.000Z,7379,7440,0.08,0,0,0,0,0,0
2020-12-21T00:00:00.000Z,24888,32328,0.35,0,0,0,0,0,0
2020-12-22T00:00:00.000Z,44625,76953,0.83,0,0,0,0,0,0
2020-12-23T00:00:00.000Z,62852,139805,1.5,0,0,0,0,0,0
2020-12-24T00:00:00.000Z,73356,213161,2.29,0,0,0,0,0,0
2020-12-25T00:00:00.000Z,38467,251628,2.71,0,0,0,0,0,0
2020-12-26T00:00:00.000Z,32583,284211,3.06,0,0,0,0,0,0
2020-12-27T00:00:00.000Z,104426,388637,4.18,0,0,0,0,0,0
2020-12-28T00:00:00.000Z,134875,523512,5.63,0,0,0,0,0,0
2020-12-29T00:00:00.000Z,156082,679594,7.31,0,0,0,0,0,0
2020-12-30T00:00:00.000Z,152870,832464,8.95,0,0,0,0,0,0
2020-12-31T00:00:00.000Z,158326,990790,10.65,0,0,0,0,0,0
2021-01-01T00:00:00.000Z,71290,1062080,11.42,0,0,0,0,0,0
2021-01-02T00:00:00.000Z,71648,1133728,12.19,0,0,0,0,0,0
2021-01-03T00:00:00.000Z,149495,1283223,13.8,0,0,0,0,0,0
2021-01-04T00:00:00.000Z,151938,1435161,15.43,1,1,0,0,0,0
2021-01-05T00:00:00.000Z,124938,1560099,16.78,0,1,0,0,0,0
2021-01-06T00:00:00.000Z,103142,1663241,17.89,1,2,0,0,0,0
2021-01-07T00:00:00.000Z,115860,1779101,19.13,5,7,0,0,0,0
2021-01-08T00:00:00.000Z,66323,1845424,19.84,3,10,0,0,0,0
2021-01-09T00:00:00.000Z,44464,1889888,20.32,22,32,0,0,0,0
2021-01-10T00:00:00.000Z,37557,1927445,20.73,5989,6021,0.06,0,0,0
