name,coronaOccupancy,normalOccupancy,isolatedTeam
סורוקה,28.000000000000004,,0
הכרמל,26,,0
סוראסקי,20,,0
ברזילי,18,,0
לניאדו,18,,0
שמיר,17,,0
שיבא,16,,0
הלל יפה,15,,0
קפלן,14.000000000000002,,0
שניידר,14.000000000000002,,0
אסותא אשדוד,13,,0
רבין ק. בילינסון,11,,0
"רמב""ם",10,,0
נהריה,10,,0
המרכזי בעמק,10,,0
מאיר,9,,0
המשפחה הקדושה,9,,0
שערי צדק,9,,0
פוריה,6,,0
זיו צפת,5,,0
בני ציון,5,,0
סנט ג'וזף,5,,0
אוגוסטה ויקטוריה,5,,0
הדסה עין כרם,4,,0
הסקוטי,4,,0
וולפסון,3,,0
הדסה הר הצופים,3,,0
רבין ק. השרון,0,,0
יוספטל,0,,0
סנט וינסנט,0,,0
אל מקאסד,0,,0
מעייני הישועה,0,,0
