instituteDesc,occupancy,gOccupancy,occupancyDate
Yosephtal Hospital            ,37.5,49.2,2022-07-27T00:00:00.000Z
Rabin K. Hasharon             ,54.4,67.2,2022-07-27T00:00:00.000Z
Woolfson Medical Center       ,64.8,80.4,2022-07-27T00:00:00.000Z
Hacarmel Hospital             ,67.9,89.8,2022-07-27T00:00:00.000Z
Poriah Hospital               ,70.5,70.7,2022-07-27T00:00:00.000Z
Meir Hospital                 ,74.5,86.8,2022-07-27T00:00:00.000Z
Soroka Medical Center         ,74.4,88.6,2022-07-27T00:00:00.000Z
Laniado                       ,76.9,105.6,2022-07-27T00:00:00.000Z
Kaplan Hospital               ,76.7,87.1,2022-07-27T00:00:00.000Z
Bnei Ziom Medical Center      ,77.7,92.6,2022-07-27T00:00:00.000Z
Shmuel Harofe                 ,77.8,82.4,2022-07-27T00:00:00.000Z
Assaf Harofeh Medical Center  ,79.2,77,2022-07-27T00:00:00.000Z
Barzilai Medical Center       ,85.4,89.1,2022-07-27T00:00:00.000Z
Haemek Valley Center Hospital ,85.2,78.2,2022-07-27T00:00:00.000Z
Shaare Zedek                  ,89.3,109.2,2022-07-27T00:00:00.000Z
Rambam                        ,92.4,95.3,2022-07-27T00:00:00.000Z
Hadassah Mount Scopus         ,97.2,85.8,2022-07-27T00:00:00.000Z
Nahariya                      ,99.5,98.5,2022-07-27T00:00:00.000Z
Hillel Yaffeh Medical Center  ,100,92.2,2022-07-27T00:00:00.000Z
      Ziv Hospital            ,100,82.7,2022-07-27T00:00:00.000Z
Assuta Ashdod                 ,106.8,108.2,2022-07-27T00:00:00.000Z
Chaim Sheba Medical Center    ,107.5,109.5,2022-07-27T00:00:00.000Z
Rabin K. Beilinson            ,110.6,106.1,2022-07-27T00:00:00.000Z
Hadassah Ein Kerem            ,111.7,95.1,2022-07-27T00:00:00.000Z
,,35.6,2022-07-27T00:00:00.000Z
