instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. Hasharon             ,56.1,51.5,2022-09-17T00:00:00.000Z
Soroka Medical Center         ,57.4,71.8,2022-09-17T00:00:00.000Z
Woolfson Medical Center       ,63.9,64,2022-09-17T00:00:00.000Z
Bnei Ziom Medical Center      ,64.5,64,2022-09-17T00:00:00.000Z
Hadassah Mount Scopus         ,66.7,59.7,2022-09-17T00:00:00.000Z
Poriah Hospital               ,74.4,72.4,2022-09-17T00:00:00.000Z
Yosephtal Hospital            ,75,33.8,2022-09-17T00:00:00.000Z
Barzilai Medical Center       ,76,66.9,2022-09-17T00:00:00.000Z
Hacarmel Hospital             ,77.4,70.8,2022-09-17T00:00:00.000Z
      Ziv Hospital            ,82.8,62.2,2022-09-17T00:00:00.000Z
Laniado                       ,83.3,75.8,2022-09-17T00:00:00.000Z
Assaf Harofeh Medical Center  ,83.8,62.7,2022-09-17T00:00:00.000Z
Rambam                        ,92.9,76.5,2022-09-17T00:00:00.000Z
Hillel Yaffeh Medical Center  ,93.8,75.3,2022-09-17T00:00:00.000Z
Shmuel Harofe                 ,97.2,82.4,2022-09-17T00:00:00.000Z
Haemek Valley Center Hospital ,98.1,70.4,2022-09-17T00:00:00.000Z
Rabin K. Beilinson            ,110.6,85.8,2022-09-17T00:00:00.000Z
Hadassah Ein Kerem            ,112.6,90.3,2022-09-17T00:00:00.000Z
,,40.1,2022-09-17T00:00:00.000Z
Kaplan Hospital               ,108.7,97.9,2022-09-17T00:00:00.000Z
Nahariya                      ,112.1,84.3,2022-09-17T00:00:00.000Z
