day_date,age_group,serious_amount_vaccinated,serious_amount_expired,serious_amount_not_vaccinated,new_serious_amount_vaccinated,new_serious_amount_expired,new_serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_expired_normalized,serious_not_vaccinated_normalized,new_serious_vaccinated_normalized,new_serious_expired_normalized,new_serious_not_vaccinated_normalized
2021-01-17T00:00:00.000Z,מעל גיל 60,3,0,555,2,0,57,34.4,0,119.9,22.9,0,12.3
2021-01-17T00:00:00.000Z,מתחת לגיל 60,5,0,247,1,0,36,37,0,3.6,7.4,0,0.5
2021-01-17T00:00:00.000Z,כלל האוכלוסיה,8,0,802,3,0,93,35.9,0,11.1,13.5,0,1.3
2021-01-18T00:00:00.000Z,מתחת לגיל 60,4,0,232,0,0,32,17.4,0,3.4,0,0,0.5
2021-01-18T00:00:00.000Z,מעל גיל 60,4,0,558,2,0,65,21,0,122.3,10.5,0,14.2
2021-01-18T00:00:00.000Z,כלל האוכלוסיה,8,0,790,2,0,97,19,0,11,4.7,0,1.4
2021-01-19T00:00:00.000Z,מתחת לגיל 60,4,0,222,0,0,34,11.1,0,3.3,0,0,0.5
2021-01-19T00:00:00.000Z,מעל גיל 60,2,0,557,0,0,71,4.7,0,123.9,0,0,15.8
2021-01-19T00:00:00.000Z,כלל האוכלוסיה,6,0,779,0,0,105,7.7,0,11,0,0,1.5
2021-01-20T00:00:00.000Z,מעל גיל 60,3,0,541,1,0,60,3.6,0,122,1.2,0,13.5
2021-01-20T00:00:00.000Z,מתחת לגיל 60,3,0,224,0,0,30,5.7,0,3.4,0,0,0.5
2021-01-20T00:00:00.000Z,כלל האוכלוסיה,6,0,765,1,0,90,4.4,0,10.9,0.7,0,1.3
2021-01-21T00:00:00.000Z,כלל האוכלוסיה,9,0,738,3,0,89,4.4,0,10.6,1.5,0,1.3
2021-01-21T00:00:00.000Z,מתחת לגיל 60,4,0,228,1,0,38,5.7,0,3.5,1.4,0,0.6
2021-01-21T00:00:00.000Z,מעל גיל 60,5,0,510,2,0,51,3.7,0,116.8,1.5,0,11.7
2021-01-22T00:00:00.000Z,מתחת לגיל 60,4,0,234,0,0,34,5.2,0,3.6,0,0,0.5
2021-01-22T00:00:00.000Z,כלל האוכלוסיה,8,0,725,0,0,83,3.3,0,10.5,0,0,1.2
2021-01-22T00:00:00.000Z,מעל גיל 60,4,0,491,0,0,49,2.4,0,113.4,0,0,11.3
2021-01-23T00:00:00.000Z,מתחת לגיל 60,4,0,242,1,0,29,4.9,0,3.7,1.2,0,0.4
2021-01-23T00:00:00.000Z,כלל האוכלוסיה,8,0,733,2,0,75,3,0,10.7,0.7,0,1.1
2021-01-23T00:00:00.000Z,מעל גיל 60,4,0,491,1,0,46,2.2,0,114.2,0.5,0,10.7
2021-01-24T00:00:00.000Z,כלל האוכלוסיה,9,0,741,1,0,88,2.5,0,10.9,0.3,0,1.3
2021-01-24T00:00:00.000Z,מתחת לגיל 60,5,0,251,1,0,38,4.8,0,3.9,1,0,0.6
2021-01-24T00:00:00.000Z,מעל גיל 60,4,0,490,0,0,50,1.6,0,115.7,0,0,11.8
2021-01-25T00:00:00.000Z,כלל האוכלוסיה,9,0,713,1,0,104,1.9,0,10.6,0.2,0,1.5
2021-01-25T00:00:00.000Z,מתחת לגיל 60,6,0,231,1,0,32,4.2,0,3.6,0.7,0,0.5
2021-01-25T00:00:00.000Z,מעל גיל 60,3,0,481,0,0,71,0.9,0,115.5,0,0,17.1
2021-01-26T00:00:00.000Z,מתחת לגיל 60,4,0,253,0,0,49,2.1,0,4,0,0,0.8
2021-01-26T00:00:00.000Z,כלל האוכלוסיה,6,0,727,0,0,99,1,0,10.9,0,0,1.5
2021-01-26T00:00:00.000Z,מעל גיל 60,2,0,473,0,0,50,0.5,0,115.4,0,0,12.2
2021-01-27T00:00:00.000Z,מעל גיל 60,3,0,463,2,0,53,0.6,0,114.6,0.4,0,13.1
2021-01-27T00:00:00.000Z,כלל האוכלוסיה,7,0,726,2,0,92,0.9,0,11.1,0.3,0,1.4
2021-01-27T00:00:00.000Z,מתחת לגיל 60,4,0,262,0,0,39,1.6,0,4.2,0,0,0.6
2021-01-28T00:00:00.000Z,כלל האוכלוסיה,11,0,739,4,0,96,1.2,0,11.4,0.4,0,1.5
2021-01-28T00:00:00.000Z,מעל גיל 60,6,0,467,3,0,53,1,0,117.1,0.5,0,13.3
2021-01-28T00:00:00.000Z,מתחת לגיל 60,5,0,272,1,0,43,1.6,0,4.4,0.3,0,0.7
