age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.9,17.3,0,0,24.08,75.92,0
12-15,65.5,54.3,14.1,0,54.97,39.36,5.67
16-19,89.3,78,45.4,0.1,69.97,19.88,10.15
20-29,85.6,76.8,54.2,0.5,73.94,14.1,11.96
30-39,89,81.8,59.2,1.3,77.16,11.38,11.46
40-49,90.5,84.4,66.5,2.2,81.42,9.54,9.04
50-59,91.1,86.2,72.7,4.4,84.49,7.77,7.74
60-69,92.7,89.7,80.1,29.3,87.6,7.19,5.21
70-79,90.9,89.3,85.8,47.7,90.94,4.85,4.21
80-89,90.8,89,83.3,50,88.5,5.28,6.22
90+,84.4,81.7,75.8,48,82.34,5.51,12.16
