age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.38,81.14,18.48
12-15,65.7,54.7,15,0,0.84,47.1,52.06
16-19,89.3,78.3,46,0.2,0.64,24.16,75.19
20-29,85.7,77.2,54.8,0.9,0.84,12.65,86.51
30-39,89,82.1,59.8,2.1,1.34,10.29,88.37
40-49,90.6,84.8,67.1,3.6,2.04,8.46,89.51
50-59,91.3,86.6,73.4,7.4,3.98,5.61,90.41
60-69,93.2,90.4,80.9,34.2,10.39,7.31,82.31
70-79,92.1,90.7,87.4,54.8,22.5,0.85,76.65
80+,95.3,93.3,87.6,58.2,24.76,4.63,70.61
