age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.37,81.18,18.45
12-15,65.7,54.7,15,0,0.82,47.18,52
16-19,89.3,78.3,46,0.2,0.63,24.24,75.12
20-29,85.7,77.2,54.8,0.9,0.85,12.63,86.52
30-39,89,82.1,59.8,2.1,1.37,10.28,88.36
40-49,90.6,84.8,67.1,3.6,2.08,8.44,89.48
50-59,91.3,86.6,73.4,7.4,4.07,5.58,90.36
60-69,93.2,90.4,80.9,34.2,10.69,7.3,82.01
70-79,92.1,90.7,87.4,54.8,23.18,0.76,76.06
80+,95.3,93.3,87.6,58.2,25.41,4.6,69.99
