age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.37,81.19,18.44
12-15,65.7,54.7,15,0,0.83,47.21,51.97
16-19,89.3,78.3,46,0.2,0.64,24.25,75.12
20-29,85.7,77.2,54.8,0.9,0.86,12.62,86.52
30-39,89,82.1,59.8,2.1,1.38,10.28,88.34
40-49,90.6,84.8,67.1,3.6,2.1,8.44,89.46
50-59,91.3,86.6,73.4,7.4,4.12,5.56,90.32
60-69,93.2,90.4,80.9,34.2,10.84,7.3,81.86
70-79,92.1,90.7,87.4,54.8,23.48,0.74,75.78
80+,95.3,93.3,87.6,58.2,25.68,4.61,69.71
