age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.7,0.1,0,19.3,77,3.7
12-15,65.6,54.6,14.8,0,32.3,42.6,25.1
16-19,89.3,78.2,45.9,0.2,29.8,22.4,47.8
20-29,85.6,77,54.7,0.8,26.5,13.5,60.1
30-39,88.9,81.9,59.7,2,30,10.6,59.3
40-49,90.5,84.7,67,3.3,31.1,9.1,59.8
50-59,91.2,86.5,73.3,7,30.7,6.9,62.4
60-69,93.1,90.2,80.8,33.7,49.3,7.8,42.9
70-79,92,90.6,87.3,54.2,63.9,4.6,31.5
80+,95.3,93.2,87.5,57.7,64.1,6.3,29.5
