age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,363995,299145,561,57.2,47,0.1,58.2,41.78,0.01
16-19,515912,448017,199262,87.2,75.8,33.7,63.03,21.19,15.78
20-29,1107022,988011,639232,83.9,74.9,48.5,65.4,16.3,18.3
30-39,1057799,969107,648925,87.6,80.3,53.8,69.08,12.98,17.94
40-49,994129,923268,690253,89.5,83.1,62.1,75.45,10.8,13.75
50-59,789887,743397,603749,90.3,85,69,79.91,9.25,10.84
60-69,688869,662265,575639,92.2,88.6,77,85.26,7.83,6.91
70-79,476483,465852,436982,90.4,88.4,82.9,87.65,7.09,5.26
80-89,215652,210113,191255,90.3,88,80.1,84.78,7.88,7.34
90+,49074,47260,41838,83.6,80.5,71.3,74.86,12.26,12.87
