age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,0.5,80.4,19.1
12-15,65.7,54.7,15,0,0.9,45.6,53.4
16-19,89.3,78.3,46,0.3,0.6,23.5,75.9
20-29,85.7,77.2,54.8,0.9,0.8,12.9,86.2
30-39,89,82.1,59.8,2.2,0.9,10.4,88.7
40-49,90.6,84.8,67.1,3.7,1.2,8.7,90.1
50-59,91.3,86.6,73.4,7.5,2,6.1,91.9
60-69,93.2,90.3,80.9,34.4,3.2,7.5,89.3
70-79,92.1,90.7,87.4,54.9,4.4,2.3,93.3
80+,95.3,93.3,87.6,58.4,4.1,5.4,90.5
