age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,18.79,68.35,12.86
12-15,65.5,54.4,14.4,0,29.53,30.52,39.95
16-19,89.3,78.1,45.7,0.1,50.59,2.77,46.64
20-29,85.7,77,54.5,0.7,59.11,-4.91,45.8
30-39,89.1,82,59.5,1.7,63.25,-10.47,47.22
40-49,90.6,84.6,66.8,2.8,70.05,-15.18,45.14
50-59,91.1,86.3,73,5.8,75.69,-14.66,38.97
60-69,92.8,89.8,80.3,31,81.88,-11.25,29.38
70-79,90.9,89.4,86,50,88.27,-10.78,22.51
80-89,90.8,89.1,83.5,52,87.28,-9.14,21.86
90+,84.4,81.8,76.2,50.1,84.57,-14.03,29.46
