age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.9,16.9,0,0,22.91,77.09,0
12-15,65.4,54.1,13.9,0,55,39.39,5.61
16-19,89.2,77.9,45.2,0.1,69.58,19.87,10.55
20-29,85.5,76.7,54,0.4,73.26,14.21,12.52
30-39,88.9,81.7,59.1,1,76.37,11.44,12.19
40-49,90.5,84.3,66.4,1.7,80.84,9.61,9.55
50-59,91,86.1,72.6,3.2,84.07,7.88,8.05
60-69,92.7,89.7,80,28.4,87.35,7.23,5.42
70-79,90.8,89.3,85.7,46.6,90.56,5.09,4.35
80-89,90.8,89,83.2,48.7,88.15,5.49,6.36
90+,84.3,81.6,75.6,46.4,81.69,6.04,12.27
