age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.4,0,0,24.22,75.78,0
12-15,65.5,54.3,14.1,0,54.86,39.42,5.71
16-19,89.3,78,45.5,0.1,69.98,19.92,10.1
20-29,85.6,76.8,54.2,0.5,74.08,14.05,11.86
30-39,89,81.8,59.3,1.4,77.35,11.35,11.3
40-49,90.5,84.5,66.6,2.4,81.57,9.51,8.92
50-59,91.1,86.2,72.8,4.8,84.6,7.73,7.66
60-69,92.7,89.7,80.1,29.9,87.67,7.16,5.17
70-79,90.9,89.4,85.8,48.5,91.08,4.74,4.18
80-89,90.8,89,83.3,50.6,88.62,5.19,6.19
90+,84.4,81.7,75.8,48.5,82.6,5.26,12.14
