age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.9,17.4,0,0,24.13,75.87,0
12-15,65.5,54.3,14.1,0,54.93,39.37,5.7
16-19,89.3,78,45.4,0.1,69.98,19.88,10.15
20-29,85.6,76.8,54.2,0.5,73.96,14.09,11.95
30-39,89,81.8,59.3,1.3,77.19,11.37,11.44
40-49,90.5,84.4,66.5,2.3,81.44,9.53,9.02
50-59,91.1,86.2,72.7,4.5,84.51,7.76,7.73
60-69,92.7,89.7,80.1,29.4,87.62,7.18,5.2
70-79,90.9,89.3,85.8,47.8,90.97,4.83,4.21
80-89,90.8,89,83.3,50.1,88.52,5.27,6.21
90+,84.4,81.7,75.8,48.2,82.4,5.44,12.16
