age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,24.26,75.74,0
12-15,65.5,54.4,14.2,0,52.94,39.7,7.36
16-19,89.3,78.1,45.5,0.1,69.43,20.01,10.57
20-29,85.6,76.9,54.4,0.6,74.19,13.95,11.86
30-39,89,81.9,59.4,1.5,77.51,11.28,11.2
40-49,90.6,84.5,66.7,2.6,81.69,9.43,8.88
50-59,91.1,86.3,72.8,5.1,84.76,7.6,7.65
60-69,92.8,89.8,80.2,30.2,87.73,7.14,5.13
70-79,90.9,89.4,85.9,48.8,91.45,4.39,4.16
80-89,90.8,89,83.4,51,88.95,4.9,6.15
90+,84.4,81.7,76,49.1,83.46,4.44,12.09
