age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,1.1,79.7,19.2
12-15,65.7,54.7,15,0,3,44.4,52.6
16-19,89.3,78.3,46,0.2,3.3,22.9,73.8
20-29,85.6,77.1,54.8,0.9,4.1,13.2,82.7
30-39,89,82,59.7,2.1,4.8,10.5,84.7
40-49,90.6,84.7,67.1,3.5,5.2,9,85.9
50-59,91.2,86.6,73.3,7.3,6.2,6.5,87.3
60-69,93.2,90.3,80.9,34.1,6.2,7.6,86.2
70-79,92.1,90.7,87.4,54.7,6.3,3.4,90.2
80+,95.3,93.3,87.5,58.1,5.7,5.9,88.4
