age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.38,81.15,18.47
12-15,65.7,54.7,15,0,0.84,47.12,52.04
16-19,89.3,78.3,46,0.2,0.65,24.18,75.18
20-29,85.7,77.2,54.8,0.9,0.85,12.64,86.51
30-39,89,82.1,59.8,2.1,1.36,10.28,88.36
40-49,90.6,84.8,67.1,3.6,2.06,8.45,89.49
50-59,91.3,86.6,73.4,7.4,4.03,5.6,90.37
60-69,93.2,90.4,80.9,34.2,10.55,7.3,82.15
70-79,92.1,90.7,87.4,54.8,22.85,0.82,76.33
80+,95.3,93.3,87.6,58.2,25.11,4.6,70.29
