period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,481,1548,10.58,34.06
3_Month,5-11,2738,9963,8.49,30.88
6_Month,5-11,3519,16603,3.63,17.12
1_Year,5-11,4672,51623,0.79,8.68
All,5-11,4672,52199,0.65,7.24
1_Month,12-15,280,339,14.34,17.37
3_Month,12-15,1754,2378,11.26,15.27
6_Month,12-15,2813,4134,6.02,8.85
1_Year,12-15,8643,18011,3.24,6.75
All,12-15,8655,18570,2.51,5.38
1_Month,16-19,722,206,24.42,6.97
3_Month,16-19,3310,1095,19.34,6.4
6_Month,16-19,4856,1825,10.9,4.1
1_Year,16-19,14456,10642,6.64,4.89
All,16-19,14556,11122,4.74,3.62
1_Month,20-29,2519,604,23.45,5.62
3_Month,20-29,10085,2794,18.83,5.22
6_Month,20-29,14813,4431,11.47,3.43
1_Year,20-29,36465,20642,7.62,4.31
All,20-29,36647,21497,5.64,3.31
1_Month,30-39,2909,756,22.27,5.79
3_Month,30-39,11500,3548,17.31,5.34
6_Month,30-39,16247,5313,10.45,3.42
1_Year,30-39,35365,19120,6.75,3.65
All,30-39,35529,19714,5.41,3
1_Month,40-49,2552,561,20.16,4.43
3_Month,40-49,10791,2700,16.09,4.03
6_Month,40-49,14837,4034,9.76,2.65
1_Year,40-49,31569,14028,6.61,2.94
All,40-49,31747,14438,5.36,2.44
1_Month,50-59,1984,336,16.05,2.72
3_Month,50-59,7676,1599,12.06,2.51
6_Month,50-59,10425,2384,8.06,1.84
1_Year,50-59,20478,7581,6.16,2.28
All,50-59,20598,7816,4.96,1.88
1_Month,60-69,1552,215,10.93,1.51
3_Month,60-69,5771,899,8.36,1.3
6_Month,60-69,7437,1298,6.04,1.05
1_Year,60-69,12975,3969,5.11,1.56
All,60-69,13078,4091,4.24,1.33
1_Month,70-79,1040,97,7.8,0.73
3_Month,70-79,3604,384,5.84,0.62
6_Month,70-79,4326,516,4.43,0.53
1_Year,70-79,6510,1248,3.98,0.76
All,70-79,6559,1316,3.41,0.69
1_Month,80+,878,103,10.07,1.18
3_Month,80+,2436,262,7.31,0.79
6_Month,80+,2865,348,5.77,0.7
1_Year,80+,4170,738,5.02,0.89
All,80+,4222,794,4.13,0.78
