date,amount,coronaEvents,vaccinated_amount_cum_perc
2020-02-12T00:00:00.000Z,0,,0
2020-02-13T00:00:00.000Z,0,,0
2020-02-14T00:00:00.000Z,0,,0
2020-02-15T00:00:00.000Z,0,,0
2020-02-16T00:00:00.000Z,0,,0
2020-02-17T00:00:00.000Z,0,,0
2020-02-18T00:00:00.000Z,0,,0
2020-02-19T00:00:00.000Z,0,,0
2020-02-20T00:00:00.000Z,0,,0
2020-02-21T00:00:00.000Z,1,,0
2020-02-22T00:00:00.000Z,0,,0
2020-02-23T00:00:00.000Z,0,,0
2020-02-24T00:00:00.000Z,1,,0
2020-02-25T00:00:00.000Z,0,,0
2020-02-26T00:00:00.000Z,0,,0
2020-02-27T00:00:00.000Z,1,,0
2020-02-28T00:00:00.000Z,3,,0
2020-02-29T00:00:00.000Z,0,,0
2020-03-01T00:00:00.000Z,1,,0
2020-03-02T00:00:00.000Z,5,,0
2020-03-03T00:00:00.000Z,3,,0
2020-03-04T00:00:00.000Z,0,,0
2020-03-05T00:00:00.000Z,9,,0
2020-03-06T00:00:00.000Z,4,,0
2020-03-07T00:00:00.000Z,4,,0
2020-03-08T00:00:00.000Z,9,,0
2020-03-09T00:00:00.000Z,4,,0
2020-03-10T00:00:00.000Z,33,,0
2020-03-11T00:00:00.000Z,19,,0
2020-03-12T00:00:00.000Z,22,,0
2020-03-13T00:00:00.000Z,35,,0
2020-03-14T00:00:00.000Z,29,סגר ראשון ,0
2020-03-15T00:00:00.000Z,40,,0
2020-03-16T00:00:00.000Z,73,,0
2020-03-17T00:00:00.000Z,94,,0
2020-03-18T00:00:00.000Z,125,,0
2020-03-19T00:00:00.000Z,136,,0
2020-03-20T00:00:00.000Z,168,,0
2020-03-21T00:00:00.000Z,209,,0
2020-03-22T00:00:00.000Z,252,,0
2020-03-23T00:00:00.000Z,350,,0
2020-03-24T00:00:00.000Z,420,,0
2020-03-25T00:00:00.000Z,424,,0
2020-03-26T00:00:00.000Z,519,,0
2020-03-27T00:00:00.000Z,432,,0
2020-03-28T00:00:00.000Z,476,,0
2020-03-29T00:00:00.000Z,528,,0
2020-03-30T00:00:00.000Z,551,,0
2020-03-31T00:00:00.000Z,737,,0
2020-04-01T00:00:00.000Z,694,,0
2020-04-02T00:00:00.000Z,724,,0
2020-04-03T00:00:00.000Z,600,,0
2020-04-04T00:00:00.000Z,428,,0
2020-04-05T00:00:00.000Z,584,,0
2020-04-06T00:00:00.000Z,449,,0
2020-04-07T00:00:00.000Z,376,,0
2020-04-08T00:00:00.000Z,340,,0
2020-04-09T00:00:00.000Z,340,,0
2020-04-10T00:00:00.000Z,356,,0
2020-04-11T00:00:00.000Z,342,,0
2020-04-12T00:00:00.000Z,551,,0
2020-04-13T00:00:00.000Z,437,,0
2020-04-14T00:00:00.000Z,394,,0
2020-04-15T00:00:00.000Z,305,,0
2020-04-16T00:00:00.000Z,296,,0
2020-04-17T00:00:00.000Z,297,,0
2020-04-18T00:00:00.000Z,288,,0
2020-04-19T00:00:00.000Z,274,פתיחת משק חלקית לאחר סגר ראשון,0
2020-04-20T00:00:00.000Z,297,,0
2020-04-21T00:00:00.000Z,279,,0
2020-04-22T00:00:00.000Z,226,,0
2020-04-23T00:00:00.000Z,275,,0
2020-04-24T00:00:00.000Z,249,,0
2020-04-25T00:00:00.000Z,159,,0
2020-04-26T00:00:00.000Z,82,,0
2020-04-27T00:00:00.000Z,127,,0
2020-04-28T00:00:00.000Z,161,,0
2020-04-29T00:00:00.000Z,82,,0
2020-04-30T00:00:00.000Z,143,,0
2020-05-01T00:00:00.000Z,116,,0
2020-05-02T00:00:00.000Z,57,,0
2020-05-03T00:00:00.000Z,27,,0
2020-05-04T00:00:00.000Z,55,,0
2020-05-05T00:00:00.000Z,33,,0
2020-05-06T00:00:00.000Z,65,,0
2020-05-07T00:00:00.000Z,61,,0
2020-05-08T00:00:00.000Z,33,,0
2020-05-09T00:00:00.000Z,20,,0
2020-05-10T00:00:00.000Z,29,,0
2020-05-11T00:00:00.000Z,39,,0
2020-05-12T00:00:00.000Z,23,,0
2020-05-13T00:00:00.000Z,39,,0
2020-05-14T00:00:00.000Z,22,,0
2020-05-15T00:00:00.000Z,12,,0
2020-05-16T00:00:00.000Z,5,,0
2020-05-17T00:00:00.000Z,15,,0
2020-05-18T00:00:00.000Z,27,,0
2020-05-19T00:00:00.000Z,22,,0
2020-05-20T00:00:00.000Z,15,,0
2020-05-21T00:00:00.000Z,18,,0
2020-05-22T00:00:00.000Z,19,,0
2020-05-23T00:00:00.000Z,5,,0
2020-05-24T00:00:00.000Z,13,,0
2020-05-25T00:00:00.000Z,22,,0
2020-05-26T00:00:00.000Z,50,,0
2020-05-27T00:00:00.000Z,40,פתיחת משק מלאה לאחר סגר ראשון,0
2020-05-28T00:00:00.000Z,77,,0
2020-05-29T00:00:00.000Z,113,,0
2020-05-30T00:00:00.000Z,29,,0
2020-05-31T00:00:00.000Z,87,,0
2020-06-01T00:00:00.000Z,100,,0
2020-06-02T00:00:00.000Z,121,,0
2020-06-03T00:00:00.000Z,96,,0
2020-06-04T00:00:00.000Z,142,,0
2020-06-05T00:00:00.000Z,127,,0
2020-06-06T00:00:00.000Z,78,,0
2020-06-07T00:00:00.000Z,140,,0
2020-06-08T00:00:00.000Z,179,,0
2020-06-09T00:00:00.000Z,174,,0
2020-06-10T00:00:00.000Z,241,,0
2020-06-11T00:00:00.000Z,192,,0
2020-06-12T00:00:00.000Z,184,,0
2020-06-13T00:00:00.000Z,149,,0
2020-06-14T00:00:00.000Z,137,,0
2020-06-15T00:00:00.000Z,200,,0
2020-06-16T00:00:00.000Z,298,,0
2020-06-17T00:00:00.000Z,270,,0
2020-06-18T00:00:00.000Z,303,,0
2020-06-19T00:00:00.000Z,311,,0
2020-06-20T00:00:00.000Z,161,,0
2020-06-21T00:00:00.000Z,174,,0
2020-06-22T00:00:00.000Z,344,,0
2020-06-23T00:00:00.000Z,452,,0
2020-06-24T00:00:00.000Z,486,,0
2020-06-25T00:00:00.000Z,516,,0
2020-06-26T00:00:00.000Z,464,,0
2020-06-27T00:00:00.000Z,397,,0
2020-06-28T00:00:00.000Z,383,,0
2020-06-29T00:00:00.000Z,759,,0
2020-06-30T00:00:00.000Z,789,,0
2020-07-01T00:00:00.000Z,968,,0
2020-07-02T00:00:00.000Z,1154,,0
2020-07-03T00:00:00.000Z,941,,0
2020-07-04T00:00:00.000Z,821,,0
2020-07-05T00:00:00.000Z,825,,0
2020-07-06T00:00:00.000Z,1128,,0
2020-07-07T00:00:00.000Z,1384,,0
2020-07-08T00:00:00.000Z,1329,,0
2020-07-09T00:00:00.000Z,1521,,0
2020-07-10T00:00:00.000Z,1407,,0
2020-07-11T00:00:00.000Z,1169,,0
2020-07-12T00:00:00.000Z,1236,,0
2020-07-13T00:00:00.000Z,1717,,0
2020-07-14T00:00:00.000Z,1601,,0
2020-07-15T00:00:00.000Z,1873,,0
2020-07-16T00:00:00.000Z,1936,,0
2020-07-17T00:00:00.000Z,1601,,0
2020-07-18T00:00:00.000Z,1445,,0
2020-07-19T00:00:00.000Z,1016,,0
2020-07-20T00:00:00.000Z,1887,,0
2020-07-21T00:00:00.000Z,2004,,0
2020-07-22T00:00:00.000Z,2041,,0
2020-07-23T00:00:00.000Z,1988,,0
2020-07-24T00:00:00.000Z,1824,,0
2020-07-25T00:00:00.000Z,1110,,0
2020-07-26T00:00:00.000Z,1040,,0
2020-07-27T00:00:00.000Z,2047,,0
2020-07-28T00:00:00.000Z,2120,,0
2020-07-29T00:00:00.000Z,1957,,0
2020-07-30T00:00:00.000Z,1786,,0
2020-07-31T00:00:00.000Z,1359,,0
2020-08-01T00:00:00.000Z,623,,0
2020-08-02T00:00:00.000Z,708,,0
2020-08-03T00:00:00.000Z,1799,,0
2020-08-04T00:00:00.000Z,1726,,0
2020-08-05T00:00:00.000Z,1686,,0
2020-08-06T00:00:00.000Z,1675,,0
2020-08-07T00:00:00.000Z,1762,,0
2020-08-08T00:00:00.000Z,755,,0
2020-08-09T00:00:00.000Z,923,,0
2020-08-10T00:00:00.000Z,1697,,0
2020-08-11T00:00:00.000Z,1823,,0
2020-08-12T00:00:00.000Z,1617,,0
2020-08-13T00:00:00.000Z,1641,,0
2020-08-14T00:00:00.000Z,1389,,0
2020-08-15T00:00:00.000Z,754,,0
2020-08-16T00:00:00.000Z,1069,,0
2020-08-17T00:00:00.000Z,1651,,0
2020-08-18T00:00:00.000Z,1648,,0
2020-08-19T00:00:00.000Z,1639,,0
2020-08-20T00:00:00.000Z,1485,,0
2020-08-21T00:00:00.000Z,1492,,0
2020-08-22T00:00:00.000Z,710,,0
2020-08-23T00:00:00.000Z,964,,0
2020-08-24T00:00:00.000Z,1901,,0
2020-08-25T00:00:00.000Z,1958,,0
2020-08-26T00:00:00.000Z,1984,,0
2020-08-27T00:00:00.000Z,2106,,0
2020-08-28T00:00:00.000Z,1833,,0
2020-08-29T00:00:00.000Z,909,,0
2020-08-30T00:00:00.000Z,1100,,0
2020-08-31T00:00:00.000Z,2171,,0
2020-09-01T00:00:00.000Z,2253,,0
2020-09-02T00:00:00.000Z,3194,,0
2020-09-03T00:00:00.000Z,2664,,0
2020-09-04T00:00:00.000Z,2623,,0
2020-09-05T00:00:00.000Z,1503,,0
2020-09-06T00:00:00.000Z,2175,,0
2020-09-07T00:00:00.000Z,3386,,0
2020-09-08T00:00:00.000Z,3487,,0
2020-09-09T00:00:00.000Z,3991,,0
2020-09-10T00:00:00.000Z,4158,,0
2020-09-11T00:00:00.000Z,3971,,0
2020-09-12T00:00:00.000Z,2715,,0
2020-09-13T00:00:00.000Z,3172,,0
2020-09-14T00:00:00.000Z,4804,,0
2020-09-15T00:00:00.000Z,5528,,0
2020-09-16T00:00:00.000Z,4569,,0
2020-09-17T00:00:00.000Z,5376,,0
2020-09-18T00:00:00.000Z,5333,סגר שני,0
2020-09-19T00:00:00.000Z,3809,,0
2020-09-20T00:00:00.000Z,2576,,0
2020-09-21T00:00:00.000Z,3869,,0
2020-09-22T00:00:00.000Z,7019,,0
2020-09-23T00:00:00.000Z,7141,,0
2020-09-24T00:00:00.000Z,8260,,0
2020-09-25T00:00:00.000Z,8386,,0
2020-09-26T00:00:00.000Z,5881,,0
2020-09-27T00:00:00.000Z,3435,,0
2020-09-28T00:00:00.000Z,1154,,0
2020-09-29T00:00:00.000Z,4989,,0
2020-09-30T00:00:00.000Z,9049,,0
2020-10-01T00:00:00.000Z,7720,,0
2020-10-02T00:00:00.000Z,7054,,0
2020-10-03T00:00:00.000Z,2595,,0
2020-10-04T00:00:00.000Z,2936,,0
2020-10-05T00:00:00.000Z,5710,,0
2020-10-06T00:00:00.000Z,4718,,0
2020-10-07T00:00:00.000Z,4155,,0
2020-10-08T00:00:00.000Z,3752,,0
2020-10-09T00:00:00.000Z,2952,,0
2020-10-10T00:00:00.000Z,916,,0
2020-10-11T00:00:00.000Z,1637,,0
2020-10-12T00:00:00.000Z,3154,,0
2020-10-13T00:00:00.000Z,2335,,0
2020-10-14T00:00:00.000Z,2118,,0
