date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,CountBreathCum,CountDeathCum,CountCriticalStatus,CountSeriousCriticalCum,serious_critical_new
2020-03-02T00:00:00.000Z,3,10,10,0,0,10,0,0,3047,0.003281916639317361,5429,-269,0,0,0,0,0,0
2020-03-03T00:00:00.000Z,0,10,10,0,0,10,0,0,3047,0.003281916639317361,7589,-266,0,0,0,0,0,0
2020-03-04T00:00:00.000Z,3,12,11,0,0,12,0,0,3047,0.003938299967180834,6755,-267,0,0,0,0,0,0
2020-03-05T00:00:00.000Z,2,13,13,1,0,12,0,0,3047,0.00426649163111257,6836,-267,0,0,0,0,1,1
2020-03-06T00:00:00.000Z,3,16,16,2,0,14,1,0,3047,0.005251066622907778,4978,-266,0,1,0,0,2,1
2020-03-07T00:00:00.000Z,3,20,20,3,0,17,2,0,3047,0.006563833278634723,4682,-266,0,2,0,0,3,1
2020-03-08T00:00:00.000Z,8,27,27,5,0,22,4,0,3047,0.008861174926156876,7075,-264,0,4,0,0,5,2
2020-03-09T00:00:00.000Z,16,41,41,5,0,36,4,0,3047,0.01345585822120118,6009,-274,0,4,0,0,5,0
2020-03-10T00:00:00.000Z,19,61,61,6,0,55,5,0,3047,0.0200196914998359,5803,-261,0,5,0,0,6,1
2020-03-11T00:00:00.000Z,25,84,83,7,1,76,6,0,3047,0.02756809977026584,5719,-264,0,6,0,0,7,1
2020-03-12T00:00:00.000Z,23,107,105,7,1,99,6,0,3047,0.03511650804069576,5769,-264,0,6,0,0,7,0
2020-03-13T00:00:00.000Z,23,127,126,7,5,115,6,0,3047,0.04168034131933049,3985,-251,0,6,0,0,7,0
2020-03-14T00:00:00.000Z,41,167,165,6,5,156,4,0,3047,0.05480800787659994,3550,-261,0,6,0,0,8,1
2020-03-15T00:00:00.000Z,41,206,204,9,7,190,6,0,3047,0.06760748276993764,5336,-261,0,8,0,0,11,3
2020-03-16T00:00:00.000Z,25,226,220,11,6,209,7,0,3047,0.07417131604857237,4620,-204,0,9,0,0,13,2
2020-03-17T00:00:00.000Z,46,260,260,12,7,241,7,0,3047,0.0853298326222514,4223,-152,0,9,0,0,14,1
2020-03-18T00:00:00.000Z,55,313,275,16,12,285,7,0,3047,0.1027239908106334,3764,-51,0,9,0,0,18,4
2020-03-19T00:00:00.000Z,31,302,270,21,12,269,12,0,3047,0.09911388250738432,3927,86,0,14,0,0,23,5
2020-03-20T00:00:00.000Z,30,294,256,23,15,256,12,1,3047,0.09648834919593043,3096,266,0,14,1,0,26,3
2020-03-21T00:00:00.000Z,34,285,282,27,22,236,15,0,3047,0.0935346242205448,2791,449,0,17,1,0,30,4
