date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,CountBreathCum,CountDeathCum,CountCriticalStatus,CountSeriousCriticalCum
2020-03-02T00:00:00.000Z,3,10,10,0,0,10,0,0,1979,0.005053057099545225,5429,-229,0,0,1,0,0
2020-03-03T00:00:00.000Z,0,10,10,0,0,10,0,0,1979,0.005053057099545225,7589,-226,0,0,1,0,0
2020-03-04T00:00:00.000Z,3,12,11,0,0,12,0,0,1979,0.00606366851945427,6755,-227,0,0,1,0,0
2020-03-05T00:00:00.000Z,2,13,13,1,0,12,0,0,1979,0.006568974229408792,6836,-227,0,0,1,0,1
2020-03-06T00:00:00.000Z,3,16,16,2,0,14,1,0,1979,0.00808489135927236,4978,-226,0,1,1,0,2
2020-03-07T00:00:00.000Z,3,20,20,3,0,17,2,0,1979,0.01010611419909045,4682,-226,0,2,1,0,3
2020-03-08T00:00:00.000Z,8,27,27,5,0,22,4,0,1979,0.01364325416877211,7075,-224,0,4,1,0,5
2020-03-09T00:00:00.000Z,16,41,41,5,0,36,4,0,1979,0.02071753410813542,6009,-234,0,4,1,0,5
2020-03-10T00:00:00.000Z,19,61,61,6,0,55,5,0,1979,0.03082364830722587,5803,-221,0,5,1,0,6
2020-03-11T00:00:00.000Z,25,84,83,7,1,76,6,0,1979,0.04244567963617989,5719,-224,0,6,1,0,7
2020-03-12T00:00:00.000Z,23,107,105,7,1,99,6,0,1979,0.05406771096513391,5769,-224,0,6,1,0,7
2020-03-13T00:00:00.000Z,23,127,126,7,5,115,6,0,1979,0.06417382516422436,3985,-211,0,6,1,0,7
2020-03-14T00:00:00.000Z,41,167,165,6,5,156,4,0,1979,0.08438605356240525,3550,-221,0,6,1,0,8
2020-03-15T00:00:00.000Z,41,206,204,9,7,190,6,0,1979,0.1040929762506316,5336,-221,0,8,1,0,11
2020-03-16T00:00:00.000Z,25,226,220,11,6,209,7,0,1979,0.1141990904497221,4620,-164,0,9,1,0,13
