date,numResultsForVirusDiagnosis,numResultsForVirusDiagnosisPcr,numAntigenOfficialTest,countTestsAvg7days
2020-02-20T00:00:00.000Z,29,0,0,
2020-02-21T00:00:00.000Z,28,0,0,0
2020-02-22T00:00:00.000Z,13,0,0,0
2020-02-23T00:00:00.000Z,56,0,0,0
2020-02-24T00:00:00.000Z,74,0,0,0
2020-02-25T00:00:00.000Z,108,0,0,0
2020-02-26T00:00:00.000Z,108,0,0,0
2020-02-27T00:00:00.000Z,171,0,0,0
2020-02-28T00:00:00.000Z,118,0,0,0
2020-02-29T00:00:00.000Z,158,0,0,0
2020-03-01T00:00:00.000Z,178,0,0,0
2020-03-02T00:00:00.000Z,170,0,0,0
2020-03-03T00:00:00.000Z,227,0,0,0
2020-03-04T00:00:00.000Z,128,0,0,0
2020-03-05T00:00:00.000Z,165,0,0,0
2020-03-06T00:00:00.000Z,274,0,0,0
2020-03-07T00:00:00.000Z,324,0,0,0
2020-03-08T00:00:00.000Z,417,0,0,0
2020-03-09T00:00:00.000Z,515,0,0,0
2020-03-10T00:00:00.000Z,495,0,0,0
2020-03-11T00:00:00.000Z,376,0,0,0
2020-03-12T00:00:00.000Z,594,0,0,0
2020-03-13T00:00:00.000Z,689,0,0,0
2020-03-14T00:00:00.000Z,611,0,0,0
2020-03-15T00:00:00.000Z,1125,1,0,0
2020-03-16T00:00:00.000Z,1320,0,0,0
2020-03-17T00:00:00.000Z,1565,0,0,0
2020-03-18T00:00:00.000Z,1990,84,0,0
2020-03-19T00:00:00.000Z,1983,2,0,12
2020-03-20T00:00:00.000Z,2231,0,0,12
2020-03-21T00:00:00.000Z,2066,1,0,12
2020-03-22T00:00:00.000Z,3096,0,0,12
2020-03-23T00:00:00.000Z,3397,3,0,12
2020-03-24T00:00:00.000Z,4518,2,0,12
2020-03-25T00:00:00.000Z,5776,1,0,13
2020-03-26T00:00:00.000Z,6236,0,0,1
2020-03-27T00:00:00.000Z,5572,2,0,1
2020-03-28T00:00:00.000Z,5535,4,0,1
2020-03-29T00:00:00.000Z,7228,1,0,1
2020-03-30T00:00:00.000Z,6824,5,0,1
2020-03-31T00:00:00.000Z,7531,3,0,2
2020-04-01T00:00:00.000Z,8578,1,0,2
2020-04-02T00:00:00.000Z,9474,8,0,2
2020-04-03T00:00:00.000Z,9785,6,0,3
2020-04-04T00:00:00.000Z,5988,2,0,4
2020-04-05T00:00:00.000Z,8779,3,0,3
2020-04-06T00:00:00.000Z,6769,0,0,4
2020-04-07T00:00:00.000Z,6176,0,0,3
2020-04-08T00:00:00.000Z,4951,3,0,2
2020-04-09T00:00:00.000Z,5001,2,0,3
2020-04-10T00:00:00.000Z,6325,2,0,2
2020-04-11T00:00:00.000Z,5763,1,0,1
2020-04-12T00:00:00.000Z,8523,0,0,1
2020-04-13T00:00:00.000Z,9181,1,0,1
2020-04-14T00:00:00.000Z,10957,1,0,1
2020-04-15T00:00:00.000Z,7793,2,0,1
2020-04-16T00:00:00.000Z,11209,0,0,1
2020-04-17T00:00:00.000Z,9965,0,0,1
2020-04-18T00:00:00.000Z,8955,0,0,0
2020-04-19T00:00:00.000Z,9994,0,0,0
2020-04-20T00:00:00.000Z,13287,0,0,0
2020-04-21T00:00:00.000Z,11631,1,0,0
2020-04-22T00:00:00.000Z,11768,1,0,0
2020-04-23T00:00:00.000Z,12256,0,0,0
2020-04-24T00:00:00.000Z,10478,3,0,0
2020-04-25T00:00:00.000Z,7357,0,0,0
2020-04-26T00:00:00.000Z,7341,0,0,0
2020-04-27T00:00:00.000Z,9418,216,0,0
2020-04-28T00:00:00.000Z,8815,2,0,31
2020-04-29T00:00:00.000Z,7392,1,0,31
2020-04-30T00:00:00.000Z,8592,0,0,31
2020-05-01T00:00:00.000Z,9220,2,0,31
2020-05-02T00:00:00.000Z,4760,0,0,31
2020-05-03T00:00:00.000Z,7398,0,0,31
2020-05-04T00:00:00.000Z,7955,3,0,31
2020-05-05T00:00:00.000Z,7689,3,0,1
2020-05-06T00:00:00.000Z,8545,3,0,1
2020-05-07T00:00:00.000Z,9130,3,0,1
2020-05-08T00:00:00.000Z,7187,1,0,2
2020-05-09T00:00:00.000Z,3509,1,0,1
2020-05-10T00:00:00.000Z,4410,0,0,2
2020-05-11T00:00:00.000Z,7826,10,0,2
2020-05-12T00:00:00.000Z,6681,1,0,3
2020-05-13T00:00:00.000Z,7525,1,0,2
2020-05-14T00:00:00.000Z,7677,1,0,2
2020-05-15T00:00:00.000Z,5073,3,0,2
2020-05-16T00:00:00.000Z,1343,1,0,2
2020-05-17T00:00:00.000Z,4219,1,0,2
2020-05-18T00:00:00.000Z,6797,3,0,2
2020-05-19T00:00:00.000Z,6502,0,0,1
2020-05-20T00:00:00.000Z,5620,1,0,1
2020-05-21T00:00:00.000Z,5603,4,0,1
2020-05-22T00:00:00.000Z,4615,2,0,1
