section,female,male,period
0-9,"{'amount': 72, 'percentage': 0.3}","{'amount': 112, 'percentage': 0.4}",מתחילת קורונה
0-9,"{'amount': 55, 'percentage': 0.5}","{'amount': 80, 'percentage': 0.7}",שנה
0-9,"{'amount': 37, 'percentage': 0.5}","{'amount': 54, 'percentage': 0.8}",6 חודשים
0-9,"{'amount': 26, 'percentage': 0.6}","{'amount': 37, 'percentage': 0.8}",3 חודשים
0-9,"{'amount': 4, 'percentage': 0.6}","{'amount': 5, 'percentage': 0.7}",חודש אחרון
10-19,"{'amount': 16, 'percentage': 0.2}","{'amount': 26, 'percentage': 0.4}",6 חודשים
10-19,"{'amount': 34, 'percentage': 0.3}","{'amount': 42, 'percentage': 0.3}",שנה
10-19,"{'amount': 9, 'percentage': 0.2}","{'amount': 10, 'percentage': 0.2}",3 חודשים
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",חודש אחרון
10-19,"{'amount': 77, 'percentage': 0.3}","{'amount': 77, 'percentage': 0.3}",מתחילת קורונה
20-29,"{'amount': 13, 'percentage': 0.3}","{'amount': 24, 'percentage': 0.5}",3 חודשים
20-29,"{'amount': 98, 'percentage': 0.8}","{'amount': 90, 'percentage': 0.7}",שנה
20-29,"{'amount': 1, 'percentage': 0.1}","{'amount': 3, 'percentage': 0.4}",חודש אחרון
20-29,"{'amount': 28, 'percentage': 0.4}","{'amount': 41, 'percentage': 0.6}",6 חודשים
20-29,"{'amount': 271, 'percentage': 0.9}","{'amount': 241, 'percentage': 0.8}",מתחילת קורונה
30-39,"{'amount': 594, 'percentage': 2.1}","{'amount': 624, 'percentage': 2.2}",מתחילת קורונה
30-39,"{'amount': 230, 'percentage': 1.9}","{'amount': 213, 'percentage': 1.8}",שנה
30-39,"{'amount': 73, 'percentage': 1.1}","{'amount': 64, 'percentage': 0.9}",6 חודשים
30-39,"{'amount': 39, 'percentage': 0.9}","{'amount': 41, 'percentage': 0.9}",3 חודשים
30-39,"{'amount': 9, 'percentage': 1.3}","{'amount': 7, 'percentage': 1}",חודש אחרון
40-49,"{'amount': 6, 'percentage': 0.9}","{'amount': 12, 'percentage': 1.8}",חודש אחרון
40-49,"{'amount': 331, 'percentage': 2.7}","{'amount': 467, 'percentage': 3.9}",שנה
40-49,"{'amount': 93, 'percentage': 1.4}","{'amount': 149, 'percentage': 2.2}",6 חודשים
40-49,"{'amount': 52, 'percentage': 1.2}","{'amount': 89, 'percentage': 2}",3 חודשים
40-49,"{'amount': 965, 'percentage': 3.4}","{'amount': 1398, 'percentage': 4.9}",מתחילת קורונה
50-59,"{'amount': 208, 'percentage': 3.1}","{'amount': 308, 'percentage': 4.5}",6 חודשים
50-59,"{'amount': 529, 'percentage': 4.4}","{'amount': 709, 'percentage': 5.9}",שנה
50-59,"{'amount': 123, 'percentage': 2.8}","{'amount': 197, 'percentage': 4.4}",3 חודשים
50-59,"{'amount': 13, 'percentage': 1.9}","{'amount': 25, 'percentage': 3.7}",חודש אחרון
50-59,"{'amount': 1563, 'percentage': 5.4}","{'amount': 2222, 'percentage': 7.7}",מתחילת קורונה
60-69,"{'amount': 38, 'percentage': 5.6}","{'amount': 49, 'percentage': 7.3}",חודש אחרון
60-69,"{'amount': 877, 'percentage': 7.3}","{'amount': 1163, 'percentage': 9.7}",שנה
60-69,"{'amount': 435, 'percentage': 6.4}","{'amount': 597, 'percentage': 8.8}",6 חודשים
60-69,"{'amount': 287, 'percentage': 6.4}","{'amount': 384, 'percentage': 8.6}",3 חודשים
60-69,"{'amount': 2202, 'percentage': 7.7}","{'amount': 3255, 'percentage': 11.3}",מתחילת קורונה
70-79,"{'amount': 715, 'percentage': 10.5}","{'amount': 936, 'percentage': 13.8}",6 חודשים
70-79,"{'amount': 1205, 'percentage': 10}","{'amount': 1525, 'percentage': 12.7}",שנה
70-79,"{'amount': 464, 'percentage': 10.4}","{'amount': 636, 'percentage': 14.3}",3 חודשים
70-79,"{'amount': 61, 'percentage': 9.1}","{'amount': 99, 'percentage': 14.7}",חודש אחרון
70-79,"{'amount': 2762, 'percentage': 9.6}","{'amount': 3638, 'percentage': 12.7}",מתחילת קורונה
80-89,"{'amount': 1560, 'percentage': 13}","{'amount': 1503, 'percentage': 12.5}",שנה
80-89,"{'amount': 1044, 'percentage': 15.4}","{'amount': 998, 'percentage': 14.7}",6 חודשים
80-89,"{'amount': 666, 'percentage': 14.9}","{'amount': 696, 'percentage': 15.6}",3 חודשים
80-89,"{'amount': 109, 'percentage': 16.2}","{'amount': 96, 'percentage': 14.2}",חודש אחרון
80-89,"{'amount': 3137, 'percentage': 10.9}","{'amount': 3009, 'percentage': 10.5}",מתחילת קורונה
90+,"{'amount': 1505, 'percentage': 5.2}","{'amount': 1018, 'percentage': 3.5}",מתחילת קורונה
90+,"{'amount': 789, 'percentage': 6.6}","{'amount': 543, 'percentage': 4.5}",שנה
90+,"{'amount': 68, 'percentage': 10.1}","{'amount': 67, 'percentage': 9.9}",חודש אחרון
90+,"{'amount': 543, 'percentage': 8}","{'amount': 422, 'percentage': 6.2}",6 חודשים
90+,"{'amount': 360, 'percentage': 8.1}","{'amount': 309, 'percentage': 6.9}",3 חודשים
