section,male,female,period
0-9,"{'amount': 1, 'percentage': 0.2}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 0, 'percentage': 0}",3 חודשים
0-9,"{'amount': 125, 'percentage': 0.4}","{'amount': 78, 'percentage': 0.2}",מתחילת קורונה
0-9,"{'amount': 66, 'percentage': 0.6}","{'amount': 43, 'percentage': 0.4}",שנה
0-9,"{'amount': 9, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 81, 'percentage': 0.2}","{'amount': 83, 'percentage': 0.3}",מתחילת קורונה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.2}",חודש אחרון
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.2}",3 חודשים
10-19,"{'amount': 28, 'percentage': 0.3}","{'amount': 22, 'percentage': 0.2}",שנה
10-19,"{'amount': 4, 'percentage': 0.1}","{'amount': 6, 'percentage': 0.2}",6 חודשים
20-29,"{'amount': 1, 'percentage': 0.2}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 3, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.2}",3 חודשים
20-29,"{'amount': 49, 'percentage': 0.5}","{'amount': 38, 'percentage': 0.4}",שנה
20-29,"{'amount': 252, 'percentage': 0.8}","{'amount': 284, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 9, 'percentage': 0.2}","{'amount': 14, 'percentage': 0.4}",6 חודשים
30-39,"{'amount': 3, 'percentage': 0.7}","{'amount': 4, 'percentage': 0.9}",חודש אחרון
30-39,"{'amount': 4, 'percentage': 0.5}","{'amount': 9, 'percentage': 1.1}",3 חודשים
30-39,"{'amount': 645, 'percentage': 2}","{'amount': 608, 'percentage': 1.9}",מתחילת קורונה
30-39,"{'amount': 80, 'percentage': 0.8}","{'amount': 83, 'percentage': 0.8}",שנה
30-39,"{'amount': 19, 'percentage': 0.5}","{'amount': 16, 'percentage': 0.4}",6 חודשים
40-49,"{'amount': 3, 'percentage': 0.7}","{'amount': 0, 'percentage': 0}",חודש אחרון
40-49,"{'amount': 6, 'percentage': 0.7}","{'amount': 3, 'percentage': 0.4}",3 חודשים
40-49,"{'amount': 1439, 'percentage': 4.4}","{'amount': 986, 'percentage': 3}",מתחילת קורונה
40-49,"{'amount': 179, 'percentage': 1.7}","{'amount': 108, 'percentage': 1}",שנה
40-49,"{'amount': 36, 'percentage': 1}","{'amount': 25, 'percentage': 0.7}",6 חודשים
50-59,"{'amount': 2320, 'percentage': 7.1}","{'amount': 1637, 'percentage': 5}",מתחילת קורונה
50-59,"{'amount': 16, 'percentage': 3.5}","{'amount': 8, 'percentage': 1.8}",חודש אחרון
50-59,"{'amount': 21, 'percentage': 2.5}","{'amount': 15, 'percentage': 1.8}",3 חודשים
50-59,"{'amount': 395, 'percentage': 3.8}","{'amount': 274, 'percentage': 2.6}",שנה
50-59,"{'amount': 96, 'percentage': 2.7}","{'amount': 69, 'percentage': 1.9}",6 חודשים
60-69,"{'amount': 31, 'percentage': 6.8}","{'amount': 20, 'percentage': 4.4}",חודש אחרון
60-69,"{'amount': 58, 'percentage': 6.8}","{'amount': 38, 'percentage': 4.5}",3 חודשים
60-69,"{'amount': 3546, 'percentage': 10.9}","{'amount': 2389, 'percentage': 7.3}",מתחילת קורונה
60-69,"{'amount': 872, 'percentage': 8.4}","{'amount': 600, 'percentage': 5.8}",שנה
60-69,"{'amount': 279, 'percentage': 7.7}","{'amount': 177, 'percentage': 4.9}",6 חודשים
70-79,"{'amount': 4188, 'percentage': 12.9}","{'amount': 3192, 'percentage': 9.8}",מתחילת קורונה
70-79,"{'amount': 67, 'percentage': 14.7}","{'amount': 46, 'percentage': 10.1}",חודש אחרון
70-79,"{'amount': 133, 'percentage': 15.6}","{'amount': 103, 'percentage': 12.1}",3 חודשים
70-79,"{'amount': 1481, 'percentage': 14.2}","{'amount': 1123, 'percentage': 10.8}",שנה
70-79,"{'amount': 525, 'percentage': 14.5}","{'amount': 413, 'percentage': 11.4}",6 חודשים
80-89,"{'amount': 96, 'percentage': 21}","{'amount': 82, 'percentage': 17.9}",חודש אחרון
80-89,"{'amount': 154, 'percentage': 18.1}","{'amount': 155, 'percentage': 18.2}",3 חודשים
80-89,"{'amount': 3675, 'percentage': 11.3}","{'amount': 3770, 'percentage': 11.6}",מתחילת קורונה
80-89,"{'amount': 1642, 'percentage': 15.8}","{'amount': 1678, 'percentage': 16.1}",שנה
80-89,"{'amount': 631, 'percentage': 17.4}","{'amount': 620, 'percentage': 17.1}",6 חודשים
90+,"{'amount': 32, 'percentage': 7}","{'amount': 46, 'percentage': 10.1}",חודש אחרון
90+,"{'amount': 59, 'percentage': 6.9}","{'amount': 85, 'percentage': 10}",3 חודשים
90+,"{'amount': 688, 'percentage': 6.6}","{'amount': 962, 'percentage': 9.2}",שנה
90+,"{'amount': 1290, 'percentage': 4}","{'amount': 1926, 'percentage': 5.9}",מתחילת קורונה
90+,"{'amount': 255, 'percentage': 7}","{'amount': 409, 'percentage': 11.3}",6 חודשים
