section,female,male,period
0-9,"{'amount': 79, 'percentage': 0.3}","{'amount': 116, 'percentage': 0.4}",מתחילת קורונה
0-9,"{'amount': 39, 'percentage': 0.5}","{'amount': 54, 'percentage': 0.7}",6 חודשים
0-9,"{'amount': 60, 'percentage': 0.4}","{'amount': 84, 'percentage': 0.6}",שנה
0-9,"{'amount': 9, 'percentage': 0.4}","{'amount': 8, 'percentage': 0.4}",3 חודשים
0-9,"{'amount': 7, 'percentage': 0.4}","{'amount': 3, 'percentage': 0.2}",חודש אחרון
10-19,"{'amount': 15, 'percentage': 0.2}","{'amount': 23, 'percentage': 0.3}",6 חודשים
10-19,"{'amount': 80, 'percentage': 0.3}","{'amount': 81, 'percentage': 0.3}",מתחילת קורונה
10-19,"{'amount': 5, 'percentage': 0.2}","{'amount': 4, 'percentage': 0.2}",3 חודשים
10-19,"{'amount': 3, 'percentage': 0.2}","{'amount': 3, 'percentage': 0.2}",חודש אחרון
10-19,"{'amount': 35, 'percentage': 0.3}","{'amount': 45, 'percentage': 0.3}",שנה
20-29,"{'amount': 104, 'percentage': 0.8}","{'amount': 92, 'percentage': 0.7}",שנה
20-29,"{'amount': 27, 'percentage': 0.3}","{'amount': 34, 'percentage': 0.4}",6 חודשים
20-29,"{'amount': 279, 'percentage': 0.9}","{'amount': 244, 'percentage': 0.8}",מתחילת קורונה
20-29,"{'amount': 9, 'percentage': 0.4}","{'amount': 6, 'percentage': 0.3}",3 חודשים
20-29,"{'amount': 9, 'percentage': 0.6}","{'amount': 0, 'percentage': 0}",חודש אחרון
30-39,"{'amount': 598, 'percentage': 2}","{'amount': 637, 'percentage': 2.1}",מתחילת קורונה
30-39,"{'amount': 62, 'percentage': 0.8}","{'amount': 66, 'percentage': 0.8}",6 חודשים
30-39,"{'amount': 220, 'percentage': 1.6}","{'amount': 228, 'percentage': 1.7}",שנה
30-39,"{'amount': 12, 'percentage': 0.5}","{'amount': 14, 'percentage': 0.6}",3 חודשים
30-39,"{'amount': 5, 'percentage': 0.3}","{'amount': 10, 'percentage': 0.6}",חודש אחרון
40-49,"{'amount': 978, 'percentage': 3.2}","{'amount': 1420, 'percentage': 4.6}",מתחילת קורונה
40-49,"{'amount': 88, 'percentage': 1.1}","{'amount': 140, 'percentage': 1.8}",6 חודשים
40-49,"{'amount': 344, 'percentage': 2.5}","{'amount': 480, 'percentage': 3.5}",שנה
40-49,"{'amount': 20, 'percentage': 0.9}","{'amount': 29, 'percentage': 1.3}",3 חודשים
40-49,"{'amount': 14, 'percentage': 0.9}","{'amount': 20, 'percentage': 1.2}",חודש אחרון
50-59,"{'amount': 1602, 'percentage': 5.2}","{'amount': 2267, 'percentage': 7.4}",מתחילת קורונה
50-59,"{'amount': 214, 'percentage': 2.7}","{'amount': 313, 'percentage': 4}",6 חודשים
50-59,"{'amount': 558, 'percentage': 4.1}","{'amount': 746, 'percentage': 5.4}",שנה
50-59,"{'amount': 48, 'percentage': 2.1}","{'amount': 59, 'percentage': 2.6}",3 חודשים
50-59,"{'amount': 32, 'percentage': 2}","{'amount': 39, 'percentage': 2.4}",חודש אחרון
60-69,"{'amount': 2297, 'percentage': 7.5}","{'amount': 3403, 'percentage': 11.1}",מתחילת קורונה
60-69,"{'amount': 466, 'percentage': 5.9}","{'amount': 678, 'percentage': 8.6}",6 חודשים
60-69,"{'amount': 951, 'percentage': 6.9}","{'amount': 1303, 'percentage': 9.5}",שנה
60-69,"{'amount': 116, 'percentage': 5.1}","{'amount': 181, 'percentage': 8}",3 חודשים
60-69,"{'amount': 77, 'percentage': 4.8}","{'amount': 130, 'percentage': 8.1}",חודש אחרון
70-79,"{'amount': 2973, 'percentage': 9.7}","{'amount': 3909, 'percentage': 12.8}",מתחילת קורונה
70-79,"{'amount': 185, 'percentage': 11.5}","{'amount': 230, 'percentage': 14.3}",חודש אחרון
70-79,"{'amount': 848, 'percentage': 10.7}","{'amount': 1117, 'percentage': 14.1}",6 חודשים
70-79,"{'amount': 251, 'percentage': 11.1}","{'amount': 322, 'percentage': 14.3}",3 חודשים
70-79,"{'amount': 1401, 'percentage': 10.2}","{'amount': 1785, 'percentage': 13}",שנה
80-89,"{'amount': 3434, 'percentage': 11.2}","{'amount': 3324, 'percentage': 10.9}",מתחילת קורונה
80-89,"{'amount': 1255, 'percentage': 15.9}","{'amount': 1224, 'percentage': 15.5}",6 חודשים
80-89,"{'amount': 1848, 'percentage': 13.4}","{'amount': 1800, 'percentage': 13.1}",שנה
80-89,"{'amount': 365, 'percentage': 16.2}","{'amount': 355, 'percentage': 15.7}",3 חודשים
80-89,"{'amount': 264, 'percentage': 16.4}","{'amount': 266, 'percentage': 16.6}",חודש אחרון
90+,"{'amount': 721, 'percentage': 9.1}","{'amount': 529, 'percentage': 6.7}",6 חודשים
90+,"{'amount': 1727, 'percentage': 5.6}","{'amount': 1154, 'percentage': 3.8}",מתחילת קורונה
90+,"{'amount': 1007, 'percentage': 7.3}","{'amount': 674, 'percentage': 4.9}",שנה
90+,"{'amount': 269, 'percentage': 11.9}","{'amount': 176, 'percentage': 7.8}",3 חודשים
90+,"{'amount': 193, 'percentage': 12}","{'amount': 117, 'percentage': 7.3}",חודש אחרון
