section,female,male,period
0-9,"{'amount': 70, 'percentage': 0.2}","{'amount': 111, 'percentage': 0.4}",מתחילת קורונה
0-9,"{'amount': 54, 'percentage': 0.5}","{'amount': 81, 'percentage': 0.7}",שנה
0-9,"{'amount': 32, 'percentage': 0.5}","{'amount': 51, 'percentage': 0.8}",3 חודשים
0-9,"{'amount': 3, 'percentage': 0.4}","{'amount': 15, 'percentage': 1.8}",חודש אחרון
0-9,"{'amount': 40, 'percentage': 0.6}","{'amount': 58, 'percentage': 0.8}",6 חודשים
10-19,"{'amount': 35, 'percentage': 0.3}","{'amount': 42, 'percentage': 0.4}",שנה
10-19,"{'amount': 18, 'percentage': 0.3}","{'amount': 28, 'percentage': 0.4}",6 חודשים
10-19,"{'amount': 13, 'percentage': 0.2}","{'amount': 22, 'percentage': 0.4}",3 חודשים
10-19,"{'amount': 4, 'percentage': 0.5}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 77, 'percentage': 0.3}","{'amount': 77, 'percentage': 0.3}",מתחילת קורונה
20-29,"{'amount': 99, 'percentage': 0.8}","{'amount': 90, 'percentage': 0.8}",שנה
20-29,"{'amount': 40, 'percentage': 0.6}","{'amount': 43, 'percentage': 0.6}",6 חודשים
20-29,"{'amount': 18, 'percentage': 0.3}","{'amount': 33, 'percentage': 0.5}",3 חודשים
20-29,"{'amount': 2, 'percentage': 0.2}","{'amount': 1, 'percentage': 0.1}",חודש אחרון
20-29,"{'amount': 271, 'percentage': 1}","{'amount': 238, 'percentage': 0.8}",מתחילת קורונה
30-39,"{'amount': 231, 'percentage': 1.9}","{'amount': 216, 'percentage': 1.8}",שנה
30-39,"{'amount': 53, 'percentage': 0.9}","{'amount': 54, 'percentage': 0.9}",3 חודשים
30-39,"{'amount': 9, 'percentage': 1.1}","{'amount': 11, 'percentage': 1.3}",חודש אחרון
30-39,"{'amount': 585, 'percentage': 2.1}","{'amount': 625, 'percentage': 2.2}",מתחילת קורונה
30-39,"{'amount': 82, 'percentage': 1.2}","{'amount': 78, 'percentage': 1.1}",6 חודשים
40-49,"{'amount': 335, 'percentage': 2.8}","{'amount': 473, 'percentage': 4}",שנה
40-49,"{'amount': 72, 'percentage': 1.2}","{'amount': 119, 'percentage': 2}",3 חודשים
40-49,"{'amount': 5, 'percentage': 0.6}","{'amount': 10, 'percentage': 1.2}",חודש אחרון
40-49,"{'amount': 954, 'percentage': 3.4}","{'amount': 1400, 'percentage': 4.9}",מתחילת קורונה
40-49,"{'amount': 112, 'percentage': 1.6}","{'amount': 164, 'percentage': 2.4}",6 חודשים
50-59,"{'amount': 1553, 'percentage': 5.5}","{'amount': 2211, 'percentage': 7.8}",מתחילת קורונה
50-59,"{'amount': 533, 'percentage': 4.5}","{'amount': 712, 'percentage': 6}",שנה
50-59,"{'amount': 171, 'percentage': 2.8}","{'amount': 270, 'percentage': 4.5}",3 חודשים
50-59,"{'amount': 17, 'percentage': 2.1}","{'amount': 27, 'percentage': 3.3}",חודש אחרון
50-59,"{'amount': 236, 'percentage': 3.4}","{'amount': 339, 'percentage': 4.9}",6 חודשים
60-69,"{'amount': 881, 'percentage': 7.4}","{'amount': 1164, 'percentage': 9.8}",שנה
60-69,"{'amount': 382, 'percentage': 6.3}","{'amount': 531, 'percentage': 8.8}",3 חודשים
60-69,"{'amount': 44, 'percentage': 5.4}","{'amount': 69, 'percentage': 8.4}",חודש אחרון
60-69,"{'amount': 2178, 'percentage': 7.7}","{'amount': 3241, 'percentage': 11.4}",מתחילת קורונה
60-69,"{'amount': 464, 'percentage': 6.7}","{'amount': 630, 'percentage': 9.1}",6 חודשים
70-79,"{'amount': 2726, 'percentage': 9.6}","{'amount': 3602, 'percentage': 12.7}",מתחילת קורונה
70-79,"{'amount': 1195, 'percentage': 10}","{'amount': 1508, 'percentage': 12.7}",שנה
70-79,"{'amount': 634, 'percentage': 10.5}","{'amount': 850, 'percentage': 14.1}",3 חודשים
70-79,"{'amount': 80, 'percentage': 9.8}","{'amount': 127, 'percentage': 15.5}",חודש אחרון
70-79,"{'amount': 721, 'percentage': 10.4}","{'amount': 937, 'percentage': 13.6}",6 חודשים
80-89,"{'amount': 3088, 'percentage': 10.9}","{'amount': 2972, 'percentage': 10.5}",מתחילת קורונה
80-89,"{'amount': 1526, 'percentage': 12.8}","{'amount': 1477, 'percentage': 12.4}",שנה
80-89,"{'amount': 952, 'percentage': 15.8}","{'amount': 917, 'percentage': 15.2}",3 חודשים
80-89,"{'amount': 133, 'percentage': 16.2}","{'amount': 140, 'percentage': 17.1}",חודש אחרון
80-89,"{'amount': 1025, 'percentage': 14.8}","{'amount': 986, 'percentage': 14.3}",6 חודשים
90+,"{'amount': 758, 'percentage': 6.4}","{'amount': 508, 'percentage': 4.3}",שנה
90+,"{'amount': 518, 'percentage': 7.5}","{'amount': 392, 'percentage': 5.7}",6 חודשים
90+,"{'amount': 480, 'percentage': 8}","{'amount': 379, 'percentage': 6.3}",3 חודשים
90+,"{'amount': 66, 'percentage': 8}","{'amount': 57, 'percentage': 7}",חודש אחרון
90+,"{'amount': 1467, 'percentage': 5.2}","{'amount': 981, 'percentage': 3.5}",מתחילת קורונה
