section,female,male,period
0-9,"{'amount': 56, 'percentage': 0.4}","{'amount': 91, 'percentage': 0.6}",שנה
0-9,"{'amount': 8, 'percentage': 0.3}","{'amount': 10, 'percentage': 0.4}",3 חודשים
0-9,"{'amount': 25, 'percentage': 0.4}","{'amount': 35, 'percentage': 0.6}",6 חודשים
0-9,"{'amount': 3, 'percentage': 0.2}","{'amount': 6, 'percentage': 0.4}",חודש אחרון
0-9,"{'amount': 77, 'percentage': 0.2}","{'amount': 124, 'percentage': 0.4}",מתחילת קורונה
10-19,"{'amount': 5, 'percentage': 0.2}","{'amount': 4, 'percentage': 0.1}",3 חודשים
10-19,"{'amount': 14, 'percentage': 0.2}","{'amount': 10, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 35, 'percentage': 0.2}","{'amount': 45, 'percentage': 0.3}",שנה
10-19,"{'amount': 3, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.1}",חודש אחרון
10-19,"{'amount': 81, 'percentage': 0.3}","{'amount': 81, 'percentage': 0.3}",מתחילת קורונה
20-29,"{'amount': 6, 'percentage': 0.4}","{'amount': 4, 'percentage': 0.3}",חודש אחרון
20-29,"{'amount': 284, 'percentage': 0.9}","{'amount': 247, 'percentage': 0.8}",מתחילת קורונה
20-29,"{'amount': 14, 'percentage': 0.5}","{'amount': 6, 'percentage': 0.2}",3 חודשים
20-29,"{'amount': 108, 'percentage': 0.8}","{'amount': 94, 'percentage': 0.7}",שנה
20-29,"{'amount': 21, 'percentage': 0.4}","{'amount': 21, 'percentage': 0.4}",6 חודשים
30-39,"{'amount': 215, 'percentage': 1.5}","{'amount': 221, 'percentage': 1.6}",שנה
30-39,"{'amount': 10, 'percentage': 0.4}","{'amount': 13, 'percentage': 0.5}",3 חודשים
30-39,"{'amount': 33, 'percentage': 0.6}","{'amount': 42, 'percentage': 0.7}",6 חודשים
30-39,"{'amount': 5, 'percentage': 0.3}","{'amount': 7, 'percentage': 0.5}",חודש אחרון
30-39,"{'amount': 599, 'percentage': 1.9}","{'amount': 641, 'percentage': 2}",מתחילת קורונה
40-49,"{'amount': 23, 'percentage': 0.8}","{'amount': 31, 'percentage': 1.1}",3 חודשים
40-49,"{'amount': 339, 'percentage': 2.4}","{'amount': 462, 'percentage': 3.3}",שנה
40-49,"{'amount': 58, 'percentage': 1}","{'amount': 92, 'percentage': 1.6}",6 חודשים
40-49,"{'amount': 14, 'percentage': 0.9}","{'amount': 16, 'percentage': 1.1}",חודש אחרון
40-49,"{'amount': 984, 'percentage': 3.1}","{'amount': 1427, 'percentage': 4.5}",מתחילת קורונה
50-59,"{'amount': 55, 'percentage': 2}","{'amount': 71, 'percentage': 2.6}",3 חודשים
50-59,"{'amount': 129, 'percentage': 2.2}","{'amount': 200, 'percentage': 3.5}",6 חודשים
50-59,"{'amount': 547, 'percentage': 3.9}","{'amount': 747, 'percentage': 5.3}",שנה
50-59,"{'amount': 24, 'percentage': 1.6}","{'amount': 46, 'percentage': 3}",חודש אחרון
50-59,"{'amount': 1618, 'percentage': 5.1}","{'amount': 2289, 'percentage': 7.3}",מתחילת קורונה
60-69,"{'amount': 135, 'percentage': 4.9}","{'amount': 223, 'percentage': 8.1}",3 חודשים
60-69,"{'amount': 961, 'percentage': 6.8}","{'amount': 1313, 'percentage': 9.3}",שנה
60-69,"{'amount': 321, 'percentage': 5.6}","{'amount': 480, 'percentage': 8.3}",6 חודשים
60-69,"{'amount': 72, 'percentage': 4.8}","{'amount': 123, 'percentage': 8.1}",חודש אחרון
60-69,"{'amount': 2341, 'percentage': 7.4}","{'amount': 3468, 'percentage': 11}",מתחילת קורונה
70-79,"{'amount': 1429, 'percentage': 10.1}","{'amount': 1832, 'percentage': 13}",שנה
70-79,"{'amount': 313, 'percentage': 11.4}","{'amount': 394, 'percentage': 14.3}",3 חודשים
70-79,"{'amount': 637, 'percentage': 11.1}","{'amount': 820, 'percentage': 14.3}",6 חודשים
70-79,"{'amount': 169, 'percentage': 11.2}","{'amount': 212, 'percentage': 14}",חודש אחרון
70-79,"{'amount': 3064, 'percentage': 9.7}","{'amount': 4034, 'percentage': 12.8}",מתחילת קורונה
80-89,"{'amount': 1938, 'percentage': 13.7}","{'amount': 1898, 'percentage': 13.4}",שנה
80-89,"{'amount': 457, 'percentage': 16.6}","{'amount': 471, 'percentage': 17.1}",3 חודשים
80-89,"{'amount': 889, 'percentage': 15.5}","{'amount': 933, 'percentage': 16.2}",6 חודשים
80-89,"{'amount': 255, 'percentage': 16.9}","{'amount': 265, 'percentage': 17.5}",חודש אחרון
80-89,"{'amount': 3573, 'percentage': 11.4}","{'amount': 3481, 'percentage': 11.1}",מתחילת קורונה
90+,"{'amount': 1823, 'percentage': 5.8}","{'amount': 1213, 'percentage': 3.9}",מתחילת קורונה
90+,"{'amount': 316, 'percentage': 11.5}","{'amount': 196, 'percentage': 7.1}",3 חודשים
90+,"{'amount': 179, 'percentage': 11.8}","{'amount': 101, 'percentage': 6.7}",חודש אחרון
90+,"{'amount': 1068, 'percentage': 7.6}","{'amount': 717, 'percentage': 5.1}",שנה
90+,"{'amount': 564, 'percentage': 9.8}","{'amount': 426, 'percentage': 7.4}",6 חודשים
