date,amount
,264
2020-02-12T00:00:00.000Z,0
2020-02-13T00:00:00.000Z,0
2020-02-14T00:00:00.000Z,0
2020-02-15T00:00:00.000Z,0
2020-02-16T00:00:00.000Z,0
2020-02-17T00:00:00.000Z,0
2020-02-18T00:00:00.000Z,0
2020-02-19T00:00:00.000Z,0
2020-02-20T00:00:00.000Z,0
2020-02-21T00:00:00.000Z,0
2020-02-22T00:00:00.000Z,0
2020-02-23T00:00:00.000Z,0
2020-02-24T00:00:00.000Z,0
2020-02-25T00:00:00.000Z,0
2020-02-26T00:00:00.000Z,0
2020-02-27T00:00:00.000Z,0
2020-02-28T00:00:00.000Z,0
2020-02-29T00:00:00.000Z,0
2020-03-01T00:00:00.000Z,0
2020-03-02T00:00:00.000Z,0
2020-03-03T00:00:00.000Z,1
2020-03-04T00:00:00.000Z,1
2020-03-05T00:00:00.000Z,0
2020-03-06T00:00:00.000Z,0
2020-03-07T00:00:00.000Z,0
2020-03-08T00:00:00.000Z,1
2020-03-09T00:00:00.000Z,0
2020-03-10T00:00:00.000Z,0
2020-03-11T00:00:00.000Z,0
2020-03-12T00:00:00.000Z,0
2020-03-13T00:00:00.000Z,1
2020-03-14T00:00:00.000Z,0
2020-03-15T00:00:00.000Z,0
2020-03-16T00:00:00.000Z,0
2020-03-17T00:00:00.000Z,4
2020-03-18T00:00:00.000Z,5
2020-03-19T00:00:00.000Z,10
2020-03-20T00:00:00.000Z,5
2020-03-21T00:00:00.000Z,4
2020-03-22T00:00:00.000Z,8
2020-03-23T00:00:00.000Z,13
2020-03-24T00:00:00.000Z,9
2020-03-25T00:00:00.000Z,13
2020-03-26T00:00:00.000Z,15
2020-03-27T00:00:00.000Z,13
2020-03-28T00:00:00.000Z,24
2020-03-29T00:00:00.000Z,34
2020-03-30T00:00:00.000Z,39
2020-03-31T00:00:00.000Z,68
2020-04-01T00:00:00.000Z,60
2020-04-02T00:00:00.000Z,97
2020-04-03T00:00:00.000Z,93
2020-04-04T00:00:00.000Z,60
2020-04-05T00:00:00.000Z,113
2020-04-06T00:00:00.000Z,104
2020-04-07T00:00:00.000Z,143
2020-04-08T00:00:00.000Z,153
2020-04-09T00:00:00.000Z,122
2020-04-10T00:00:00.000Z,207
2020-04-11T00:00:00.000Z,173
2020-04-12T00:00:00.000Z,372
2020-04-13T00:00:00.000Z,337
2020-04-14T00:00:00.000Z,377
2020-04-15T00:00:00.000Z,313
2020-04-16T00:00:00.000Z,365
2020-04-17T00:00:00.000Z,382
2020-04-18T00:00:00.000Z,393
2020-04-19T00:00:00.000Z,321
2020-04-20T00:00:00.000Z,544
2020-04-21T00:00:00.000Z,468
2020-04-22T00:00:00.000Z,371
2020-04-23T00:00:00.000Z,397
2020-04-24T00:00:00.000Z,506
2020-04-25T00:00:00.000Z,413
2020-04-26T00:00:00.000Z,252
2020-04-27T00:00:00.000Z,563
2020-04-28T00:00:00.000Z,491
2020-04-29T00:00:00.000Z,429
2020-04-30T00:00:00.000Z,407
2020-05-01T00:00:00.000Z,642
2020-05-02T00:00:00.000Z,251
2020-05-03T00:00:00.000Z,162
2020-05-04T00:00:00.000Z,359
2020-05-05T00:00:00.000Z,346
2020-05-06T00:00:00.000Z,211
2020-05-07T00:00:00.000Z,271
2020-05-08T00:00:00.000Z,293
2020-05-09T00:00:00.000Z,105
2020-05-10T00:00:00.000Z,127
2020-05-11T00:00:00.000Z,425
2020-05-12T00:00:00.000Z,201
2020-05-13T00:00:00.000Z,178
2020-05-14T00:00:00.000Z,240
2020-05-15T00:00:00.000Z,226
2020-05-16T00:00:00.000Z,63
2020-05-17T00:00:00.000Z,137
2020-05-18T00:00:00.000Z,289
2020-05-19T00:00:00.000Z,172
2020-05-20T00:00:00.000Z,124
2020-05-21T00:00:00.000Z,209
2020-05-22T00:00:00.000Z,162
2020-05-23T00:00:00.000Z,37
2020-05-24T00:00:00.000Z,108
2020-05-25T00:00:00.000Z,175
2020-05-26T00:00:00.000Z,104
2020-05-27T00:00:00.000Z,96
2020-05-28T00:00:00.000Z,126
2020-05-29T00:00:00.000Z,41
2020-05-30T00:00:00.000Z,31
2020-05-31T00:00:00.000Z,58
2020-06-01T00:00:00.000Z,107
2020-06-02T00:00:00.000Z,46
2020-06-03T00:00:00.000Z,34
2020-06-04T00:00:00.000Z,57
2020-06-05T00:00:00.000Z,35
2020-06-06T00:00:00.000Z,37
2020-06-07T00:00:00.000Z,50
2020-06-08T00:00:00.000Z,38
2020-06-09T00:00:00.000Z,48
2020-06-10T00:00:00.000Z,67
2020-06-11T00:00:00.000Z,74
2020-06-12T00:00:00.000Z,71
2020-06-13T00:00:00.000Z,51
2020-06-14T00:00:00.000Z,39
2020-06-15T00:00:00.000Z,69
2020-06-16T00:00:00.000Z,39
2020-06-17T00:00:00.000Z,51
2020-06-18T00:00:00.000Z,74
2020-06-19T00:00:00.000Z,68
2020-06-20T00:00:00.000Z,58
2020-06-21T00:00:00.000Z,50
2020-06-22T00:00:00.000Z,89
2020-06-23T00:00:00.000Z,104
2020-06-24T00:00:00.000Z,60
2020-06-25T00:00:00.000Z,122
2020-06-26T00:00:00.000Z,122
2020-06-27T00:00:00.000Z,84
2020-06-28T00:00:00.000Z,111
2020-06-29T00:00:00.000Z,197
2020-06-30T00:00:00.000Z,117
2020-07-01T00:00:00.000Z,112
2020-07-02T00:00:00.000Z,137
2020-07-03T00:00:00.000Z,138
2020-07-04T00:00:00.000Z,132
2020-07-05T00:00:00.000Z,162
2020-07-06T00:00:00.000Z,149
2020-07-07T00:00:00.000Z,164
2020-07-08T00:00:00.000Z,144
2020-07-09T00:00:00.000Z,207
2020-07-10T00:00:00.000Z,212
2020-07-11T00:00:00.000Z,205
2020-07-12T00:00:00.000Z,306
2020-07-13T00:00:00.000Z,343
2020-07-14T00:00:00.000Z,298
2020-07-15T00:00:00.000Z,385
2020-07-16T00:00:00.000Z,493
2020-07-17T00:00:00.000Z,501
2020-07-18T00:00:00.000Z,517
2020-07-19T00:00:00.000Z,447
2020-07-20T00:00:00.000Z,623
2020-07-21T00:00:00.000Z,647
2020-07-22T00:00:00.000Z,3724
2020-07-23T00:00:00.000Z,7193
2020-07-24T00:00:00.000Z,1892
2020-07-25T00:00:00.000Z,671
