age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,320806,234106,635971,50.4,36.8,228,0
16-19,488348,419908,591331,82.6,71,99235,16.8
20-29,1059653,958779,1319364,80.3,72.7,339921,25.8
30-39,1023985,946463,1207243,84.8,78.4,394581,32.7
40-49,969619,905256,1110965,87.3,81.5,503908,45.4
50-59,775168,730877,874608,88.6,83.6,495003,56.6
60-69,681594,654148,747217,91.2,87.5,521888,69.8
70-79,473179,461172,526929,89.8,87.5,411314,78.1
80-89,214160,208163,238729,89.7,87.2,179657,75.3
90+,48688,46817,58687,83,79.8,38587,65.8
