section,female,male,period,order_period
0-9,"{'amount': 2, 'percentage': 0.4}","{'amount': 1, 'percentage': 0.2}",חודש אחרון,5
0-9,"{'amount': 21, 'percentage': 0.1}","{'amount': 24, 'percentage': 0.2}",שנה,2
0-9,"{'amount': 13, 'percentage': 0.3}","{'amount': 8, 'percentage': 0.2}",6 חודשים,3
0-9,"{'amount': 3, 'percentage': 0.5}","{'amount': 2, 'percentage': 0.3}",3 חודשים,4
0-9,"{'amount': 23, 'percentage': 0.1}","{'amount': 26, 'percentage': 0.1}",מתחילת קורונה,1
10-19,"{'amount': 45, 'percentage': 0.3}","{'amount': 28, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 1, 'percentage': 0.2}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
10-19,"{'amount': 2, 'percentage': 0.3}","{'amount': 0, 'percentage': 0}",3 חודשים,4
10-19,"{'amount': 17, 'percentage': 0.4}","{'amount': 9, 'percentage': 0.2}",6 חודשים,3
10-19,"{'amount': 42, 'percentage': 0.3}","{'amount': 26, 'percentage': 0.2}",שנה,2
20-29,"{'amount': 75, 'percentage': 1.5}","{'amount': 72, 'percentage': 1.5}",6 חודשים,3
20-29,"{'amount': 2, 'percentage': 0.3}","{'amount': 3, 'percentage': 0.5}",3 חודשים,4
20-29,"{'amount': 2, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.4}",חודש אחרון,5
20-29,"{'amount': 163, 'percentage': 0.9}","{'amount': 140, 'percentage': 0.8}",מתחילת קורונה,1
20-29,"{'amount': 154, 'percentage': 1}","{'amount': 131, 'percentage': 0.8}",שנה,2
30-39,"{'amount': 336, 'percentage': 2.1}","{'amount': 372, 'percentage': 2.3}",שנה,2
30-39,"{'amount': 179, 'percentage': 3.7}","{'amount': 176, 'percentage': 3.6}",6 חודשים,3
30-39,"{'amount': 14, 'percentage': 2.4}","{'amount': 9, 'percentage': 1.6}",3 חודשים,4
30-39,"{'amount': 9, 'percentage': 1.8}","{'amount': 7, 'percentage': 1.4}",חודש אחרון,5
30-39,"{'amount': 358, 'percentage': 2.1}","{'amount': 413, 'percentage': 2.4}",מתחילת קורונה,1
40-49,"{'amount': 545, 'percentage': 3.4}","{'amount': 893, 'percentage': 5.6}",שנה,2
40-49,"{'amount': 231, 'percentage': 4.8}","{'amount': 346, 'percentage': 7.1}",6 חודשים,3
40-49,"{'amount': 12, 'percentage': 2.1}","{'amount': 25, 'percentage': 4.3}",3 חודשים,4
40-49,"{'amount': 10, 'percentage': 2}","{'amount': 22, 'percentage': 4.4}",חודש אחרון,5
40-49,"{'amount': 584, 'percentage': 3.4}","{'amount': 957, 'percentage': 5.5}",מתחילת קורונה,1
50-59,"{'amount': 363, 'percentage': 7.5}","{'amount': 442, 'percentage': 9.1}",6 חודשים,3
50-59,"{'amount': 35, 'percentage': 6.1}","{'amount': 26, 'percentage': 4.5}",3 חודשים,4
50-59,"{'amount': 947, 'percentage': 5.9}","{'amount': 1426, 'percentage': 8.9}",שנה,2
50-59,"{'amount': 1009, 'percentage': 5.8}","{'amount': 1544, 'percentage': 8.9}",מתחילת קורונה,1
50-59,"{'amount': 25, 'percentage': 5}","{'amount': 23, 'percentage': 4.6}",חודש אחרון,5
60-69,"{'amount': 41, 'percentage': 7.1}","{'amount': 64, 'percentage': 11.1}",3 חודשים,4
60-69,"{'amount': 404, 'percentage': 8.3}","{'amount': 486, 'percentage': 10}",6 חודשים,3
60-69,"{'amount': 30, 'percentage': 6}","{'amount': 58, 'percentage': 11.6}",חודש אחרון,5
60-69,"{'amount': 1344, 'percentage': 7.8}","{'amount': 2173, 'percentage': 12.5}",מתחילת קורונה,1
60-69,"{'amount': 1266, 'percentage': 7.9}","{'amount': 1997, 'percentage': 12.5}",שנה,2
70-79,"{'amount': 56, 'percentage': 11.2}","{'amount': 81, 'percentage': 16.3}",חודש אחרון,5
70-79,"{'amount': 64, 'percentage': 11.1}","{'amount': 86, 'percentage': 14.9}",3 חודשים,4
70-79,"{'amount': 451, 'percentage': 9.3}","{'amount': 511, 'percentage': 10.5}",6 חודשים,3
70-79,"{'amount': 1498, 'percentage': 9.4}","{'amount': 2088, 'percentage': 13.1}",שנה,2
70-79,"{'amount': 1605, 'percentage': 9.3}","{'amount': 2298, 'percentage': 13.3}",מתחילת קורונה,1
80-89,"{'amount': 56, 'percentage': 9.7}","{'amount': 78, 'percentage': 13.5}",3 חודשים,4
80-89,"{'amount': 1506, 'percentage': 9.4}","{'amount': 1508, 'percentage': 9.4}",שנה,2
80-89,"{'amount': 437, 'percentage': 9}","{'amount': 368, 'percentage': 7.6}",6 חודשים,3
80-89,"{'amount': 51, 'percentage': 10.2}","{'amount': 70, 'percentage': 14.1}",חודש אחרון,5
80-89,"{'amount': 1661, 'percentage': 9.6}","{'amount': 1640, 'percentage': 9.5}",מתחילת קורונה,1
90+,"{'amount': 796, 'percentage': 4.6}","{'amount': 527, 'percentage': 3}",מתחילת קורונה,1
90+,"{'amount': 34, 'percentage': 6.8}","{'amount': 14, 'percentage': 2.8}",חודש אחרון,5
90+,"{'amount': 40, 'percentage': 6.9}","{'amount': 16, 'percentage': 2.8}",3 חודשים,4
90+,"{'amount': 163, 'percentage': 3.4}","{'amount': 105, 'percentage': 2.2}",6 חודשים,3
90+,"{'amount': 710, 'percentage': 4.4}","{'amount': 472, 'percentage': 3}",שנה,2
