name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,94.17721557617188,39
יוספטל,,53.84615325927734,10
שמיר,,70.70706939697266,21
וולפסון,,76.28111267089844,18
זיו צפת,,77.23342895507812,21
הלל יפה,,88.15534210205078,20
נהריה,,76.98629760742188,37
ברזילי,,76.65563201904297,23
פוריה,,63.66197204589844,19
סוראסקי,,118.616569519043,27
בני ציון,,88.68360137939453,5
רבין ק. בילינסון,,86.58683013916016,47
סורוקה,,83.14508819580078,31
מאיר,,83.16195678710938,20
קפלן,,94.76534271240234,29
"רמב""ם",,88.9344253540039,23
הכרמל,,85.48057556152344,10
השרון ק. גולדה,,55.18672180175781,5
הדסה עין כרם,,,41
הסקוטי,,30.07518768310547,1
סנט וינסנט,,,0
המשפחה הקדושה,,,0
סנט ג'וזף,,,2
שערי צדק,,99.75430297851562,14
אל מקאסד,,,0
לניאדו,,84.95821380615234,30
אוגוסטה ויקטוריה,,,0
מעייני הישועה,,90.82278442382812,10
אסותא אשדוד,,,9
שניידר,,,0
המרכזי בעמק,,75.68965148925781,29
