age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,8,0,2351,39.4,0,222.9,0,0,0,0,0,0
12-15,511,0,466,143.4,0,186.4,0,0,0,0,0,0
16-19,214,67,208,56.9,85.7,176.2,0,0,1,0,0,0.8
20-29,698,194,350,80.1,90.4,178.6,0,0,2,0,0,1
30-39,756,256,348,90.2,132,241.2,0,0,6,0,0,4.2
40-49,717,175,220,85.4,127,196.7,0,0,18,0,0,16.1
50-59,436,60,134,62.2,68.7,180.8,2,1,16,0.3,1.1,21.6
60-69,282,37,81,44.3,76.3,146,2,2,13,0.3,4.1,23.4
70-79,141,16,36,30.3,60.9,112.6,1,2,6,0.2,7.6,18.8
80-89,43,4,18,21.2,23.9,107.4,2,0,5,1,0,29.8
90+,14,3,4,32,41,65.6,1,0,0,2.3,0,0
