date,visited_country,vaccination_ind,none_vaccination_ind,sum_arrival
2021-09-13T00:00:00.000Z,לבנון,0,1,1
2021-09-13T00:00:00.000Z,פיליפינים,0,2,2
2021-09-13T00:00:00.000Z,תאילנד,1,1,2
2021-09-13T00:00:00.000Z,שוויץ,139,64,203
2021-09-13T00:00:00.000Z,שוודיה,4,4,8
2021-09-13T00:00:00.000Z,רפ מרכז אפריקנית,0,1,1
2021-09-13T00:00:00.000Z,רוסיה,174,201,375
2021-09-13T00:00:00.000Z,רומניה,293,64,357
2021-09-13T00:00:00.000Z,רואנדה,5,1,6
2021-09-13T00:00:00.000Z,קרואטיה,8,8,16
2021-09-13T00:00:00.000Z,קפריסין,117,35,152
2021-09-13T00:00:00.000Z,קניה,1,4,5
2021-09-13T00:00:00.000Z,קנדה,44,311,355
2021-09-13T00:00:00.000Z,קירג'זסטאן,1,1,2
2021-09-13T00:00:00.000Z,קזחסטאן,3,2,5
2021-09-13T00:00:00.000Z,קוסטה ריקה,2,5,7
2021-09-13T00:00:00.000Z,קולומביה,3,2,5
2021-09-13T00:00:00.000Z,קובה,0,1,1
2021-09-13T00:00:00.000Z,צרפת,359,313,672
2021-09-13T00:00:00.000Z,צכיה,386,92,478
2021-09-13T00:00:00.000Z,פרו,2,4,6
2021-09-13T00:00:00.000Z,איחוד האמירויות הערב,70,18,88
2021-09-13T00:00:00.000Z,פורטוגל,14,10,24
2021-09-13T00:00:00.000Z,פינלנד,3,0,3
2021-09-13T00:00:00.000Z,פולין,311,125,436
2021-09-13T00:00:00.000Z,סרי לנקה (צילון),1,1,2
2021-09-13T00:00:00.000Z,סרביה,1,1,2
2021-09-13T00:00:00.000Z,ספרד,54,38,92
2021-09-13T00:00:00.000Z,סלובקיה,54,8,62
2021-09-13T00:00:00.000Z,סוריה,1,4,5
2021-09-13T00:00:00.000Z,נמיביה,1,1,2
2021-09-13T00:00:00.000Z,ניגריה,2,3,5
2021-09-13T00:00:00.000Z,נורבגיה,0,3,3
2021-09-13T00:00:00.000Z,מרוקו,3,0,3
2021-09-13T00:00:00.000Z,מקסיקו,0,18,18
2021-09-13T00:00:00.000Z,מצרים,248,67,315
2021-09-13T00:00:00.000Z,מלטה,1,0,1
2021-09-13T00:00:00.000Z,מלזיה,1,0,1
2021-09-13T00:00:00.000Z,מלדיבים,47,6,53
2021-09-13T00:00:00.000Z,מלאווי,0,1,1
2021-09-13T00:00:00.000Z,מונקו,5,1,6
2021-09-13T00:00:00.000Z,מונטנגרו,64,9,73
2021-09-13T00:00:00.000Z,מוזמביק,2,0,2
2021-09-13T00:00:00.000Z,מאלי,3,0,3
2021-09-13T00:00:00.000Z,ליטא,2,0,2
2021-09-13T00:00:00.000Z,לטביה,1,0,1
2021-09-13T00:00:00.000Z,לוכסמבורג,9,5,14
2021-09-13T00:00:00.000Z,תורכיה,25,58,83
2021-09-13T00:00:00.000Z,כלל המדינות,6117,8539,14656
2021-09-13T00:00:00.000Z,ירדן,65,107,172
2021-09-13T00:00:00.000Z,יפן,0,2,2
2021-09-13T00:00:00.000Z,יוון,342,151,493
2021-09-13T00:00:00.000Z,טנזניה,9,5,14
2021-09-13T00:00:00.000Z,חוף השנהב,2,1,3
2021-09-13T00:00:00.000Z,זמביה,3,1,4
2021-09-13T00:00:00.000Z,זימבאבווה,0,1,1
2021-09-13T00:00:00.000Z,הרפ הדומיניקנית,1,0,1
2021-09-13T00:00:00.000Z,הממלכה המאוחדת,264,544,808
2021-09-13T00:00:00.000Z,הונדורס,3,0,3
2021-09-13T00:00:00.000Z,הונגריה,362,114,476
2021-09-13T00:00:00.000Z,הונג קונג,0,2,2
2021-09-13T00:00:00.000Z,הולנד,19,17,36
2021-09-13T00:00:00.000Z,הודו,17,95,112
2021-09-13T00:00:00.000Z,דרום אפריקה,17,31,48
2021-09-13T00:00:00.000Z,דנמרק,5,5,10
2021-09-13T00:00:00.000Z,דומיניקה,0,1,1
2021-09-13T00:00:00.000Z,גרמניה,302,142,444
2021-09-13T00:00:00.000Z,גיברלטר,1,0,1
2021-09-13T00:00:00.000Z,גווטאמלה,4,2,6
2021-09-13T00:00:00.000Z,גאנה,3,0,3
2021-09-13T00:00:00.000Z,גאורגיה,19,17,36
2021-09-13T00:00:00.000Z,ברזיל,4,2,6
2021-09-13T00:00:00.000Z,בלגיה,49,174,223
2021-09-13T00:00:00.000Z,בילורוסיה,0,2,2
2021-09-13T00:00:00.000Z,בוסניה הרצגובינה,10,5,15
2021-09-13T00:00:00.000Z,בולגריה,6,23,29
2021-09-13T00:00:00.000Z,בוטסואנה,2,0,2
2021-09-13T00:00:00.000Z,אתיופיה,14,13,27
2021-09-13T00:00:00.000Z,ארצות הברית,482,1890,2372
2021-09-13T00:00:00.000Z,ארמניה,1,17,18
2021-09-13T00:00:00.000Z,ארגנטינה,0,5,5
2021-09-13T00:00:00.000Z,אסטוניה,2,1,3
2021-09-13T00:00:00.000Z,אל סלבדור,0,1,1
2021-09-13T00:00:00.000Z,אירלנד,3,4,7
2021-09-13T00:00:00.000Z,איסלנד,21,4,25
2021-09-13T00:00:00.000Z,איטליה,298,96,394
2021-09-13T00:00:00.000Z,אזרביג'אן,0,21,21
2021-09-13T00:00:00.000Z,אורגוואי,0,5,5
2021-09-13T00:00:00.000Z,אוקראינה,298,1073,1371
2021-09-13T00:00:00.000Z,אוסטרליה,1,5,6
2021-09-13T00:00:00.000Z,אוסטריה,479,114,593
2021-09-13T00:00:00.000Z,פנמה,4,23,27
2021-09-13T00:00:00.000Z,אוגנדה,3,4,7
2021-09-13T00:00:00.000Z,אוזבקיסטן,12,57,69
2021-09-14T00:00:00.000Z,אוגנדה,0,2,2
2021-09-14T00:00:00.000Z,אוזבקיסטן,3,2,5
2021-09-14T00:00:00.000Z,אוסטריה,306,110,416
2021-09-14T00:00:00.000Z,אוסטרליה,0,4,4
2021-09-14T00:00:00.000Z,אוקראינה,224,845,1069
2021-09-14T00:00:00.000Z,אורגוואי,0,3,3
2021-09-14T00:00:00.000Z,אזרביג'אן,7,4,11
2021-09-14T00:00:00.000Z,איטליה,417,111,528
2021-09-14T00:00:00.000Z,איי סיישל,0,1,1
2021-09-14T00:00:00.000Z,איי פאלקלנד,0,1,1
2021-09-14T00:00:00.000Z,איסלנד,42,15,57
2021-09-14T00:00:00.000Z,אירלנד,3,8,11
2021-09-14T00:00:00.000Z,אלבניה,3,0,3
2021-09-14T00:00:00.000Z,אנגולה,1,0,1
2021-09-14T00:00:00.000Z,אנטיגואה וברבודה,0,2,2
2021-09-14T00:00:00.000Z,אסטוניה,1,4,5
2021-09-14T00:00:00.000Z,אקואדור,3,3,6
2021-09-14T00:00:00.000Z,ארגנטינה,0,28,28
2021-09-14T00:00:00.000Z,ארמניה,5,2,7
2021-09-14T00:00:00.000Z,ארצות הברית,471,1641,2112
2021-09-14T00:00:00.000Z,אתיופיה,21,20,41
2021-09-14T00:00:00.000Z,בולגריה,5,3,8
2021-09-14T00:00:00.000Z,בוסניה הרצגובינה,5,4,9
2021-09-14T00:00:00.000Z,בחריין,1,0,1
2021-09-14T00:00:00.000Z,בילורוסיה,84,80,164
2021-09-14T00:00:00.000Z,בלגיה,7,80,87
2021-09-14T00:00:00.000Z,ברזיל,4,4,8
2021-09-14T00:00:00.000Z,גאורגיה,96,34,130
2021-09-14T00:00:00.000Z,גאנה,2,6,8
2021-09-14T00:00:00.000Z,גווטאמלה,2,1,3
2021-09-14T00:00:00.000Z,גרמניה,271,131,402
2021-09-14T00:00:00.000Z,דנמרק,12,5,17
2021-09-14T00:00:00.000Z,דרום אפריקה,7,15,22
2021-09-14T00:00:00.000Z,הודו,1,5,6
2021-09-14T00:00:00.000Z,הולנד,52,92,144
2021-09-14T00:00:00.000Z,איחוד האמירויות הערב,148,34,182
2021-09-14T00:00:00.000Z,הונגריה,434,106,540
2021-09-14T00:00:00.000Z,הממלכה המאוחדת,186,415,601
2021-09-14T00:00:00.000Z,הרפ הדומיניקנית,2,4,6
2021-09-14T00:00:00.000Z,חוף השנהב,4,1,5
2021-09-14T00:00:00.000Z,טוגו,1,1,2
2021-09-14T00:00:00.000Z,טנזניה,12,11,23
2021-09-14T00:00:00.000Z,יוון,869,237,1106
2021-09-14T00:00:00.000Z,ירדן,67,35,102
2021-09-14T00:00:00.000Z,כלל המדינות,6679,8327,15006
2021-09-14T00:00:00.000Z,לבנון,0,1,1
2021-09-14T00:00:00.000Z,לוכסמבורג,1,0,1
2021-09-14T00:00:00.000Z,לטביה,19,17,36
2021-09-14T00:00:00.000Z,ליטא,6,3,9
2021-09-14T00:00:00.000Z,מאלי,1,1,2
2021-09-14T00:00:00.000Z,מולדובה,34,91,125
2021-09-14T00:00:00.000Z,מונטנגרו,22,10,32
2021-09-14T00:00:00.000Z,מונקו,1,0,1
2021-09-14T00:00:00.000Z,מלדיבים,20,18,38
2021-09-14T00:00:00.000Z,מצרים,448,154,602
2021-09-14T00:00:00.000Z,מקדוניה,1,0,1
2021-09-14T00:00:00.000Z,מקסיקו,4,11,15
2021-09-14T00:00:00.000Z,מרוקו,31,22,53
2021-09-14T00:00:00.000Z,נורבגיה,1,2,3
2021-09-14T00:00:00.000Z,ניגריה,6,2,8
2021-09-14T00:00:00.000Z,סין,0,3,3
2021-09-14T00:00:00.000Z,סלובניה,0,2,2
2021-09-14T00:00:00.000Z,סלובקיה,4,0,4
2021-09-14T00:00:00.000Z,ספרד,97,39,136
2021-09-14T00:00:00.000Z,סרביה,6,1,7
2021-09-14T00:00:00.000Z,סרי לנקה (צילון),3,4,7
2021-09-14T00:00:00.000Z,עירק,1,1,2
2021-09-14T00:00:00.000Z,פולין,138,95,233
2021-09-14T00:00:00.000Z,פורטוגל,14,7,21
