Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc,vaccinated_third_dose,vaccinated_third_dose_cum,vaccinated_third_dose_population_perc
2020-12-19T00:00:00.000Z,45,63,0,0,1,0,0,0,0
2020-12-20T00:00:00.000Z,7382,7445,0.08,0,1,0,0,0,0
2020-12-21T00:00:00.000Z,24903,32348,0.35,0,1,0,0,0,0
2020-12-22T00:00:00.000Z,44632,76980,0.83,0,1,0,0,0,0
2020-12-23T00:00:00.000Z,62879,139859,1.5,0,1,0,0,0,0
2020-12-24T00:00:00.000Z,73382,213241,2.29,0,1,0,0,0,0
2020-12-25T00:00:00.000Z,38482,251723,2.71,0,1,0,0,0,0
2020-12-26T00:00:00.000Z,32599,284322,3.06,0,1,0,0,0,0
2020-12-27T00:00:00.000Z,104477,388799,4.18,0,1,0,0,0,0
2020-12-28T00:00:00.000Z,134932,523731,5.63,0,1,0,0,0,0
2020-12-29T00:00:00.000Z,156171,679902,7.31,0,1,0,0,0,0
2020-12-30T00:00:00.000Z,152980,832882,8.96,0,1,0,0,0,0
2020-12-31T00:00:00.000Z,158421,991303,10.66,0,1,0,0,0,0
2021-01-01T00:00:00.000Z,71338,1062641,11.43,0,1,0,0,0,0
2021-01-02T00:00:00.000Z,71677,1134318,12.2,0,1,0,0,0,0
2021-01-03T00:00:00.000Z,149608,1283926,13.81,0,1,0,0,0,0
2021-01-04T00:00:00.000Z,152050,1435976,15.44,1,2,0,0,0,0
2021-01-05T00:00:00.000Z,125049,1561025,16.79,0,2,0,0,0,0
2021-01-06T00:00:00.000Z,103221,1664246,17.9,1,3,0,0,0,0
2021-01-07T00:00:00.000Z,115958,1780204,19.14,5,8,0,0,0,0
2021-01-08T00:00:00.000Z,66393,1846597,19.86,3,11,0,0,0,0
2021-01-09T00:00:00.000Z,44493,1891090,20.34,23,34,0,0,0,0
2021-01-10T00:00:00.000Z,37583,1928673,20.74,5990,6024,0.06,0,0,0
2021-01-11T00:00:00.000Z,21089,1949762,20.97,19248,25272,0.27,0,0,0
2021-01-12T00:00:00.000Z,23984,1973746,21.22,35649,60921,0.66,0,0,0
2021-01-13T00:00:00.000Z,51980,2025726,21.78,56848,117769,1.27,0,0,0
2021-01-14T00:00:00.000Z,56382,2082108,22.39,68804,186573,2.01,0,0,0
2021-01-15T00:00:00.000Z,30687,2112795,22.72,35906,222479,2.39,0,0,0
2021-01-16T00:00:00.000Z,29412,2142207,23.04,25997,248476,2.67,0,0,0
2021-01-17T00:00:00.000Z,68344,2210551,23.77,84539,333015,3.58,0,0,0
2021-01-18T00:00:00.000Z,69647,2280198,24.52,120347,453362,4.88,0,0,0
2021-01-19T00:00:00.000Z,72731,2352929,25.3,137715,591077,6.36,0,0,0
2021-01-20T00:00:00.000Z,76713,2429642,26.13,143622,734699,7.9,0,0,0
2021-01-21T00:00:00.000Z,69815,2499457,26.88,164261,898960,9.67,0,0,0
2021-01-22T00:00:00.000Z,37799,2537256,27.28,71039,969999,10.43,0,0,0
2021-01-23T00:00:00.000Z,39901,2577157,27.71,53526,1023525,11.01,0,0,0
2021-01-24T00:00:00.000Z,69007,2646164,28.46,140561,1164086,12.52,0,0,0
2021-01-25T00:00:00.000Z,80796,2726960,29.32,139373,1303459,14.02,0,0,0
2021-01-26T00:00:00.000Z,78586,2805546,30.17,126283,1429742,15.37,0,0,0
2021-01-27T00:00:00.000Z,77800,2883346,31.01,124905,1554647,16.72,0,0,0
2021-01-28T00:00:00.000Z,79424,2962770,31.86,130482,1685129,18.12,0,0,0
2021-01-29T00:00:00.000Z,36581,2999351,32.25,64720,1749849,18.82,0,0,0
2021-01-30T00:00:00.000Z,34340,3033691,32.62,42706,1792555,19.28,0,0,0
2021-01-31T00:00:00.000Z,73238,3106929,33.41,59419,1851974,19.92,0,0,0
2021-02-01T00:00:00.000Z,82394,3189323,34.3,35277,1887251,20.29,0,0,0
2021-02-02T00:00:00.000Z,69950,3259273,35.05,31004,1918255,20.63,0,0,0
2021-02-03T00:00:00.000Z,60161,3319434,35.7,51340,1969595,21.18,0,0,0
2021-02-04T00:00:00.000Z,72494,3391928,36.48,58008,2027603,21.8,0,0,0
2021-02-05T00:00:00.000Z,33844,3425772,36.84,28719,2056322,22.11,0,0,0
2021-02-06T00:00:00.000Z,21565,3447337,37.07,22183,2078505,22.35,0,0,0
2021-02-07T00:00:00.000Z,54010,3501347,37.65,68634,2147139,23.09,0,0,0
2021-02-08T00:00:00.000Z,58545,3559892,38.28,65329,2212468,23.79,0,0,0
2021-02-09T00:00:00.000Z,66232,3626124,38.99,67438,2279906,24.52,0,0,0
2021-02-10T00:00:00.000Z,70422,3696546,39.75,72145,2352051,25.29,0,0,0
2021-02-11T00:00:00.000Z,81022,3777568,40.62,71965,2424016,26.07,0,0,0
2021-02-12T00:00:00.000Z,38999,3816567,41.04,37498,2461514,26.47,0,0,0
2021-02-13T00:00:00.000Z,27394,3843961,41.34,30383,2491897,26.8,0,0,0
2021-02-14T00:00:00.000Z,74803,3918764,42.14,68966,2560863,27.54,0,0,0
2021-02-15T00:00:00.000Z,81405,4000169,43.02,75591,2636454,28.35,0,0,0
2021-02-16T00:00:00.000Z,83325,4083494,43.91,78160,2714614,29.19,0,0,0
2021-02-17T00:00:00.000Z,61869,4145363,44.58,75492,2790106,30,0,0,0
2021-02-18T00:00:00.000Z,69041,4214404,45.32,79622,2869728,30.86,0,0,0
2021-02-19T00:00:00.000Z,39585,4253989,45.75,38060,2907788,31.27,0,0,0
2021-02-20T00:00:00.000Z,31598,4285587,46.09,28685,2936473,31.58,0,0,0
2021-02-21T00:00:00.000Z,79341,4364928,46.94,78346,3014819,32.42,0,0,0
2021-02-22T00:00:00.000Z,84943,4449871,47.85,80490,3095309,33.29,0,0,0
2021-02-23T00:00:00.000Z,77214,4527085,48.68,70347,3165656,34.04,0,0,0
2021-02-24T00:00:00.000Z,60955,4588040,49.34,62988,3228644,34.72,0,0,0
2021-02-25T00:00:00.000Z,51604,4639644,49.89,64676,3293320,35.41,0,0,0
2021-02-26T00:00:00.000Z,25812,4665456,50.17,31949,3325269,35.76,0,0,0
2021-02-27T00:00:00.000Z,18285,4683741,50.37,21164,3346433,35.99,0,0,0
2021-02-28T00:00:00.000Z,40230,4723971,50.8,55808,3402241,36.59,0,0,0
2021-03-01T00:00:00.000Z,45573,4769544,51.29,61338,3463579,37.25,0,0,0
2021-03-02T00:00:00.000Z,41056,4810600,51.73,64662,3528241,37.94,0,0,0
2021-03-03T00:00:00.000Z,41882,4852482,52.18,66663,3594904,38.66,0,0,0
2021-03-04T00:00:00.000Z,39544,4892026,52.61,78985,3673889,39.51,0,0,0
2021-03-05T00:00:00.000Z,17213,4909239,52.79,40371,3714260,39.94,0,0,0
2021-03-06T00:00:00.000Z,10615,4919854,52.91,25299,3739559,40.21,0,0,0
2021-03-07T00:00:00.000Z,31030,4950884,53.24,72754,3812313,41,0,0,0
2021-03-08T00:00:00.000Z,27232,4978116,53.53,73179,3885492,41.78,0,0,0
2021-03-09T00:00:00.000Z,26605,5004721,53.82,76510,3962002,42.61,0,0,0
2021-03-10T00:00:00.000Z,23195,5027916,54.07,58575,4020577,43.24,0,0,0
2021-03-11T00:00:00.000Z,23130,5051046,54.32,68966,4089543,43.98,0,0,0
2021-03-12T00:00:00.000Z,11149,5062195,54.44,41331,4130874,44.42,0,0,0
2021-03-13T00:00:00.000Z,7874,5070069,54.52,25194,4156068,44.69,0,0,0
2021-03-14T00:00:00.000Z,20865,5090934,54.75,73866,4229934,45.49,0,0,0
2021-03-15T00:00:00.000Z,19982,5110916,54.96,78156,4308090,46.33,0,0,0
2021-03-16T00:00:00.000Z,18606,5129522,55.16,71390,4379480,47.09,0,0,0
2021-03-17T00:00:00.000Z,17564,5147086,55.35,58925,4438405,47.73,0,0,0
2021-03-18T00:00:00.000Z,15891,5162977,55.52,58028,4496433,48.35,0,0,0
2021-03-19T00:00:00.000Z,6800,5169777,55.59,27904,4524337,48.65,0,0,0
2021-03-20T00:00:00.000Z,5143,5174920,55.65,15259,4539596,48.82,0,0,0
2021-03-21T00:00:00.000Z,13076,5187996,55.79,40422,4580018,49.25,0,0,0
2021-03-22T00:00:00.000Z,13418,5201414,55.93,40431,4620449,49.69,0,0,0
2021-03-23T00:00:00.000Z,2671,5204085,55.96,7203,4627652,49.76,0,0,0
2021-03-24T00:00:00.000Z,10853,5214938,56.08,46436,4674088,50.26,0,0,0
2021-03-25T00:00:00.000Z,10099,5225037,56.19,35325,4709413,50.64,0,0,0
2021-03-26T00:00:00.000Z,4049,5229086,56.23,13255,4722668,50.79,0,0,0
2021-03-27T00:00:00.000Z,1722,5230808,56.25,4220,4726888,50.83,0,0,0
2021-03-28T00:00:00.000Z,2055,5232863,56.27,4568,4731456,50.88,0,0,0
2021-03-29T00:00:00.000Z,6801,5239664,56.34,29929,4761385,51.2,0,0,0
2021-03-30T00:00:00.000Z,7716,5247380,56.43,22317,4783702,51.44,0,0,0
2021-03-31T00:00:00.000Z,8006,5255386,56.51,19348,4803050,51.65,0,0,0
2021-04-01T00:00:00.000Z,8005,5263391,56.6,18563,4821613,51.85,0,0,0
2021-04-02T00:00:00.000Z,2817,5266208,56.63,8037,4829650,51.94,0,0,0
2021-04-03T00:00:00.000Z,1357,5267565,56.64,2908,4832558,51.97,0,0,0
2021-04-04T00:00:00.000Z,9559,5277124,56.75,22769,4855327,52.21,0,0,0
