section,female,male,period
0-9,"{'amount': 2, 'percentage': 0}","{'amount': 5, 'percentage': 0.1}",שנה
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 0, 'percentage': 0}",3 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 5, 'percentage': 0}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
0-9,"{'amount': 2, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 5, 'percentage': 0.1}","{'amount': 5, 'percentage': 0.1}",שנה
10-19,"{'amount': 3, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 1, 'percentage': 0.8}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 8, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",3 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.1}",3 חודשים
20-29,"{'amount': 9, 'percentage': 0.2}","{'amount': 5, 'percentage': 0.1}",שנה
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 22, 'percentage': 0.2}","{'amount': 24, 'percentage': 0.2}",מתחילת קורונה
20-29,"{'amount': 6, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.1}",6 חודשים
30-39,"{'amount': 17, 'percentage': 0.4}","{'amount': 25, 'percentage': 0.6}",שנה
30-39,"{'amount': 3, 'percentage': 0.3}","{'amount': 4, 'percentage': 0.5}",3 חודשים
30-39,"{'amount': 1, 'percentage': 0.8}","{'amount': 0, 'percentage': 0}",חודש אחרון
30-39,"{'amount': 38, 'percentage': 0.4}","{'amount': 53, 'percentage': 0.5}",מתחילת קורונה
30-39,"{'amount': 6, 'percentage': 0.2}","{'amount': 12, 'percentage': 0.5}",6 חודשים
40-49,"{'amount': 21, 'percentage': 0.5}","{'amount': 52, 'percentage': 1.2}",שנה
40-49,"{'amount': 3, 'percentage': 0.3}","{'amount': 5, 'percentage': 0.6}",3 חודשים
40-49,"{'amount': 1, 'percentage': 0.8}","{'amount': 0, 'percentage': 0}",חודש אחרון
40-49,"{'amount': 77, 'percentage': 0.7}","{'amount': 120, 'percentage': 1.1}",מתחילת קורונה
40-49,"{'amount': 12, 'percentage': 0.5}","{'amount': 21, 'percentage': 0.8}",6 חודשים
50-59,"{'amount': 41, 'percentage': 1.6}","{'amount': 71, 'percentage': 2.7}",6 חודשים
50-59,"{'amount': 1, 'percentage': 0.8}","{'amount': 7, 'percentage': 5.8}",חודש אחרון
50-59,"{'amount': 199, 'percentage': 1.8}","{'amount': 387, 'percentage': 3.6}",מתחילת קורונה
50-59,"{'amount': 78, 'percentage': 1.8}","{'amount': 136, 'percentage': 3.1}",שנה
50-59,"{'amount': 10, 'percentage': 1.2}","{'amount': 27, 'percentage': 3.1}",3 חודשים
60-69,"{'amount': 46, 'percentage': 5.3}","{'amount': 66, 'percentage': 7.7}",3 חודשים
60-69,"{'amount': 4, 'percentage': 3.3}","{'amount': 4, 'percentage': 3.3}",חודש אחרון
60-69,"{'amount': 554, 'percentage': 5.1}","{'amount': 996, 'percentage': 9.2}",מתחילת קורונה
60-69,"{'amount': 252, 'percentage': 5.7}","{'amount': 354, 'percentage': 8}",שנה
60-69,"{'amount': 110, 'percentage': 4.2}","{'amount': 181, 'percentage': 6.9}",6 חודשים
70-79,"{'amount': 437, 'percentage': 9.9}","{'amount': 605, 'percentage': 13.7}",שנה
70-79,"{'amount': 252, 'percentage': 9.5}","{'amount': 345, 'percentage': 13.1}",6 חודשים
70-79,"{'amount': 16, 'percentage': 13.2}","{'amount': 11, 'percentage': 9.1}",חודש אחרון
70-79,"{'amount': 1035, 'percentage': 9.6}","{'amount': 1634, 'percentage': 15.1}",מתחילת קורונה
70-79,"{'amount': 89, 'percentage': 10.3}","{'amount': 115, 'percentage': 13.3}",3 חודשים
80-89,"{'amount': 749, 'percentage': 17}","{'amount': 786, 'percentage': 17.9}",שנה
80-89,"{'amount': 140, 'percentage': 16.2}","{'amount': 156, 'percentage': 18.1}",3 חודשים
80-89,"{'amount': 23, 'percentage': 19}","{'amount': 14, 'percentage': 11.6}",חודש אחרון
80-89,"{'amount': 1741, 'percentage': 16.1}","{'amount': 1901, 'percentage': 17.6}",מתחילת קורונה
80-89,"{'amount': 476, 'percentage': 18}","{'amount': 497, 'percentage': 18.8}",6 חודשים
90+,"{'amount': 480, 'percentage': 10.9}","{'amount': 379, 'percentage': 8.6}",שנה
90+,"{'amount': 99, 'percentage': 11.5}","{'amount': 95, 'percentage': 11}",3 חודשים
90+,"{'amount': 22, 'percentage': 18.2}","{'amount': 16, 'percentage': 13.2}",חודש אחרון
90+,"{'amount': 1144, 'percentage': 10.6}","{'amount': 868, 'percentage': 8}",מתחילת קורונה
90+,"{'amount': 317, 'percentage': 12}","{'amount': 278, 'percentage': 10.5}",6 חודשים
