section,male,female,period
0-9,"{'amount': 58, 'percentage': 0.8}","{'amount': 40, 'percentage': 0.6}",6 חודשים
0-9,"{'amount': 15, 'percentage': 1.8}","{'amount': 3, 'percentage': 0.4}",חודש אחרון
0-9,"{'amount': 111, 'percentage': 0.4}","{'amount': 70, 'percentage': 0.2}",מתחילת קורונה
0-9,"{'amount': 81, 'percentage': 0.7}","{'amount': 54, 'percentage': 0.5}",שנה
0-9,"{'amount': 52, 'percentage': 0.9}","{'amount': 32, 'percentage': 0.5}",3 חודשים
10-19,"{'amount': 23, 'percentage': 0.4}","{'amount': 14, 'percentage': 0.2}",3 חודשים
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.5}",חודש אחרון
10-19,"{'amount': 43, 'percentage': 0.4}","{'amount': 35, 'percentage': 0.3}",שנה
10-19,"{'amount': 29, 'percentage': 0.4}","{'amount': 21, 'percentage': 0.3}",6 חודשים
10-19,"{'amount': 77, 'percentage': 0.3}","{'amount': 77, 'percentage': 0.3}",מתחילת קורונה
20-29,"{'amount': 43, 'percentage': 0.6}","{'amount': 40, 'percentage': 0.6}",6 חודשים
20-29,"{'amount': 3, 'percentage': 0.4}","{'amount': 1, 'percentage': 0.1}",חודש אחרון
20-29,"{'amount': 238, 'percentage': 0.8}","{'amount': 270, 'percentage': 1}",מתחילת קורונה
20-29,"{'amount': 92, 'percentage': 0.8}","{'amount': 98, 'percentage': 0.8}",שנה
20-29,"{'amount': 34, 'percentage': 0.6}","{'amount': 18, 'percentage': 0.3}",3 חודשים
30-39,"{'amount': 79, 'percentage': 1.1}","{'amount': 83, 'percentage': 1.2}",6 חודשים
30-39,"{'amount': 9, 'percentage': 1.1}","{'amount': 8, 'percentage': 0.9}",חודש אחרון
30-39,"{'amount': 624, 'percentage': 2.2}","{'amount': 583, 'percentage': 2.1}",מתחילת קורונה
30-39,"{'amount': 217, 'percentage': 1.8}","{'amount': 232, 'percentage': 2}",שנה
30-39,"{'amount': 52, 'percentage': 0.9}","{'amount': 53, 'percentage': 0.9}",3 חודשים
40-49,"{'amount': 178, 'percentage': 2.6}","{'amount': 120, 'percentage': 1.7}",6 חודשים
40-49,"{'amount': 13, 'percentage': 1.5}","{'amount': 7, 'percentage': 0.8}",חודש אחרון
40-49,"{'amount': 1399, 'percentage': 4.9}","{'amount': 954, 'percentage': 3.4}",מתחילת קורונה
40-49,"{'amount': 478, 'percentage': 4}","{'amount': 339, 'percentage': 2.8}",שנה
40-49,"{'amount': 121, 'percentage': 2}","{'amount': 73, 'percentage': 1.2}",3 חודשים
50-59,"{'amount': 2209, 'percentage': 7.8}","{'amount': 1550, 'percentage': 5.5}",מתחילת קורונה
50-59,"{'amount': 349, 'percentage': 5}","{'amount': 248, 'percentage': 3.6}",6 חודשים
50-59,"{'amount': 270, 'percentage': 4.5}","{'amount': 174, 'percentage': 2.9}",3 חודשים
50-59,"{'amount': 29, 'percentage': 3.4}","{'amount': 18, 'percentage': 2.1}",חודש אחרון
50-59,"{'amount': 715, 'percentage': 6}","{'amount': 537, 'percentage': 4.5}",שנה
60-69,"{'amount': 638, 'percentage': 9.2}","{'amount': 468, 'percentage': 6.7}",6 חודשים
60-69,"{'amount': 69, 'percentage': 8.1}","{'amount': 41, 'percentage': 4.8}",חודש אחרון
60-69,"{'amount': 3229, 'percentage': 11.4}","{'amount': 2174, 'percentage': 7.7}",מתחילת קורונה
60-69,"{'amount': 1160, 'percentage': 9.8}","{'amount': 883, 'percentage': 7.4}",שנה
60-69,"{'amount': 529, 'percentage': 8.8}","{'amount': 377, 'percentage': 6.3}",3 חודשים
70-79,"{'amount': 3591, 'percentage': 12.7}","{'amount': 2719, 'percentage': 9.6}",מתחילת קורונה
70-79,"{'amount': 936, 'percentage': 13.4}","{'amount': 730, 'percentage': 10.5}",6 חודשים
70-79,"{'amount': 845, 'percentage': 14}","{'amount': 635, 'percentage': 10.6}",3 חודשים
70-79,"{'amount': 127, 'percentage': 15}","{'amount': 93, 'percentage': 11}",חודש אחרון
70-79,"{'amount': 1501, 'percentage': 12.6}","{'amount': 1193, 'percentage': 10}",שנה
80-89,"{'amount': 981, 'percentage': 14.1}","{'amount': 1022, 'percentage': 14.7}",6 חודשים
80-89,"{'amount': 148, 'percentage': 17.5}","{'amount': 137, 'percentage': 16.2}",חודש אחרון
80-89,"{'amount': 2958, 'percentage': 10.4}","{'amount': 3076, 'percentage': 10.9}",מתחילת קורונה
80-89,"{'amount': 1467, 'percentage': 12.3}","{'amount': 1520, 'percentage': 12.8}",שנה
80-89,"{'amount': 919, 'percentage': 15.3}","{'amount': 948, 'percentage': 15.8}",3 חודשים
90+,"{'amount': 503, 'percentage': 4.2}","{'amount': 749, 'percentage': 6.3}",שנה
90+,"{'amount': 58, 'percentage': 6.8}","{'amount': 63, 'percentage': 7.4}",חודש אחרון
90+,"{'amount': 389, 'percentage': 5.6}","{'amount': 513, 'percentage': 7.4}",6 חודשים
90+,"{'amount': 374, 'percentage': 6.2}","{'amount': 475, 'percentage': 7.9}",3 חודשים
90+,"{'amount': 975, 'percentage': 3.4}","{'amount': 1455, 'percentage': 5.1}",מתחילת קורונה
